MINAHASA~ERIS~1~TDO01~ERIS~ERIS
MINAHASA~ERIS~2~TDO01~ERIS~MAUMBI
MINAHASA~ERIS~3~TDO01~ERIS~RANOMERUT
MINAHASA~ERIS~4~TDO01~ERIS~TANDENGAN
MINAHASA~ERIS~5~TDO01~ERIS~TELAP
MINAHASA~ERIS~6~TDO01~ERIS~TOULIANG OKI
MINAHASA~ERIS~7~TDO01~ERIS~WATUMEA
MINAHASA~ERIS~8~TDO01~ERIS~ERIS
MINAHASA~ERIS~9~TDO01~ERIS~MAUMBI
MINAHASA~ERIS~10~TDO01~ERIS~RANOMERUT
MINAHASA~ERIS~11~TDO01~ERIS~TANDENGAN
MINAHASA~ERIS~12~TDO01~ERIS~TELAP
MINAHASA~ERIS~13~TDO01~ERIS~TOULIANG OKI
MINAHASA~ERIS~14~TDO01~ERIS~WATUMEA
MINAHASA~KAKAS~1~TDO01~KAKAS~BUKITTINGGI
MINAHASA~KAKAS~2~TDO01~KAKAS~KALAWIRAN
MINAHASA~KAKAS~3~TDO01~KAKAS~KAWENG
MINAHASA~KAKAS~4~TDO01~KAKAS~KAYUWATU
MINAHASA~KAKAS~5~TDO01~KAKAS~PAHALETEN
MINAHASA~KAKAS~6~TDO01~KAKAS~PANASEN
MINAHASA~KAKAS~7~TDO01~KAKAS~PASLATEN
MINAHASA~KAKAS~8~TDO01~KAKAS~PASSO PASO
MINAHASA~KAKAS~9~TDO01~KAKAS~RINONDOR
MINAHASA~KAKAS~10~TDO01~KAKAS~SENDANGAN
MINAHASA~KAKAS~11~TDO01~KAKAS~SIMBEL
MINAHASA~KAKAS~12~TDO01~KAKAS~TALIKURAN
MINAHASA~KAKAS~13~TDO01~KAKAS~TOTOLAN
MINAHASA~KAKAS~14~TDO01~KAKAS~TOULIANG
MINAHASA~KAKAS~15~TDO01~KAKAS~TOULIMEMBET
MINAHASA~KAKAS~16~TDO01~KAKAS~TOUNELET
MINAHASA~KAKAS~17~TDO01~KAKAS~TOUNTIMOMOR
MINAHASA~KAKAS~18~TDO01~KAKAS~WAILANG
MINAHASA~KAKAS~19~TDO01~KAKAS~WASIAN
MINAHASA~KAKAS~20~TDO01~KAKAS~WINERU
MINAHASA~KAKAS~21~TDO01~KAKAS~BUKITTINGGI
MINAHASA~KAKAS~22~TDO01~KAKAS~KALAWIRAN
MINAHASA~KAKAS~23~TDO01~KAKAS~KAWENG
MINAHASA~KAKAS~24~TDO01~KAKAS~KAYUWATU
MINAHASA~KAKAS~25~TDO01~KAKAS~PAHALETEN
MINAHASA~KAKAS~26~TDO01~KAKAS~PANASEN
MINAHASA~KAKAS~27~TDO01~KAKAS~PASLATEN
MINAHASA~KAKAS~28~TDO01~KAKAS~PASSO PASO
MINAHASA~KAKAS~29~TDO01~KAKAS~RINONDOR
MINAHASA~KAKAS~30~TDO01~KAKAS~SENDANGAN
MINAHASA~KAKAS~31~TDO01~KAKAS~SIMBEL
MINAHASA~KAKAS~32~TDO01~KAKAS~TALIKURAN
MINAHASA~KAKAS~33~TDO01~KAKAS~TOTOLAN
MINAHASA~KAKAS~34~TDO01~KAKAS~TOULIANG
MINAHASA~KAKAS~35~TDO01~KAKAS~TOULIMEMBET
MINAHASA~KAKAS~36~TDO01~KAKAS~TOUNELET
MINAHASA~KAKAS~37~TDO01~KAKAS~TOUNTIMOMOR
MINAHASA~KAKAS~38~TDO01~KAKAS~WAILANG
MINAHASA~KAKAS~39~TDO01~KAKAS~WASIAN
MINAHASA~KAKAS~40~TDO01~KAKAS~WINERU
MINAHASA~KAKAS BARAT~1~TDO01~KAKAS BARAT~BUKIT TINGGI
MINAHASA~KAKAS BARAT~2~TDO01~KAKAS BARAT~KALAWIRAN
MINAHASA~KAKAS BARAT~3~TDO01~KAKAS BARAT~PANASEN
MINAHASA~KAKAS BARAT~4~TDO01~KAKAS BARAT~PASSO PASO
MINAHASA~KAKAS BARAT~5~TDO01~KAKAS BARAT~SIMBEL
MINAHASA~KAKAS BARAT~6~TDO01~KAKAS BARAT~TOTOLAN
MINAHASA~KAKAS BARAT~7~TDO01~KAKAS BARAT~TOULIANG
MINAHASA~KAKAS BARAT~8~TDO01~KAKAS BARAT~TOUNTIMOMOR
MINAHASA~KAKAS BARAT~9~TDO01~KAKAS BARAT~WAILANG
MINAHASA~KAKAS BARAT~10~TDO01~KAKAS BARAT~WASIAN
MINAHASA~KAKAS BARAT~11~TDO01~KAKAS BARAT~BUKIT TINGGI
MINAHASA~KAKAS BARAT~12~TDO01~KAKAS BARAT~KALAWIRAN
MINAHASA~KAKAS BARAT~13~TDO01~KAKAS BARAT~PANASEN
MINAHASA~KAKAS BARAT~14~TDO01~KAKAS BARAT~PASSO PASO
MINAHASA~KAKAS BARAT~15~TDO01~KAKAS BARAT~SIMBEL
MINAHASA~KAKAS BARAT~16~TDO01~KAKAS BARAT~TOTOLAN
MINAHASA~KAKAS BARAT~17~TDO01~KAKAS BARAT~TOULIANG
MINAHASA~KAKAS BARAT~18~TDO01~KAKAS BARAT~TOUNTIMOMOR
MINAHASA~KAKAS BARAT~19~TDO01~KAKAS BARAT~WAILANG
MINAHASA~KAKAS BARAT~20~TDO01~KAKAS BARAT~WASIAN
MINAHASA~KAWANGKOAN~1~TDO01~KAWANGKOAN~KANONANG DUA
MINAHASA~KAWANGKOAN~2~TDO01~KAWANGKOAN~KANONANG SATU
MINAHASA~KAWANGKOAN~3~TDO01~KAWANGKOAN~KAYUUM KAYUUWI
MINAHASA~KAWANGKOAN~4~TDO01~KAWANGKOAN~KIAWA DUA
MINAHASA~KAWANGKOAN~5~TDO01~KAWANGKOAN~KIAWA SATU
MINAHASA~KAWANGKOAN~6~TDO01~KAWANGKOAN~KINALI
MINAHASA~KAWANGKOAN~7~TDO01~KAWANGKOAN~RANOLAMBOT
MINAHASA~KAWANGKOAN~8~TDO01~KAWANGKOAN~SENDANGAN
MINAHASA~KAWANGKOAN~9~TDO01~KAWANGKOAN~TALIKURAN
MINAHASA~KAWANGKOAN~10~TDO01~KAWANGKOAN~TOMBASIAN ATAS
MINAHASA~KAWANGKOAN~11~TDO01~KAWANGKOAN~TOMBASIAN BAWAH
MINAHASA~KAWANGKOAN~12~TDO01~KAWANGKOAN~TONDEGESAN
MINAHASA~KAWANGKOAN~13~TDO01~KAWANGKOAN~UNER
MINAHASA~KAWANGKOAN~14~TDO01~KAWANGKOAN~KANONANG DUA
MINAHASA~KAWANGKOAN~15~TDO01~KAWANGKOAN~KANONANG SATU
MINAHASA~KAWANGKOAN~16~TDO01~KAWANGKOAN~KAYUUM KAYUUWI
MINAHASA~KAWANGKOAN~17~TDO01~KAWANGKOAN~KIAWA DUA
MINAHASA~KAWANGKOAN~18~TDO01~KAWANGKOAN~KIAWA SATU
MINAHASA~KAWANGKOAN~19~TDO01~KAWANGKOAN~KINALI
MINAHASA~KAWANGKOAN~20~TDO01~KAWANGKOAN~RANOLAMBOT
MINAHASA~KAWANGKOAN~21~TDO01~KAWANGKOAN~SENDANGAN
MINAHASA~KAWANGKOAN~22~TDO01~KAWANGKOAN~TALIKURAN
MINAHASA~KAWANGKOAN~23~TDO01~KAWANGKOAN~TOMBASIAN ATAS
MINAHASA~KAWANGKOAN~24~TDO01~KAWANGKOAN~TOMBASIAN BAWAH
MINAHASA~KAWANGKOAN~25~TDO01~KAWANGKOAN~TONDEGESAN
MINAHASA~KAWANGKOAN~26~TDO01~KAWANGKOAN~UNER
MINAHASA~KAWANGKOAN UTARA~1~TDO01~KAWANGKOAN UTARA~KIAWA DUA
MINAHASA~KAWANGKOAN UTARA~2~TDO01~KAWANGKOAN UTARA~KIAWA DUA BARAT
MINAHASA~KAWANGKOAN UTARA~3~TDO01~KAWANGKOAN UTARA~KIAWA DUA TIMUR
MINAHASA~KAWANGKOAN UTARA~4~TDO01~KAWANGKOAN UTARA~KIAWA SATU
