MAMUJU~BONEHAU~1~MJU01~BONEHAU~BONEHAU
MAMUJU~BONEHAU~2~MJU01~BONEHAU~BUTTUADA
MAMUJU~BONEHAU~3~MJU01~BONEHAU~LUMIKA I
MAMUJU~BONEHAU~4~MJU01~BONEHAU~MAPPU LUMIKA II
MAMUJU~BONEHAU~5~MJU01~BONEHAU~SALUTIWO
MAMUJU~BONEHAU~6~MJU01~BONEHAU~TAMALEA TALONDO I
