DEIYAI~BOWOBADO~1~TIG01~BOWOBADO~WOGE
DEIYAI~BOWOBADO~2~TIG01~BOWOBADO~KOPAI DUA II
DEIYAI~BOWOBADO~3~TIG01~BOWOBADO~KOPAI SATU I
DEIYAI~KAPIRAYA~1~TIG01~KAPIRAYA~KAPIRAYA KOMAUTO
DEIYAI~TIGI~1~TIG01~TIGI~AMAGO
DEIYAI~TIGI~2~TIG01~TIGI~ATOUDA
DEIYAI~TIGI~3~TIG01~TIGI~BOBAI
DEIYAI~TIGI~4~TIG01~TIGI~BOMOU DUA BOMAU II
DEIYAI~TIGI~5~TIG01~TIGI~BOMOU III
DEIYAI~TIGI~6~TIG01~TIGI~BOMOU SATU I
DEIYAI~TIGI~7~TIG01~TIGI~BUWOUDIMI
DEIYAI~TIGI~8~TIG01~TIGI~DIGIKOTU
DEIYAI~TIGI~9~TIG01~TIGI~DIYAI II
DEIYAI~TIGI~10~TIG01~TIGI~IBODIO
DEIYAI~TIGI~11~TIG01~TIGI~IDEGE
DEIYAI~TIGI~12~TIG01~TIGI~IDIMEI
DEIYAI~TIGI~13~TIG01~TIGI~IKIYAUWO
DEIYAI~TIGI~14~TIG01~TIGI~KOGEMANI
DEIYAI~TIGI~15~TIG01~TIGI~MEYEPA
DEIYAI~TIGI~16~TIG01~TIGI~MOGOUDA
DEIYAI~TIGI~17~TIG01~TIGI~MOTANO
DEIYAI~TIGI~18~TIG01~TIGI~OKOMOKEBO OKAMAKEBO
DEIYAI~TIGI~19~TIG01~TIGI~OKOMOTADI
DEIYAI~TIGI~20~TIG01~TIGI~ONAGO II
DEIYAI~TIGI~21~TIG01~TIGI~ONEIBO
DEIYAI~TIGI~22~TIG01~TIGI~UGIYA UGIA
DEIYAI~TIGI~23~TIG01~TIGI~WAGHETE DUA II
DEIYAI~TIGI~24~TIG01~TIGI~WAGHETE SATU I
DEIYAI~TIGI~25~TIG01~TIGI~YABA
DEIYAI~TIGI~26~TIG01~TIGI~YABA II
DEIYAI~TIGI~27~TIG01~TIGI~YAGU
DEIYAI~TIGI~28~TIG01~TIGI~YINUPOHO
DEIYAI~TIGI~29~TIG01~TIGI~YIPAI
DEIYAI~TIGI BARAT~1~TIG01~TIGI BARAT~GAKOKEBO
DEIYAI~TIGI BARAT~2~TIG01~TIGI BARAT~JENUDOBA
DEIYAI~TIGI BARAT~3~TIG01~TIGI BARAT~AYATE AYATEI
DEIYAI~TIGI BARAT~4~TIG01~TIGI BARAT~DAGOKEBO/BAGOU
DEIYAI~TIGI BARAT~5~TIG01~TIGI BARAT~DEMAGO DEEMAGO
DEIYAI~TIGI BARAT~6~TIG01~TIGI BARAT~DIGIBAGATA
DEIYAI~TIGI BARAT~7~TIG01~TIGI BARAT~DIYAI
DEIYAI~TIGI BARAT~8~TIG01~TIGI BARAT~ONAGO
DEIYAI~TIGI BARAT~9~TIG01~TIGI BARAT~PIYAKADIMI PIYEKEDIMI
DEIYAI~TIGI BARAT~10~TIG01~TIGI BARAT~TENEDAGI
DEIYAI~TIGI BARAT~11~TIG01~TIGI BARAT~WAGOMANI
DEIYAI~TIGI BARAT~12~TIG01~TIGI BARAT~WIDIMEI WIDI MEY
DEIYAI~TIGI BARAT~13~TIG01~TIGI BARAT~WIDUWAKIYA WIDUWAKIA
DEIYAI~TIGI BARAT~14~TIG01~TIGI BARAT~YENUDOBA/JINIDOBA
DEIYAI~TIGI TIMUR~1~TIG01~TIGI TIMUR~BAGOU BAGAU
DEIYAI~TIGI TIMUR~2~TIG01~TIGI TIMUR~BAGUMOMA
DEIYAI~TIGI TIMUR~3~TIG01~TIGI TIMUR~BOWOUBADO
DEIYAI~TIGI TIMUR~4~TIG01~TIGI TIMUR~DAKEBO
DEIYAI~TIGI TIMUR~5~TIG01~TIGI TIMUR~DAMABAGATA
DEIYAI~TIGI TIMUR~6~TIG01~TIGI TIMUR~EDAGOTADI
DEIYAI~TIGI TIMUR~7~TIG01~TIGI TIMUR~EDAIYODAGI
DEIYAI~TIGI TIMUR~8~TIG01~TIGI TIMUR~EYAGAIKIGI
DEIYAI~TIGI TIMUR~9~TIG01~TIGI TIMUR~GAGOKEBO
DEIYAI~TIGI TIMUR~10~TIG01~TIGI TIMUR~IPOKEUGIDA
DEIYAI~TIGI TIMUR~11~TIG01~TIGI TIMUR~KOKOBAYA KOKOBAYATA
DEIYAI~TIGI TIMUR~12~TIG01~TIGI TIMUR~MUDETADI
DEIYAI~TIGI TIMUR~13~TIG01~TIGI TIMUR~PEKEPE
DEIYAI~TIGI TIMUR~14~TIG01~TIGI TIMUR~UDAUGIDA
DEIYAI~TIGI TIMUR~15~TIG01~TIGI TIMUR~WATIYAI
