PATI~BATANGAN~1~PTI02~BATANGAN~BATURSARI
PATI~BATANGAN~2~PTI02~BATANGAN~BULUMULYO
PATI~BATANGAN~3~PTI02~BATANGAN~BUMIMULYO
PATI~BATANGAN~4~PTI02~BATANGAN~GAJAHKUMPUL
PATI~BATANGAN~5~PTI02~BATANGAN~GUNUNGSARI
PATI~BATANGAN~6~PTI02~BATANGAN~JEMBANGAN
PATI~BATANGAN~7~PTI02~BATANGAN~KEDALON
PATI~BATANGAN~8~PTI02~BATANGAN~KETITANGWETAN
PATI~BATANGAN~9~PTI02~BATANGAN~KLAYUSIWALAN
PATI~BATANGAN~10~PTI02~BATANGAN~KUNIRAN
PATI~BATANGAN~11~PTI02~BATANGAN~LENGKONG
PATI~BATANGAN~12~PTI02~BATANGAN~MANGUNLEGI
PATI~BATANGAN~13~PTI02~BATANGAN~NGENING
PATI~BATANGAN~14~PTI02~BATANGAN~PECANGAAN
PATI~BATANGAN~15~PTI02~BATANGAN~RACI
PATI~BATANGAN~16~PTI02~BATANGAN~SUKOAGUNG
PATI~BATANGAN~17~PTI02~BATANGAN~TLOGOMOJO
PATI~BATANGAN~18~PTI02~BATANGAN~TOMPOMULYO
PATI~CLUWAK~1~PTI04~CLUWAK~BLEBER
PATI~CLUWAK~2~PTI04~CLUWAK~GERIT
PATI~CLUWAK~3~PTI04~CLUWAK~GESENGAN
PATI~CLUWAK~4~PTI04~CLUWAK~KARANGSARI
PATI~CLUWAK~5~PTI04~CLUWAK~MEDANI
PATI~CLUWAK~6~PTI04~CLUWAK~MOJO
PATI~CLUWAK~7~PTI04~CLUWAK~NGABLAK
PATI~CLUWAK~8~PTI04~CLUWAK~NGAWEN
PATI~CLUWAK~9~PTI04~CLUWAK~PAYAK
PATI~CLUWAK~10~PTI04~CLUWAK~PLAOSAN
PATI~CLUWAK~11~PTI04~CLUWAK~SENTUL
PATI~CLUWAK~12~PTI04~CLUWAK~SIRAHAN
PATI~CLUWAK~13~PTI04~CLUWAK~SUMUR
PATI~DUKUHSETI~1~PTI04~DUKUHSETI~ALASDOWO
PATI~DUKUHSETI~2~PTI04~DUKUHSETI~BAKALAN
PATI~DUKUHSETI~3~PTI04~DUKUHSETI~BANYUTOWO
PATI~DUKUHSETI~4~PTI04~DUKUHSETI~DUKUHSETI
PATI~DUKUHSETI~5~PTI04~DUKUHSETI~DUMPIL
PATI~DUKUHSETI~6~PTI04~DUKUHSETI~GROGOLAN
PATI~DUKUHSETI~7~PTI04~DUKUHSETI~KEMBANG
PATI~DUKUHSETI~8~PTI04~DUKUHSETI~KENANTI
PATI~DUKUHSETI~9~PTI04~DUKUHSETI~NGAGEL
PATI~DUKUHSETI~10~PTI04~DUKUHSETI~PUNCEL
PATI~DUKUHSETI~11~PTI04~DUKUHSETI~TEGALOMBO
PATI~DUKUHSETI~12~PTI04~DUKUHSETI~WEDUSAN
PATI~GABUS~1~PTI03~GABUS~BABALAN
PATI~GABUS~2~PTI03~GABUS~BANJARSARI
PATI~GABUS~3~PTI03~GABUS~BOGOTANJUNG
PATI~GABUS~4~PTI03~GABUS~GABUS
PATI~GABUS~5~PTI03~GABUS~GEBANG
PATI~GABUS~6~PTI03~GABUS~GEMPOLSARI
PATI~GABUS~7~PTI03~GABUS~KARABAN
PATI~GABUS~8~PTI03~GABUS~KORIPANDRIYO
PATI~GABUS~9~PTI03~GABUS~KORYOKALANGAN
PATI~GABUS~10~PTI03~GABUS~KOSEKAN
PATI~GABUS~11~PTI03~GABUS~MINTOBASUKI
PATI~GABUS~12~PTI03~GABUS~MOJOLAWARAN
PATI~GABUS~13~PTI03~GABUS~PANTIREJO
PATI~GABUS~14~PTI03~GABUS~PENANGGUNGAN
PATI~GABUS~15~PTI03~GABUS~PLUMBUNGAN
PATI~GABUS~16~PTI03~GABUS~SAMBIREJO
PATI~GABUS~17~PTI03~GABUS~SOKO
PATI~GABUS~18~PTI03~GABUS~SUGIHREJO
PATI~GABUS~19~PTI03~GABUS~SUNGGINGWARNO
PATI~GABUS~20~PTI03~GABUS~TAMBAHMULYO
PATI~GABUS~21~PTI03~GABUS~TANJANG
PATI~GABUS~22~PTI03~GABUS~TANJUNGANOM
PATI~GABUS~23~PTI03~GABUS~TLOGOAYU
PATI~GABUS~24~PTI03~GABUS~WUWUR
PATI~GEMBONG~1~PTI05~GEMBONG~BAGENG
PATI~GEMBONG~2~PTI05~GEMBONG~BERMI
PATI~GEMBONG~3~PTI05~GEMBONG~GEMBONG
PATI~GEMBONG~4~PTI05~GEMBONG~KEDUNGBULUS
PATI~GEMBONG~5~PTI05~GEMBONG~KETANGGAN
PATI~GEMBONG~6~PTI05~GEMBONG~KLAKAH KASIAN
PATI~GEMBONG~7~PTI05~GEMBONG~PLUKARAN
PATI~GEMBONG~8~PTI05~GEMBONG~POHGADING
PATI~GEMBONG~9~PTI05~GEMBONG~SEMIREJO
PATI~GEMBONG~10~PTI05~GEMBONG~SITILUHUR
PATI~GEMBONG~11~PTI05~GEMBONG~WONOSEKAR
PATI~GEMBONG~12~PTI05~GEMBONG~BAGENG
PATI~GEMBONG~13~PTI05~GEMBONG~BERMI
PATI~GEMBONG~14~PTI05~GEMBONG~GEMBONG
PATI~GEMBONG~15~PTI05~GEMBONG~KEDUNGBULUS
PATI~GEMBONG~16~PTI05~GEMBONG~KETANGGAN
PATI~GEMBONG~17~PTI05~GEMBONG~KLAKAH KASIAN
PATI~GEMBONG~18~PTI05~GEMBONG~PLUKARAN
PATI~GEMBONG~19~PTI05~GEMBONG~POHGADING
PATI~GEMBONG~20~PTI05~GEMBONG~SEMIREJO
PATI~GEMBONG~21~PTI05~GEMBONG~SITILUHUR
PATI~GEMBONG~22~PTI05~GEMBONG~WONOSEKAR
PATI~GEMBONG~23~PTI05~GEMBONG~BAGENG
PATI~GEMBONG~24~PTI05~GEMBONG~BERMI
PATI~GEMBONG~25~PTI05~GEMBONG~GEMBONG
PATI~GEMBONG~26~PTI05~GEMBONG~KEDUNGBULUS
PATI~GEMBONG~27~PTI05~GEMBONG~KETANGGAN
PATI~GEMBONG~28~PTI05~GEMBONG~KLAKAH KASIAN
PATI~GEMBONG~29~PTI05~GEMBONG~PLUKARAN
PATI~GEMBONG~30~PTI05~GEMBONG~POHGADING
PATI~GEMBONG~31~PTI05~GEMBONG~SEMIREJO
PATI~GEMBONG~32~PTI05~GEMBONG~SITILUHUR
PATI~GEMBONG~33~PTI05~GEMBONG~WONOSEKAR
PATI~GEMBONG~34~PTI05~GEMBONG~BAGENG
PATI~GEMBONG~35~PTI05~GEMBONG~BERMI
PATI~GEMBONG~36~PTI05~GEMBONG~GEMBONG
PATI~GEMBONG~37~PTI05~GEMBONG~KEDUNGBULUS
PATI~GEMBONG~38~PTI05~GEMBONG~KETANGGAN
