KENDAL~BOJA~1~KNL03~BOJA~BANJAREJO
KENDAL~BOJA~2~KNL03~BOJA~BEBENGAN
KENDAL~BOJA~3~KNL03~BOJA~BLIMBING
KENDAL~BOJA~4~KNL03~BOJA~BOJA
KENDAL~BOJA~5~KNL03~BOJA~CAMPUREJO
KENDAL~BOJA~6~KNL03~BOJA~KALIGADING
KENDAL~BOJA~7~KNL03~BOJA~KRANGMANGGIS
KENDAL~BOJA~8~KNL03~BOJA~KLIRIS
KENDAL~BOJA~9~KNL03~BOJA~LEBAN
KENDAL~BOJA~10~KNL03~BOJA~MEDOHO
KENDAL~BOJA~11~KNL03~BOJA~METESIH
KENDAL~BOJA~12~KNL03~BOJA~NGABEAN
KENDAL~BOJA~13~KNL03~BOJA~PASIGITAN
KENDAL~BOJA~14~KNL03~BOJA~PUGUH
KENDAL~BOJA~15~KNL03~BOJA~PURWOGONDO
KENDAL~BOJA~16~KNL03~BOJA~SALAMSARI
KENDAL~BOJA~17~KNL03~BOJA~TAMPINGAN
KENDAL~BOJA~18~KNL03~BOJA~TRISOBO
KENDAL~BRANGSONG~1~KNL01~BRANGSONG~BLOROK
KENDAL~BRANGSONG~2~KNL01~BRANGSONG~BRANGSONG
KENDAL~BRANGSONG~3~KNL01~BRANGSONG~KEBON ADEM
KENDAL~BRANGSONG~4~KNL01~BRANGSONG~KERTOMULYO
KENDAL~BRANGSONG~5~KNL01~BRANGSONG~PENJALIN
KENDAL~BRANGSONG~6~KNL01~BRANGSONG~PURWOKERTO
KENDAL~BRANGSONG~7~KNL01~BRANGSONG~REJOSARI
KENDAL~BRANGSONG~8~KNL01~BRANGSONG~SIDOREJO
KENDAL~BRANGSONG~9~KNL01~BRANGSONG~SUMUR
KENDAL~BRANGSONG~10~KNL01~BRANGSONG~TOSARI
KENDAL~BRANGSONG~11~KNL01~BRANGSONG~TUGULSARI
KENDAL~BRANGSONG~12~KNL01~BRANGSONG~TURUNREJO
KENDAL~CEPIRING~1~KNL02~CEPIRING~BOTOMULYO
KENDAL~CEPIRING~2~KNL02~CEPIRING~CEPIRING
KENDAL~CEPIRING~3~KNL02~CEPIRING~DAMARSARI
KENDAL~CEPIRING~4~KNL02~CEPIRING~GONDANG
KENDAL~CEPIRING~5~KNL02~CEPIRING~JUWIRAN
KENDAL~CEPIRING~6~KNL02~CEPIRING~KALIAYU
KENDAL~CEPIRING~7~KNL02~CEPIRING~KALIRANDU GEDE
KENDAL~CEPIRING~8~KNL02~CEPIRING~KARANGAYU
KENDAL~CEPIRING~9~KNL02~CEPIRING~KARANGSONO
KENDAL~CEPIRING~10~KNL02~CEPIRING~KOROWELANG ANYAR
KENDAL~CEPIRING~11~KNL02~CEPIRING~KOROWELANG KULON
KENDAL~CEPIRING~12~KNL02~CEPIRING~MARGOREJO
KENDAL~CEPIRING~13~KNL02~CEPIRING~PANDES
KENDAL~CEPIRING~14~KNL02~CEPIRING~PODOSARI
KENDAL~CEPIRING~15~KNL02~CEPIRING~SIDOMULYO
KENDAL~GEMUH~1~KNL02~GEMUH~CEPOKOMULYO
KENDAL~GEMUH~2~KNL02~GEMUH~GALIH
KENDAL~GEMUH~3~KNL02~GEMUH~GEBANG
KENDAL~GEMUH~4~KNL02~GEMUH~GEMUHBLANTEN
KENDAL~GEMUH~5~KNL02~GEMUH~JENARSARI
KENDAL~GEMUH~6~KNL02~GEMUH~JOHOREJO
KENDAL~GEMUH~7~KNL02~GEMUH~KROMPAAN
KENDAL~GEMUH~8~KNL02~GEMUH~LUMANSARI
KENDAL~GEMUH~9~KNL02~GEMUH~PAMRIAN
KENDAL~GEMUH~10~KNL02~GEMUH~PONCOREJO
KENDAL~GEMUH~11~KNL02~GEMUH~SENDAYU
KENDAL~GEMUH~12~KNL02~GEMUH~SOJOMERTO
KENDAL~GEMUH~13~KNL02~GEMUH~TAMANGEDE
KENDAL~GEMUH~14~KNL02~GEMUH~TLAHAB
KENDAL~GEMUH~15~KNL02~GEMUH~TRIHARJO
KENDAL~KALIWUNGU~1~KNL01~KALIWUNGU~KARANGTENGAH
KENDAL~KALIWUNGU~2~KNL01~KALIWUNGU~KRAJAN KULON
KENDAL~KALIWUNGU~3~KNL01~KALIWUNGU~KUMPUL REJO
KENDAL~KALIWUNGU~4~KNL01~KALIWUNGU~KUTOHARJO
KENDAL~KALIWUNGU~5~KNL01~KALIWUNGU~MOROREJO
KENDAL~KALIWUNGU~6~KNL01~KALIWUNGU~NOLOKERTO
KENDAL~KALIWUNGU~7~KNL01~KALIWUNGU~SARIREJO
KENDAL~KALIWUNGU~8~KNL01~KALIWUNGU~SUMBEREJO
KENDAL~KALIWUNGU~9~KNL01~KALIWUNGU~WONOREJO
KENDAL~KALIWUNGU SELATAN~1~KNL01~KALIWUNGU SELATAN~DARUPONO
KENDAL~KALIWUNGU SELATAN~2~KNL01~KALIWUNGU SELATAN~KEDUNGSUREN
KENDAL~KALIWUNGU SELATAN~3~KNL01~KALIWUNGU SELATAN~MAGELUNG
KENDAL~KALIWUNGU SELATAN~4~KNL01~KALIWUNGU SELATAN~PLANTARAN
KENDAL~KALIWUNGU SELATAN~5~KNL01~KALIWUNGU SELATAN~PROTOMULYO
KENDAL~KALIWUNGU SELATAN~6~KNL01~KALIWUNGU SELATAN~SUKOMULYO
KENDAL~KANGKUNG~1~KNL02~KANGKUNG~GEBANGON WETAN
KENDAL~KANGKUNG~2~KNL02~KANGKUNG~JUNGSEMI
KENDAL~KANGKUNG~3~KNL02~KANGKUNG~KANDILANGU
KENDAL~KANGKUNG~4~KNL02~KANGKUNG~KALIREJO
KENDAL~KANGKUNG~5~KNL02~KANGKUNG~KALIYOSO
KENDAL~KANGKUNG~6~KNL02~KANGKUNG~KANGKUNG
KENDAL~KANGKUNG~7~KNL02~KANGKUNG~KARANGMALANG WETAN
KENDAL~KANGKUNG~8~KNL02~KANGKUNG~LABAN
KENDAL~KANGKUNG~9~KNL02~KANGKUNG~LEBOSARI
KENDAL~KANGKUNG~10~KNL02~KANGKUNG~REJOSARI
KENDAL~KANGKUNG~11~KNL02~KANGKUNG~SENDANGDAWUNG
KENDAL~KANGKUNG~12~KNL02~KANGKUNG~SENDANGKULON
KENDAL~KANGKUNG~13~KNL02~KANGKUNG~SUKODADI
KENDAL~KANGKUNG~14~KNL02~KANGKUNG~TANJUNGMULYO
KENDAL~KANGKUNG~15~KNL02~KANGKUNG~TRUKO
KENDAL~KENDAL~1~KNL01~KENDAL~BALOK
KENDAL~KENDAL~2~KNL01~KENDAL~BANDENGAN
KENDAL~KENDAL~3~KNL01~KENDAL~BANYUTUWO
KENDAL~KENDAL~4~KNL01~KENDAL~BAGANGIN
KENDAL~KENDAL~5~KNL01~KENDAL~CANDIROTO
KENDAL~KENDAL~6~KNL01~KENDAL~JETIS
KENDAL~KENDAL~7~KNL01~KENDAL~JOTANG
KENDAL~KENDAL~8~KNL01~KENDAL~KALIBUNTU WETAN
KENDAL~KENDAL~9~KNL01~KENDAL~KARANGSARI
KENDAL~KENDAL~10~KNL01~KENDAL~KEBONDALEM
KENDAL~KENDAL~11~KNL01~KENDAL~KETAPANG
KENDAL~KENDAL~12~KNL01~KENDAL~LENGGENHARJO
KENDAL~KENDAL~13~KNL01~KENDAL~NGILIR
KENDAL~KENDAL~14~KNL01~KENDAL~PAKAUMAN
KENDAL~KENDAL~15~KNL01~KENDAL~PETUKANGAN
KENDAL~KENDAL~16~KNL01~KENDAL~PEGLON
KENDAL~KENDAL~17~KNL01~KENDAL~SIJERUK
KENDAL~KENDAL~18~KNL01~KENDAL~SUKODONO
KENDAL~KENDAL~19~KNL01~KENDAL~TROMPO
KENDAL~KENDAL~20~KNL01~KENDAL~TUNGGULREJO
KENDAL~LIMBANGAN~1~KNL03~LIMBANGAN~GONDANG
KENDAL~LIMBANGAN~2~KNL03~LIMBANGAN~GONOHARJO
KENDAL~LIMBANGAN~3~KNL03~LIMBANGAN~JAWISARI
