BULUNGAN~PESO~1~TZO01~PESO~LEPAK ARU
BULUNGAN~PESO~2~TZO01~PESO~LONG BIA
BULUNGAN~PESO~3~TZO01~PESO~LONG BUANG
BULUNGAN~PESO~4~TZO01~PESO~LONG LASAN
BULUNGAN~PESO~5~TZO01~PESO~LONG LEJU
BULUNGAN~PESO~6~TZO01~PESO~LONG LIAN
BULUNGAN~PESO~7~TZO01~PESO~LONG PELEBAN
BULUNGAN~PESO~8~TZO01~PESO~LONG PESO
BULUNGAN~PESO~9~TZO01~PESO~LONG YIINPELAAH
BULUNGAN~PESO~10~TZO01~PESO~MUARA PENGEAN
BULUNGAN~PESO HILIR~1~TZO01~PESO HILIR~LONG BANG
BULUNGAN~PESO HILIR~2~TZO01~PESO HILIR~LONG BANG HULU
BULUNGAN~PESO HILIR~3~TZO01~PESO HILIR~LONG LEMBU
BULUNGAN~PESO HILIR~4~TZO01~PESO HILIR~LONG TELENJAU
BULUNGAN~PESO HILIR~5~TZO01~PESO HILIR~LONG TUNGU
BULUNGAN~PESO HILIR~6~TZO01~PESO HILIR~NAHA AYA
BULUNGAN~PULAU BUNYU~1~TZO01~PULAU BUNYU~PULAU BUNYU BARAT
BULUNGAN~PULAU BUNYU~2~TZO01~PULAU BUNYU~PULAU BUNYU SELATAN
BULUNGAN~PULAU BUNYU~3~TZO01~PULAU BUNYU~PULAU BUNYU TIMUR
BULUNGAN~SEKATAK~1~TZO01~SEKATAK~AMBALAT
BULUNGAN~SEKATAK~2~TZO01~SEKATAK~ANJAR ARIP ANJARAREF
BULUNGAN~SEKATAK~3~TZO01~SEKATAK~BAMBANG
BULUNGAN~SEKATAK~4~TZO01~SEKATAK~BEKILIU
BULUNGAN~SEKATAK~5~TZO01~SEKATAK~BUNAU
BULUNGAN~SEKATAK~6~TZO01~SEKATAK~KELINCAWAN
BULUNGAN~SEKATAK~7~TZO01~SEKATAK~KELISING KELIISING
BULUNGAN~SEKATAK~8~TZO01~SEKATAK~KELUMBUNAN KELEMBUNAN
BULUNGAN~SEKATAK~9~TZO01~SEKATAK~KENDARI
BULUNGAN~SEKATAK~10~TZO01~SEKATAK~KERITING
BULUNGAN~SEKATAK~11~TZO01~SEKATAK~LIU AGU LIAGU
BULUNGAN~SEKATAK~12~TZO01~SEKATAK~MARITAM
BULUNGAN~SEKATAK~13~TZO01~SEKATAK~PARU ABANG
BULUNGAN~SEKATAK~14~TZO01~SEKATAK~PENTIAN
BULUNGAN~SEKATAK~15~TZO01~SEKATAK~PUNAN DULAU
BULUNGAN~SEKATAK~16~TZO01~SEKATAK~PUNGIT
BULUNGAN~SEKATAK~17~TZO01~SEKATAK~SEKATAK BENGARA
BULUNGAN~SEKATAK~18~TZO01~SEKATAK~SEKATAK BUJI
BULUNGAN~SEKATAK~19~TZO01~SEKATAK~TENGGILING
BULUNGAN~SEKATAK~20~TZO01~SEKATAK~TERINDAK
BULUNGAN~SEKATAK~21~TZO01~SEKATAK~TURUNG
BULUNGAN~SEKATAK~22~TZO01~SEKATAK~UJANG
BULUNGAN~TANJUNG PALAS~1~TZO01~TANJUNG PALAS~ANTUTAN
BULUNGAN~TANJUNG PALAS~2~TZO01~TANJUNG PALAS~GUNUNG PUTIH
BULUNGAN~TANJUNG PALAS~3~TZO01~TANJUNG PALAS~PEJALIN
