REMBANG~BULU~1~RMB01~BULU~BULU
REMBANG~BULU~2~RMB01~BULU~CABEAN
REMBANG~BULU~3~RMB01~BULU~JUKUNG
REMBANG~BULU~4~RMB01~BULU~KADIWONO
REMBANG~BULU~5~RMB01~BULU~KARANGASEM
REMBANG~BULU~6~RMB01~BULU~LAMBANGAN KULON
REMBANG~BULU~7~RMB01~BULU~LAMBANGAN WETAN
REMBANG~BULU~8~RMB01~BULU~MANTINGAN
REMBANG~BULU~9~RMB01~BULU~MLATIREJO
REMBANG~BULU~10~RMB01~BULU~NGULAAN
REMBANG~BULU~11~RMB01~BULU~PASEDAN
REMBANG~BULU~12~RMB01~BULU~PINGGAN
REMBANG~BULU~13~RMB01~BULU~PONDOKREJO
REMBANG~BULU~14~RMB01~BULU~SENDANGMULYO
REMBANG~BULU~15~RMB01~BULU~SUMBERMULYO
REMBANG~BULU~16~RMB01~BULU~WARUGUNUNG
REMBANG~GUNEM~1~RMB02~GUNEM~BANYUURIP
REMBANG~GUNEM~2~RMB02~GUNEM~DEMAAN
REMBANG~GUNEM~3~RMB02~GUNEM~DOWAN
REMBANG~GUNEM~4~RMB02~GUNEM~GUNEM
REMBANG~GUNEM~5~RMB02~GUNEM~KAJAR
REMBANG~GUNEM~6~RMB02~GUNEM~KULUTAN
REMBANG~GUNEM~7~RMB02~GUNEM~PANOHAN
REMBANG~GUNEM~8~RMB02~GUNEM~PASUCEN
REMBANG~GUNEM~9~RMB02~GUNEM~SAMBONGPAYAK
REMBANG~GUNEM~10~RMB02~GUNEM~SENDANGMULYO
REMBANG~GUNEM~11~RMB02~GUNEM~SIDOMULYO
REMBANG~GUNEM~12~RMB02~GUNEM~SUNTRI
REMBANG~GUNEM~13~RMB02~GUNEM~TEGALDOWO
REMBANG~GUNEM~14~RMB02~GUNEM~TELGAWAH
REMBANG~GUNEM~15~RMB02~GUNEM~TIMBRANGAN
REMBANG~GUNEM~16~RMB02~GUNEM~TREMBES
REMBANG~KALIORI~1~RMB01~KALIORI~BABADAN
REMBANG~KALIORI~2~RMB01~KALIORI~BANGGI
REMBANG~KALIORI~3~RMB01~KALIORI~BANYUDONO
REMBANG~KALIORI~4~RMB01~KALIORI~BOGOHARJO
REMBANG~KALIORI~5~RMB01~KALIORI~DRESI KULON
REMBANG~KALIORI~6~RMB01~KALIORI~DRESI WETAN
REMBANG~KALIORI~7~RMB01~KALIORI~GUNUNGSARI
REMBANG~KALIORI~8~RMB01~KALIORI~KARANGSEKAR
REMBANG~KALIORI~9~RMB01~KALIORI~KUANGSAN
REMBANG~KALIORI~10~RMB01~KALIORI~MAGUAN
REMBANG~KALIORI~11~RMB01~KALIORI~METESEH
REMBANG~KALIORI~12~RMB01~KALIORI~MOJOREMBUN
REMBANG~KALIORI~13~RMB01~KALIORI~MOJOWARNO
REMBANG~KALIORI~14~RMB01~KALIORI~PANTIHARJO
REMBANG~KALIORI~15~RMB01~KALIORI~PENGKOL
REMBANG~KALIORI~16~RMB01~KALIORI~PURWOREJO
REMBANG~KALIORI~17~RMB01~KALIORI~SAMBIYAN
REMBANG~KALIORI~18~RMB01~KALIORI~SENDANGAGUNG
REMBANG~KALIORI~19~RMB01~KALIORI~SIDOMULYO
REMBANG~KALIORI~20~RMB01~KALIORI~TAMBAKAGUNG
REMBANG~KALIORI~21~RMB01~KALIORI~TASIKHARJO
REMBANG~KALIORI~22~RMB01~KALIORI~TUNGGULSARI
REMBANG~KALIORI~23~RMB01~KALIORI~WIROTO
REMBANG~KRAGAN~1~RMB03~KRAGAN~BALONGMULYO
REMBANG~KRAGAN~2~RMB03~KRAGAN~KARANGANYAR
REMBANG~KRAGAN~3~RMB03~KRAGAN~KARANGHARJO
REMBANG~KRAGAN~4~RMB03~KRAGAN~KARANGLINCAK
REMBANG~KRAGAN~5~RMB03~KRAGAN~KEBLORAN
REMBANG~KRAGAN~6~RMB03~KRAGAN~KENDALAGUNG
REMBANG~KRAGAN~7~RMB03~KRAGAN~KRAGAN
