TAKALAR~GALESONG~1~TKL01~GALESONG~BODDIA
TAKALAR~GALESONG~2~TKL01~GALESONG~BONTO LOE
TAKALAR~GALESONG~3~TKL01~GALESONG~BONTOMANGAPE
TAKALAR~GALESONG~4~TKL01~GALESONG~GALESONG BARU
TAKALAR~GALESONG~5~TKL01~GALESONG~GALESONG KOTA
TAKALAR~GALESONG~6~TKL01~GALESONG~PARAMBAMBE
TAKALAR~GALESONG~7~TKL01~GALESONG~PARANGMATA
TAKALAR~GALESONG~8~TKL01~GALESONG~KALENNA BONONGAPE
TAKALAR~GALESONG~9~TKL01~GALESONG~PA'LALAKKANG
TAKALAR~GALESONG~10~TKL01~GALESONG~PA'RASANGAN BERU
TAKALAR~GALESONG~11~TKL01~GALESONG~PATTINOANG
TAKALAR~GALESONG SELATAN~1~TKL01~GALESONG SELATAN~BARAMAMASSE
TAKALAR~GALESONG SELATAN~2~TKL01~GALESONG SELATAN~BENTAN
TAKALAR~GALESONG SELATAN~3~TKL01~GALESONG SELATAN~BONTO KASSI
TAKALAR~GALESONG SELATAN~4~TKL01~GALESONG SELATAN~BONTOMARANNU
TAKALAR~GALESONG SELATAN~5~TKL01~GALESONG SELATAN~BONTOKANANG
TAKALAR~GALESONG SELATAN~6~TKL01~GALESONG SELATAN~MANGINDARA
TAKALAR~GALESONG SELATAN~7~TKL01~GALESONG SELATAN~POPO
TAKALAR~GALESONG SELATAN~8~TKL01~GALESONG SELATAN~SAWAKONG
TAKALAR~GALESONG UTARA~1~TKL01~GALESONG UTARA~AENG BATU-BATU
TAKALAR~GALESONG UTARA~2~TKL01~GALESONG UTARA~BONTO LANRA
TAKALAR~GALESONG UTARA~3~TKL01~GALESONG UTARA~BONTO SUNGGU
TAKALAR~GALESONG UTARA~4~TKL01~GALESONG UTARA~BONTOLEBANG
TAKALAR~GALESONG UTARA~5~TKL01~GALESONG UTARA~PAKKABBA
TAKALAR~GALESONG UTARA~6~TKL01~GALESONG UTARA~TAMALATE
TAKALAR~GALESONG UTARA~7~TKL01~GALESONG UTARA~TAMASAJU
TAKALAR~MANGARA BOMBANG ~1~TKL01~MANGARA BOMBANG~BANGGAE
TAKALAR~MANGARA BOMBANG ~2~TKL01~MANGARA BOMBANG~BONTOMANAI
TAKALAR~MANGARA BOMBANG ~3~TKL01~MANGARA BOMBANG~BONTOPARANG
TAKALAR~MANGARA BOMBANG ~4~TKL01~MANGARA BOMBANG~CIKOWANG
TAKALAR~MANGARA BOMBANG ~5~TKL01~MANGARA BOMBANG~LAIKANG
TAKALAR~MANGARA BOMBANG ~6~TKL01~MANGARA BOMBANG~LAKATONG
TAKALAR~MANGARA BOMBANG ~7~TKL01~MANGARA BOMBANG~LENGKESE
TAKALAR~MANGARA BOMBANG ~8~TKL01~MANGARA BOMBANG~MANGADU
TAKALAR~MANGARA BOMBANG ~9~TKL01~MANGARA BOMBANG~PAYANGKALANG
TAKALAR~MANGARA BOMBANG ~10~TKL01~MANGARA BOMBANG~PATTOPPAKANG
TAKALAR~MANGARA BOMBANG ~11~TKL01~MANGARA BOMBANG~PUNAGA
TAKALAR~MANGARA BOMBANG ~12~TKL01~MANGARA BOMBANG~TOPEJAWA
TAKALAR~MAPPAKASUNGGU~1~TKL01~MAPPAKASUNGGU~MACCINIBAJI
TAKALAR~MAPPAKASUNGGU~2~TKL01~MAPPAKASUNGGU~MATTIROBAJI
TAKALAR~MAPPAKASUNGGU~3~TKL01~MAPPAKASUNGGU~PATANI
TAKALAR~MAPPAKASUNGGU~4~TKL01~MAPPAKASUNGGU~TAKALAR KOTA
TAKALAR~PATALLASSANG~1~TKL01~PATALLASSANG~BAJENG
TAKALAR~PATALLASSANG~2~TKL01~PATALLASSANG~KALABBIRANG
TAKALAR~PATALLASSANG~3~TKL01~PATALLASSANG~MARADEKAYA
TAKALAR~PATALLASSANG~4~TKL01~PATALLASSANG~PALLANTIKANG
TAKALAR~PATALLASSANG~5~TKL01~PATALLASSANG~PAPPA
TAKALAR~PATALLASSANG~6~TKL01~PATALLASSANG~PATTALLASSANG
TAKALAR~PATALLASSANG~7~TKL01~PATALLASSANG~SABINTANG
TAKALAR~PATALLASSANG~8~TKL01~PATALLASSANG~SOMBALA BELLA
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~1~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~BONTOKADATTO
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~2~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~BULUKUNYI
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~3~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~CAKURA
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~4~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~CANREGO
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~5~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~LANTANG
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~6~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~CANREGO
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~7~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~LANTANG
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~8~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~MONCONGKOMBA
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~9~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~PA BUNDUKANG
TAKALAR~POLOBANGKENG / POLOBANGKENG SELATAN ~10~TKL01~POLOBANGKENG / POLOBANGKENG SELATAN~PATTE NE
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~1~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~BARUGAYA
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~2~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~KAMPUNG BERU
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~3~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~KO MARA
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~4~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~LASSANG
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~5~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~MALEWANG
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~6~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~MANNONGKOKI
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~7~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~MASSAMATURU
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~8~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~MATTAOMPODALLE
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~9~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~PA RAPPUNGANTA
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~10~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~PALLEKO
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~11~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~PANRANNUANGKU
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~12~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~PARANG BADDO
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~13~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~PARANG LUARA
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~14~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~TIMBUSENG
TAKALAR~POLOBANGKENG / POLOBANGKENG UTARA~15~TKL01~POLOBANGKENG / POLOBANGKENG UTARA~TOWATA
TAKALAR~SANROBONE ~1~TKL01~SANROBONE~BANYUANYARA
TAKALAR~SANROBONE ~2~TKL01~SANROBONE~LAGURUDA
TAKALAR~SANROBONE ~3~TKL01~SANROBONE~PADDINGING
