SENTANI~AIRU~1~SET01~AIRU~AURINA
SENTANI~AIRU~2~SET01~AIRU~HULU ATAS
SENTANI~AIRU~3~SET01~AIRU~MUARA NAWA MUARAH MAWA
SENTANI~AIRU~4~SET01~AIRU~PAGAI
SENTANI~DEMTA~1~SET01~DEMTA~AMBORA
SENTANI~DEMTA~2~SET01~DEMTA~DEMTA KOTA
SENTANI~DEMTA~3~SET01~DEMTA~KAMDERA
SENTANI~DEMTA~4~SET01~DEMTA~MUAIF
SENTANI~DEMTA~5~SET01~DEMTA~MURIS KECIL
SENTANI~DEMTA~6~SET01~DEMTA~YAKORE
SENTANI~DEMTA~7~SET01~DEMTA~YAUGAPSA YOUGAPSA
SENTANI~DEPAPRE~1~SET01~DEPAPRE~ENTIYEBO
SENTANI~DEPAPRE~2~SET01~DEPAPRE~KENDATE
SENTANI~DEPAPRE~3~SET01~DEPAPRE~TABLASUPA
SENTANI~DEPAPRE~4~SET01~DEPAPRE~WAIYA
SENTANI~DEPAPRE~5~SET01~DEPAPRE~WAMBENA
SENTANI~DEPAPRE~6~SET01~DEPAPRE~YEFASE YEPASE
SENTANI~DEPAPRE~7~SET01~DEPAPRE~YEWENA
SENTANI~EBUNGFAU~1~SET01~EBUNGFAU~ABAR ATABAR
SENTANI~EBUNGFAU~2~SET01~EBUNGFAU~BABRONGKO IFAR BOBRONGKO
SENTANI~EBUNGFAU~3~SET01~EBUNGFAU~EBUNGFA
SENTANI~EBUNGFAU~4~SET01~EBUNGFAU~KHAMEYAKA KAMEYOKA/KHAMAEKA
SENTANI~EBUNGFAU~5~SET01~EBUNGFAU~SIMPORO BABO/YOSIBA/HOMF
SENTANI~GRESI SELATAN~1~SET01~GRESI SELATAN~BANGAI
SENTANI~GRESI SELATAN~2~SET01~GRESI SELATAN~IWON
SENTANI~GRESI SELATAN~3~SET01~GRESI SELATAN~KLAISU
SENTANI~KAUREH~1~SET01~KAUREH~LAPUA
SENTANI~KAUREH~2~SET01~KAUREH~SEBUM
SENTANI~KAUREH~3~SET01~KAUREH~SOSKOTEK
SENTANI~KAUREH~4~SET01~KAUREH~UMBRON
SENTANI~KAUREH~5~SET01~KAUREH~YADOUW YADAUW
SENTANI~KEMTUK~1~SET01~KEMTUK~AIB
SENTANI~KEMTUK~2~SET01~KEMTUK~BENGGUIN PROGO
