PASAMAN~BONJOL~1~LSG01~BONJOL~AIA ABU
PASAMAN~BONJOL~2~LSG01~BONJOL~BATU BADINDIANG
PASAMAN~BONJOL~3~LSG01~BONJOL~GANGGO HILIA
PASAMAN~BONJOL~4~LSG01~BONJOL~GANGGO MUDIAK
PASAMAN~BONJOL~5~LSG01~BONJOL~KAMPUNG DALAM
PASAMAN~BONJOL~6~LSG01~BONJOL~KAMPUNG MELAYU
PASAMAN~BONJOL~7~LSG01~BONJOL~KAMPUNG PANDAM
PASAMAN~BONJOL~8~LSG01~BONJOL~KAMPUNG PARIK
PASAMAN~BONJOL~9~LSG01~BONJOL~KOTO KACIAK
PASAMAN~BONJOL~10~LSG01~BONJOL~LIMO KOTO
PASAMAN~BONJOL~11~LSG01~BONJOL~LURAH BARANGIN
PASAMAN~BONJOL~12~LSG01~BONJOL~TABIANG
PASAMAN~DUO KOTO~1~LSG01~DUO KOTO~BATANG TUHUR
PASAMAN~DUO KOTO~2~LSG01~DUO KOTO~CUBADAK PASA CUBADAK
PASAMAN~DUO KOTO~3~LSG01~DUO KOTO~KALABU
PASAMAN~DUO KOTO~4~LSG01~DUO KOTO~LANAI SINOANGON
PASAMAN~DUO KOTO~5~LSG01~DUO KOTO~SENTOSA
PASAMAN~DUO KOTO~6~LSG01~DUO KOTO~SETIA
PASAMAN~DUO KOTO~7~LSG01~DUO KOTO~SILANG IV SILALANG
PASAMAN~DUO KOTO~8~LSG01~DUO KOTO~SIMPANG TIGO CUBADAK
PASAMAN~DUO KOTO~9~LSG01~DUO KOTO~SIMPANG TONANG
PASAMAN~DUO KOTO~10~LSG01~DUO KOTO~SUNGAI BARAMEH
PASAMAN~DUO KOTO~11~LSG01~DUO KOTO~TANJUNG MAS
PASAMAN~DUO KOTO~12~LSG01~DUO KOTO~TONANG RAYA
PASAMAN~LUBUK SIKAPING~1~LSG01~LUBUK SIKAPING~PAUH/PAUAH
PASAMAN~LUBUK SIKAPING~2~LSG01~LUBUK SIKAPING~SUNDATA
PASAMAN~LUBUK SIKAPING~3~LSG01~LUBUK SIKAPING~AIA MANGGIH
PASAMAN~LUBUK SIKAPING~4~LSG01~LUBUK SIKAPING~AMBACANG ANGGANG
PASAMAN~LUBUK SIKAPING~5~LSG01~LUBUK SIKAPING~DURIAN TINGGI
PASAMAN~LUBUK SIKAPING~6~LSG01~LUBUK SIKAPING~JAMBAK
