SIGLI~BATEE~1~SGL01~BATEE~ALUE LADA
SIGLI~BATEE~2~SGL01~BATEE~ARON
SIGLI~BATEE~3~SGL01~BATEE~AWE
SIGLI~BATEE~4~SGL01~BATEE~BINTANG HU
SIGLI~BATEE~5~SGL01~BATEE~CALONG CUT
SIGLI~BATEE~6~SGL01~BATEE~CRUENG
SIGLI~BATEE~7~SGL01~BATEE~DAYAH
SIGLI~BATEE~8~SGL01~BATEE~DAYAH BAROH
SIGLI~BATEE~9~SGL01~BATEE~DAYAH TUHA
SIGLI~BATEE~10~SGL01~BATEE~GEUNTENG BARAT
SIGLI~BATEE~11~SGL01~BATEE~GEUNTENG TIMUR
SIGLI~BATEE~12~SGL01~BATEE~GLUMPANG LHEE
SIGLI~BATEE~13~SGL01~BATEE~KAREUNG
SIGLI~BATEE~14~SGL01~BATEE~KULAM
SIGLI~BATEE~15~SGL01~BATEE~KULEE
SIGLI~BATEE~16~SGL01~BATEE~MEE
SIGLI~BATEE~17~SGL01~BATEE~MESJID
SIGLI~BATEE~18~SGL01~BATEE~MEUCAT
SIGLI~BATEE~19~SGL01~BATEE~NEUHEUN
SIGLI~BATEE~20~SGL01~BATEE~PASI BEURANDEH
SIGLI~BATEE~21~SGL01~BATEE~PULO BUNGONG
SIGLI~BATEE~22~SGL01~BATEE~PULO PANDE
SIGLI~BATEE~23~SGL01~BATEE~PULO TUKOK
SIGLI~BATEE~24~SGL01~BATEE~RUNGKOM
SIGLI~BATEE~25~SGL01~BATEE~SEULATAN
SIGLI~BATEE~26~SGL01~BATEE~TEUPIN JEU
SIGLI~BATEE~27~SGL01~BATEE~TEUPIN RAYA
SIGLI~BATEE~28~SGL01~BATEE~TUHA
SIGLI~DELIMA~1~SGL01~DELIMA~BULOH
SIGLI~DELIMA~2~SGL01~DELIMA~BUNGO
SIGLI~DELIMA~3~SGL01~DELIMA~CEURIH ALUE
SIGLI~DELIMA~4~SGL01~DELIMA~CEURIH BLANG MEE
SIGLI~DELIMA~5~SGL01~DELIMA~CEURIH COT
SIGLI~DELIMA~6~SGL01~DELIMA~CEURIH KEUPULA
SIGLI~DELIMA~7~SGL01~DELIMA~DABOH
SIGLI~DELIMA~8~SGL01~DELIMA~DAYAH BARO
SIGLI~DELIMA~9~SGL01~DELIMA~DAYAH BEUAH
SIGLI~DELIMA~10~SGL01~DELIMA~DAYAH REUBEE
SIGLI~DELIMA~11~SGL01~DELIMA~GAMPONG CUT (MEUNASAH CUT)
SIGLI~DELIMA~12~SGL01~DELIMA~GEUDONG
SIGLI~DELIMA~13~SGL01~DELIMA~GLEE
SIGLI~DELIMA~14~SGL01~DELIMA~JAMBEE
SIGLI~DELIMA~15~SGL01~DELIMA~KEUTAPANG AREE
SIGLI~DELIMA~16~SGL01~DELIMA~KEUTAPANG BAMBONG
SIGLI~DELIMA~17~SGL01~DELIMA~KRUENG
SIGLI~DELIMA~18~SGL01~DELIMA~KRUENG COT
SIGLI~DELIMA~19~SGL01~DELIMA~KRUMBOK
SIGLI~DELIMA~20~SGL01~DELIMA~KUMBANG
SIGLI~DELIMA~21~SGL01~DELIMA~LHEE MEUNASAH
SIGLI~DELIMA~22~SGL01~DELIMA~LUENG DAMA
SIGLI~DELIMA~23~SGL01~DELIMA~MESJID AREE
SIGLI~DELIMA~24~SGL01~DELIMA~MESJID BAMBONG
SIGLI~DELIMA~25~SGL01~DELIMA~MESJID BEUAH
SIGLI~DELIMA~26~SGL01~DELIMA~MESJID REUBEE
SIGLI~DELIMA~27~SGL01~DELIMA~MEUTAREUM
SIGLI~DELIMA~28~SGL01~DELIMA~NEULOP
SIGLI~DELIMA~29~SGL01~DELIMA~PANGOE
SIGLI~DELIMA~30~SGL01~DELIMA~PANTE AREE
SIGLI~DELIMA~31~SGL01~DELIMA~PULO BAROH
SIGLI~DELIMA~32~SGL01~DELIMA~PULO TUNONG
SIGLI~DELIMA~33~SGL01~DELIMA~PUUK
SIGLI~DELIMA~34~SGL01~DELIMA~RAYA
SIGLI~DELIMA~35~SGL01~DELIMA~REUBA
SIGLI~DELIMA~36~SGL01~DELIMA~REUSEP
SIGLI~DELIMA~37~SGL01~DELIMA~RUNTOH
