MAUMERE~ALOK~1~MOF01~ALOK~KABOR
MAUMERE~ALOK~2~MOF01~ALOK~MADAWAT
MAUMERE~ALOK~3~MOF01~ALOK~KOTA UNENG
MAUMERE~ALOK~4~MOF01~ALOK~GUNUNG SARI
MAUMERE~ALOK~5~MOF01~ALOK~PEMANA
MAUMERE~ALOK~6~MOF01~ALOK~SAMPARONG
MAUMERE~ALOK~7~MOF01~ALOK~NANGALIMANG
MAUMERE~ALOK BARAT~1~MOF01~ALOK BARAT~WAILITI
MAUMERE~ALOK BARAT~2~MOF01~ALOK BARAT~WOLOMARANG
MAUMERE~ALOK BARAT~3~MOF01~ALOK BARAT~HEWULI
MAUMERE~ALOK BARAT~4~MOF01~ALOK BARAT~WURING
MAUMERE~ALOK TIMUR~1~MOF01~ALOK TIMUR~BERU
MAUMERE~ALOK TIMUR~2~MOF01~ALOK TIMUR~WAIROTANG
MAUMERE~ALOK TIMUR~3~MOF01~ALOK TIMUR~KOJADOI
MAUMERE~ALOK TIMUR~4~MOF01~ALOK TIMUR~KOJAGETE
MAUMERE~ALOK TIMUR~5~MOF01~ALOK TIMUR~LEPOLIMA
MAUMERE~ALOK TIMUR~6~MOF01~ALOK TIMUR~PARUMAAN
MAUMERE~ALOK TIMUR~7~MOF01~ALOK TIMUR~WATUGONG
MAUMERE~ALOK TIMUR~8~MOF01~ALOK TIMUR~NANGAMETING
MAUMERE~ALOK TIMUR~9~MOF01~ALOK TIMUR~WAIOTI
MAUMERE~ALOK TIMUR~10~MOF01~ALOK TIMUR~KOTA BARU
MAUMERE~BOLA~1~MOF01~BOLA~BOLA
MAUMERE~BOLA~2~MOF01~BOLA~HOKOR
MAUMERE~BOLA~3~MOF01~BOLA~IPIR
MAUMERE~BOLA~4~MOF01~BOLA~UMAUTA
MAUMERE~BOLA~5~MOF01~BOLA~WOLOKOLI
MAUMERE~BOLA~6~MOF01~BOLA~WOLONWALU
MAUMERE~DORENG~1~MOF01~DORENG~KLOANGPOPOT
MAUMERE~DORENG~2~MOF01~DORENG~NENBURA
MAUMERE~DORENG~3~MOF01~DORENG~WAIHAWA
MAUMERE~DORENG~4~MOF01~DORENG~WATUMERAK
MAUMERE~DORENG~5~MOF01~DORENG~WOGALIRIT
MAUMERE~DORENG~6~MOF01~DORENG~WOLOMOTONG
MAUMERE~DORENG~7~MOF01~DORENG~WOLONTERANG
MAUMERE~HEWOKLOANG~1~MOF01~HEWOKLOANG~BAOMEKOT
MAUMERE~HEWOKLOANG~2~MOF01~HEWOKLOANG~HEOPUAT
MAUMERE~HEWOKLOANG~3~MOF01~HEWOKLOANG~HEWOKLOANG
MAUMERE~HEWOKLOANG~4~MOF01~HEWOKLOANG~KAJOWAIR
MAUMERE~HEWOKLOANG~5~MOF01~HEWOKLOANG~MUNERANA
MAUMERE~HEWOKLOANG~6~MOF01~HEWOKLOANG~RUBIT
MAUMERE~HEWOKLOANG~7~MOF01~HEWOKLOANG~WOLOMAPA
MAUMERE~KANGAE~1~MOF01~KANGAE~BLATATATIN
MAUMERE~KANGAE~2~MOF01~KANGAE~HABI
MAUMERE~KANGAE~3~MOF01~KANGAE~KOKOWAHOR
MAUMERE~KANGAE~4~MOF01~KANGAE~LANGIR
MAUMERE~KANGAE~5~MOF01~KANGAE~MEKENDETUNG
MAUMERE~KANGAE~6~MOF01~KANGAE~TANADUEN
MAUMERE~KANGAE~7~MOF01~KANGAE~TEKAIKU
MAUMERE~KANGAE~8~MOF01~KANGAE~WATULIWUNG
MAUMERE~KANGAE~9~MOF01~KANGAE~WATUMILOK
MAUMERE~KEWAPANTE~1~MOF01~KEWAPANTE~GELITING
MAUMERE~KEWAPANTE~2~MOF01~KEWAPANTE~IAN TENA
MAUMERE~KEWAPANTE~3~MOF01~KEWAPANTE~KOPONG
MAUMERE~KEWAPANTE~4~MOF01~KEWAPANTE~NAMANGKEWA
