LUWU~BAJO~1~BEL01~BAJO~BAJO
LUWU~BAJO~2~BEL01~BAJO~BALLA
LUWU~BAJO~3~BEL01~BAJO~JAMBU
LUWU~BAJO~4~BEL01~BAJO~PANGI
LUWU~BAJO~5~BEL01~BAJO~RUMAJU
LUWU~BAJO~6~BEL01~BAJO~SAGA
LUWU~BAJO~7~BEL01~BAJO~SAMPA
LUWU~BAJO~8~BEL01~BAJO~SUMABU
LUWU~BAJO~9~BEL01~BAJO~TALLANG BULAWANG
LUWU~BAJO BARAT~1~BEL01~BAJO BARAT~BONELEMO
LUWU~BAJO BARAT~2~BEL01~BAJO BARAT~KADONGKADONG
LUWU~BAJO BARAT~3~BEL01~BAJO BARAT~MARINDING
LUWU~BAJO BARAT~4~BEL01~BAJO BARAT~SAMPEANG
LUWU~BAJO BARAT~5~BEL01~BAJO BARAT~SARONDA
LUWU~BAJO BARAT~6~BEL01~BAJO BARAT~TETEKANG
LUWU~BAJO BARAT~7~BEL01~BAJO BARAT~TUMBU BARAK
LUWU~BASSESANG TEMPE~1~BEL01~BASSESANG TEMPE~ANDULAN
LUWU~BASSESANG TEMPE~2~BEL01~BASSESANG TEMPE~BARANA
LUWU~BASSESANG TEMPE~3~BEL01~BASSESANG TEMPE~BOLU
LUWU~BASSESANG TEMPE~4~BEL01~BASSESANG TEMPE~BONGLO
LUWU~BASSESANG TEMPE~5~BEL01~BASSESANG TEMPE~BUNTU BATU
LUWU~BASSESANG TEMPE~6~BEL01~BASSESANG TEMPE~BUNTU TALLANG
LUWU~BASSESANG TEMPE~7~BEL01~BASSESANG TEMPE~DAMPAN
LUWU~BASSESANG TEMPE~8~BEL01~BASSESANG TEMPE~KANNA
LUWU~BASSESANG TEMPE~9~BEL01~BASSESANG TEMPE~KANNA UTARA
LUWU~BASSESANG TEMPE~10~BEL01~BASSESANG TEMPE~KARATUAN
LUWU~BASSESANG TEMPE~11~BEL01~BASSESANG TEMPE~LANGE
LUWU~BASSESANG TEMPE~12~BEL01~BASSESANG TEMPE~LEDAN
LUWU~BASSESANG TEMPE~13~BEL01~BASSESANG TEMPE~LISSAGA
LUWU~BASSESANG TEMPE~14~BEL01~BASSESANG TEMPE~MAINDO
LUWU~BASSESANG TEMPE~15~BEL01~BASSESANG TEMPE~MAPPETAJANG
LUWU~BASSESANG TEMPE~16~BEL01~BASSESANG TEMPE~PANTILANG
LUWU~BASSESANG TEMPE~17~BEL01~BASSESANG TEMPE~SALUBUA
LUWU~BASSESANG TEMPE~18~BEL01~BASSESANG TEMPE~SINAJI
LUWU~BASSESANG TEMPE~19~BEL01~BASSESANG TEMPE~TABI
LUWU~BASSESANG TEMPE~20~BEL01~BASSESANG TEMPE~TASANGTONGKONAN
LUWU~BASSESANG TEMPE~21~BEL01~BASSESANG TEMPE~TEDE
LUWU~BASSESANG TEMPE~22~BEL01~BASSESANG TEMPE~TO LONG
LUWU~BASSESANG TEMPE~23~BEL01~BASSESANG TEMPE~URASU URASO
LUWU~BELOPA~1~BEL01~BELOPA~BALO BALO
LUWU~BELOPA~2~BEL01~BELOPA~BALUBU
LUWU~BELOPA~3~BEL01~BELOPA~BELOPA
LUWU~BELOPA~4~BEL01~BELOPA~KURRUSUMANGA
LUWU~BELOPA~5~BEL01~BELOPA~PASAMAI
LUWU~BELOPA~6~BEL01~BELOPA~SENGA
LUWU~BELOPA~7~BEL01~BELOPA~SENGA SELATAN
