BOYOLALI~AMPEL~1~BYL03~AMPEL~NGAGRONG
BOYOLALI~AMPEL~2~BYL03~AMPEL~SEBOTO
BOYOLALI~AMPEL~3~BYL03~AMPEL~TANDUK
BOYOLALI~AMPEL~4~BYL03~AMPEL~BANYUANYAR
BOYOLALI~AMPEL~5~BYL03~AMPEL~SIDOMULYO
BOYOLALI~AMPEL~6~BYL03~AMPEL~NGARGOSARI
BOYOLALI~AMPEL~7~BYL03~AMPEL~SELODOKO
BOYOLALI~AMPEL~8~BYL03~AMPEL~NGENDEN
BOYOLALI~AMPEL~9~BYL03~AMPEL~NGAMPON
BOYOLALI~AMPEL~10~BYL03~AMPEL~GONDANGSLAMET
BOYOLALI~AMPEL~11~BYL03~AMPEL~CANDI
BOYOLALI~AMPEL~12~BYL03~AMPEL~URUTSEWU
BOYOLALI~AMPEL~13~BYL03~AMPEL~KALIGENTONG
BOYOLALI~AMPEL~14~BYL03~AMPEL~GLADAGSARI
BOYOLALI~AMPEL~15~BYL03~AMPEL~KEMBANG
BOYOLALI~AMPEL~16~BYL03~AMPEL~CANDISARI
BOYOLALI~AMPEL~17~BYL03~AMPEL~NGARGOLOKO
BOYOLALI~AMPEL~18~BYL03~AMPEL~SAMPETAN
BOYOLALI~AMPEL~19~BYL03~AMPEL~NGADIROJO
BOYOLALI~AMPEL~20~BYL03~AMPEL~JLAREM
BOYOLALI~AMPEL~21~BYL03~AMPEL~NGAGRONG
BOYOLALI~AMPEL~22~BYL03~AMPEL~SEBOTO
BOYOLALI~AMPEL~23~BYL03~AMPEL~TANDUK
BOYOLALI~AMPEL~24~BYL03~AMPEL~BANYUANYAR
BOYOLALI~AMPEL~25~BYL03~AMPEL~SIDOMULYO
BOYOLALI~AMPEL~26~BYL03~AMPEL~NGARGOSARI
BOYOLALI~AMPEL~27~BYL03~AMPEL~SELODOKO
BOYOLALI~AMPEL~28~BYL03~AMPEL~NGENDEN
BOYOLALI~AMPEL~29~BYL03~AMPEL~NGAMPON
BOYOLALI~AMPEL~30~BYL03~AMPEL~GONDANGSLAMET
BOYOLALI~AMPEL~31~BYL03~AMPEL~CANDI
BOYOLALI~AMPEL~32~BYL03~AMPEL~URUTSEWU
BOYOLALI~AMPEL~33~BYL03~AMPEL~KALIGENTONG
BOYOLALI~AMPEL~34~BYL03~AMPEL~GLADAGSARI
BOYOLALI~AMPEL~35~BYL03~AMPEL~KEMBANG
BOYOLALI~AMPEL~36~BYL03~AMPEL~CANDISARI
BOYOLALI~AMPEL~37~BYL03~AMPEL~NGARGOLOKO
BOYOLALI~AMPEL~38~BYL03~AMPEL~SAMPETAN
BOYOLALI~AMPEL~39~BYL03~AMPEL~NGADIROJO
BOYOLALI~AMPEL~40~BYL03~AMPEL~JLAREM
BOYOLALI~AMPEL~41~BYL03~AMPEL~NGAGRONG
BOYOLALI~AMPEL~42~BYL03~AMPEL~SEBOTO
BOYOLALI~AMPEL~43~BYL03~AMPEL~TANDUK
BOYOLALI~AMPEL~44~BYL03~AMPEL~BANYUANYAR
BOYOLALI~AMPEL~45~BYL03~AMPEL~SIDOMULYO
BOYOLALI~AMPEL~46~BYL03~AMPEL~NGARGOSARI
BOYOLALI~AMPEL~47~BYL03~AMPEL~SELODOKO
BOYOLALI~AMPEL~48~BYL03~AMPEL~NGENDEN
BOYOLALI~AMPEL~49~BYL03~AMPEL~NGAMPON
BOYOLALI~AMPEL~50~BYL03~AMPEL~GONDANGSLAMET
BOYOLALI~AMPEL~51~BYL03~AMPEL~CANDI
BOYOLALI~AMPEL~52~BYL03~AMPEL~URUTSEWU
BOYOLALI~AMPEL~53~BYL03~AMPEL~KALIGENTONG
BOYOLALI~AMPEL~54~BYL03~AMPEL~GLADAGSARI
BOYOLALI~AMPEL~55~BYL03~AMPEL~KEMBANG
BOYOLALI~AMPEL~56~BYL03~AMPEL~CANDISARI
BOYOLALI~AMPEL~57~BYL03~AMPEL~NGARGOLOKO
BOYOLALI~AMPEL~58~BYL03~AMPEL~SAMPETAN
BOYOLALI~AMPEL~59~BYL03~AMPEL~NGADIROJO
BOYOLALI~AMPEL~60~BYL03~AMPEL~JLAREM
BOYOLALI~AMPEL~61~BYL03~AMPEL~NGAGRONG
BOYOLALI~AMPEL~62~BYL03~AMPEL~SEBOTO
BOYOLALI~AMPEL~63~BYL03~AMPEL~TANDUK
BOYOLALI~AMPEL~64~BYL03~AMPEL~BANYUANYAR
BOYOLALI~AMPEL~65~BYL03~AMPEL~SIDOMULYO
BOYOLALI~AMPEL~66~BYL03~AMPEL~NGARGOSARI
BOYOLALI~AMPEL~67~BYL03~AMPEL~SELODOKO
BOYOLALI~AMPEL~68~BYL03~AMPEL~NGENDEN
BOYOLALI~AMPEL~69~BYL03~AMPEL~NGAMPON
BOYOLALI~AMPEL~70~BYL03~AMPEL~GONDANGSLAMET
BOYOLALI~AMPEL~71~BYL03~AMPEL~CANDI
BOYOLALI~AMPEL~72~BYL03~AMPEL~URUTSEWU
BOYOLALI~AMPEL~73~BYL03~AMPEL~KALIGENTONG
BOYOLALI~AMPEL~74~BYL03~AMPEL~GLADAGSARI
BOYOLALI~AMPEL~75~BYL03~AMPEL~KEMBANG
BOYOLALI~AMPEL~76~BYL03~AMPEL~CANDISARI
BOYOLALI~AMPEL~77~BYL03~AMPEL~NGARGOLOKO
BOYOLALI~AMPEL~78~BYL03~AMPEL~SAMPETAN
BOYOLALI~AMPEL~79~BYL03~AMPEL~NGADIROJO
BOYOLALI~AMPEL~80~BYL03~AMPEL~JLAREM
BOYOLALI~ANDONG~1~BYL01~ANDONG~SEMPU
BOYOLALI~ANDONG~2~BYL01~ANDONG~GONDANGRAWE
BOYOLALI~ANDONG~3~BYL01~ANDONG~PAKEL
BOYOLALI~ANDONG~4~BYL01~ANDONG~SENGGRONG
BOYOLALI~ANDONG~5~BYL01~ANDONG~MOJO
BOYOLALI~ANDONG~6~BYL01~ANDONG~BEJI
BOYOLALI~ANDONG~7~BYL01~ANDONG~ANDONG
BOYOLALI~ANDONG~8~BYL01~ANDONG~KACANGAN
BOYOLALI~ANDONG~9~BYL01~ANDONG~KEDUNGDOWO
BOYOLALI~ANDONG~10~BYL01~ANDONG~PRANGGONG
BOYOLALI~ANDONG~11~BYL01~ANDONG~PAKANG
BOYOLALI~ANDONG~12~BYL01~ANDONG~MUNGGUR
BOYOLALI~ANDONG~13~BYL01~ANDONG~KADIPATEN
BOYOLALI~ANDONG~14~BYL01~ANDONG~SEMAWUNG
BOYOLALI~ANDONG~15~BYL01~ANDONG~KUNTI
BOYOLALI~ANDONG~16~BYL01~ANDONG~PELEMREJO
BOYOLALI~BANYUDONO~1~BYL01~BANYUDONO~DUKUH
BOYOLALI~BANYUDONO~2~BYL01~BANYUDONO~JIPANGAN
BOYOLALI~BANYUDONO~3~BYL01~BANYUDONO~JEMBUNGAN
BOYOLALI~BANYUDONO~4~BYL01~BANYUDONO~SAMBON
BOYOLALI~BANYUDONO~5~BYL01~BANYUDONO~KUWIRAN
BOYOLALI~BANYUDONO~6~BYL01~BANYUDONO~CANGKRINGAN
BOYOLALI~BANYUDONO~7~BYL01~BANYUDONO~NGARU ARU
BOYOLALI~BANYUDONO~8~BYL01~BANYUDONO~BENDAN
BOYOLALI~BANYUDONO~9~BYL01~BANYUDONO~KETAON
BOYOLALI~BANYUDONO~10~BYL01~BANYUDONO~BANYUDONO
BOYOLALI~BANYUDONO~11~BYL01~BANYUDONO~BATAN
BOYOLALI~BANYUDONO~12~BYL01~BANYUDONO~DENGGUNGAN
BOYOLALI~BANYUDONO~13~BYL01~BANYUDONO~BANGAK
BOYOLALI~BANYUDONO~14~BYL01~BANYUDONO~TRAYU
BOYOLALI~BANYUDONO~15~BYL01~BANYUDONO~TANJUNGSARI
