SUMBAWA BESAR~ALAS~1~SWW01~ALAS~BARU
SUMBAWA BESAR~ALAS~2~SWW01~ALAS~DALAM
SUMBAWA BESAR~ALAS~3~SWW01~ALAS~JURANALAS
SUMBAWA BESAR~ALAS~4~SWW01~ALAS~KALIMANGO
SUMBAWA BESAR~ALAS~5~SWW01~ALAS~LABUHAN ALAS
SUMBAWA BESAR~ALAS~6~SWW01~ALAS~LUAR
SUMBAWA BESAR~ALAS~7~SWW01~ALAS~MARENTEH
SUMBAWA BESAR~ALAS~8~SWW01~ALAS~PULAU BUNGIN
SUMBAWA BESAR~ALAS BARAT~1~SWW01~ALAS BARAT~GONTAR
SUMBAWA BESAR~ALAS BARAT~2~SWW01~ALAS BARAT~GONTAR BARU
SUMBAWA BESAR~ALAS BARAT~3~SWW01~ALAS BARAT~LABUAN MAPIN
SUMBAWA BESAR~ALAS BARAT~4~SWW01~ALAS BARAT~LEKONG
SUMBAWA BESAR~ALAS BARAT~5~SWW01~ALAS BARAT~MAPIN BARU
SUMBAWA BESAR~ALAS BARAT~6~SWW01~ALAS BARAT~MAPIN KEBAK
SUMBAWA BESAR~ALAS BARAT~7~SWW01~ALAS BARAT~MAPIN REA
SUMBAWA BESAR~ALAS BARAT~8~SWW01~ALAS BARAT~USAR MAPIN
SUMBAWA BESAR~BATU LANTEH~1~SWW01~BATU LANTEH~BAO DESA
SUMBAWA BESAR~BATU LANTEH~2~SWW01~BATU LANTEH~BATUDULANG
SUMBAWA BESAR~BATU LANTEH~3~SWW01~BATU LANTEH~BATUROTOK
SUMBAWA BESAR~BATU LANTEH~4~SWW01~BATU LANTEH~KELUNGKUNG
SUMBAWA BESAR~BATU LANTEH~5~SWW01~BATU LANTEH~TANGKAMPULIT
SUMBAWA BESAR~BATU LANTEH~6~SWW01~BATU LANTEH~TEPAL
SUMBAWA BESAR~BUER~1~SWW01~BUER~BUIN BARU
SUMBAWA BESAR~BUER~2~SWW01~BUER~JURU MAPIN
SUMBAWA BESAR~BUER~3~SWW01~BUER~KALABESO
SUMBAWA BESAR~BUER~4~SWW01~BUER~LABUHAN BURUNG
