RUTENG~CIBAL~1~RTG01~CIBAL~BANGKA ARA
RUTENG~CIBAL~2~RTG01~CIBAL~BARANG
RUTENG~CIBAL~3~RTG01~CIBAL~BEA MESE
RUTENG~CIBAL~4~RTG01~CIBAL~BERE
RUTENG~CIBAL~5~RTG01~CIBAL~COMPANG CIBAL
RUTENG~CIBAL~6~RTG01~CIBAL~GAPONG
RUTENG~CIBAL~7~RTG01~CIBAL~GOLO
RUTENG~CIBAL~8~RTG01~CIBAL~GOLO LANAK
RUTENG~CIBAL~9~RTG01~CIBAL~GOLO NCUANG
RUTENG~CIBAL~10~RTG01~CIBAL~GOLO WOI
RUTENG~CIBAL~11~RTG01~CIBAL~KENTOL
RUTENG~CIBAL~12~RTG01~CIBAL~LADUR
RUTENG~CIBAL~13~RTG01~CIBAL~LANDO
RUTENG~CIBAL~14~RTG01~CIBAL~LANGKAS
RUTENG~CIBAL~15~RTG01~CIBAL~LATUNG
RUTENG~CIBAL~16~RTG01~CIBAL~LENDA
RUTENG~CIBAL~17~RTG01~CIBAL~NENU
RUTENG~CIBAL~18~RTG01~CIBAL~PAGAL
RUTENG~CIBAL~19~RTG01~CIBAL~PERAK
RUTENG~CIBAL~20~RTG01~CIBAL~PINGGANG
RUTENG~CIBAL~21~RTG01~CIBAL~RADO
RUTENG~CIBAL~22~RTG01~CIBAL~RIUNG
RUTENG~CIBAL~23~RTG01~CIBAL~TIMBU
RUTENG~CIBAL~24~RTG01~CIBAL~WAE CODI
RUTENG~CIBAL~25~RTG01~CIBAL~WAE RENCA
RUTENG~CIBAL~26~RTG01~CIBAL~WELU
RUTENG~CIBAL~27~RTG01~CIBAL~WUDI
RUTENG~LANGKE REMBONG~1~RTG01~LANGKE REMBONG~MBAU MUKU
RUTENG~LANGKE REMBONG~2~RTG01~LANGKE REMBONG~WATU
RUTENG~LANGKE REMBONG~3~RTG01~LANGKE REMBONG~KAROT
RUTENG~LANGKE REMBONG~4~RTG01~LANGKE REMBONG~PITAK
RUTENG~LANGKE REMBONG~5~RTG01~LANGKE REMBONG~WALI
RUTENG~LANGKE REMBONG~6~RTG01~LANGKE REMBONG~GOLO DUKAL
RUTENG~LANGKE REMBONG~7~RTG01~LANGKE REMBONG~LAWIR
RUTENG~LANGKE REMBONG~8~RTG01~LANGKE REMBONG~PAU
RUTENG~LANGKE REMBONG~9~RTG01~LANGKE REMBONG~WASO
RUTENG~LANGKE REMBONG~10~RTG01~LANGKE REMBONG~TENDA
RUTENG~LANGKE REMBONG~11~RTG01~LANGKE REMBONG~CAREP
RUTENG~LELAK~1~RTG01~LELAK~GELONG
RUTENG~LELAK~2~RTG01~LELAK~LELAK
RUTENG~LELAK~3~RTG01~LELAK~LELAK
RUTENG~LELAK~4~RTG01~LELAK~LELAK
RUTENG~LELAK~5~RTG01~LELAK~LELAK
RUTENG~LELAK~6~RTG01~LELAK~LELAK
RUTENG~LELAK~7~RTG01~LELAK~KETANG LAMBA KETANG
RUTENG~LELAK~8~RTG01~LELAK~URANG
RUTENG~MANGGARAI~1~RTG01~MANGGARAI~BANGKA AJANG
RUTENG~MANGGARAI~2~RTG01~MANGGARAI~BANGKA LELAK
RUTENG~MANGGARAI~3~RTG01~MANGGARAI~BELANG TURI
RUTENG~MANGGARAI~4~RTG01~MANGGARAI~BENTENG KUWU
RUTENG~MANGGARAI~5~RTG01~MANGGARAI~BENTENG TUBI
RUTENG~MANGGARAI~6~RTG01~MANGGARAI~BEORAHONG
RUTENG~MANGGARAI~7~RTG01~MANGGARAI~BULAN
RUTENG~MANGGARAI~8~RTG01~MANGGARAI~COMPANG DARI
RUTENG~MANGGARAI~9~RTG01~MANGGARAI~CUMBI
RUTENG~MANGGARAI~10~RTG01~MANGGARAI~DIMPONG
RUTENG~MANGGARAI~11~RTG01~MANGGARAI~GOLO LANGKOK
RUTENG~MANGGARAI~12~RTG01~MANGGARAI~GOLOWOROK
RUTENG~MANGGARAI~13~RTG01~MANGGARAI~KAKOR
RUTENG~MANGGARAI~14~RTG01~MANGGARAI~LIANG BUA
RUTENG~MANGGARAI~15~RTG01~MANGGARAI~MANONG
RUTENG~MANGGARAI~16~RTG01~MANGGARAI~MELER
RUTENG~MANGGARAI~17~RTG01~MANGGARAI~POCO LIKANG
RUTENG~MANGGARAI~18~RTG01~MANGGARAI~PONG LAO
RUTENG~MANGGARAI~19~RTG01~MANGGARAI~PONG LEKO
RUTENG~MANGGARAI~20~RTG01~MANGGARAI~PONG MURUNG
RUTENG~MANGGARAI~21~RTG01~MANGGARAI~RAI
RUTENG~MANGGARAI~22~RTG01~MANGGARAI~TENGKU LENSE
RUTENG~MANGGARAI~23~RTG01~MANGGARAI~WAE BELANG
RUTENG~MANGGARAI~24~RTG01~MANGGARAI~BANGKA AJANG
RUTENG~MANGGARAI~25~RTG01~MANGGARAI~BANGKA LELAK
RUTENG~MANGGARAI~26~RTG01~MANGGARAI~BELANG TURI
RUTENG~MANGGARAI~27~RTG01~MANGGARAI~BENTENG KUWU
RUTENG~MANGGARAI~28~RTG01~MANGGARAI~BENTENG TUBI
RUTENG~MANGGARAI~29~RTG01~MANGGARAI~BEORAHONG
RUTENG~MANGGARAI~30~RTG01~MANGGARAI~BULAN
RUTENG~MANGGARAI~31~RTG01~MANGGARAI~COMPANG DARI
RUTENG~MANGGARAI~32~RTG01~MANGGARAI~CUMBI
RUTENG~MANGGARAI~33~RTG01~MANGGARAI~DIMPONG
