BATANG~BANDAR~1~BGG03~BANDAR~BANDAR
BATANG~BANDAR~2~BGG03~BANDAR~BATIOMBO
BATANG~BANDAR~3~BGG03~BANDAR~BINANGUN
BATANG~BANDAR~4~BGG03~BANDAR~CANDI
BATANG~BANDAR~5~BGG03~BANDAR~KLUWIH
BATANG~BANDAR~6~BGG03~BANDAR~PASALAKAN
BATANG~BANDAR~7~BGG03~BANDAR~PUCANGGADING
BATANG~BANDAR~8~BGG03~BANDAR~SIDAYU
BATANG~BANDAR~9~BGG03~BANDAR~SIMPAR
BATANG~BANDAR~10~BGG03~BANDAR~TAMBAHREJO
BATANG~BANDAR~11~BGG03~BANDAR~TOMBO
BATANG~BANDAR~12~BGG03~BANDAR~TOSO
BATANG~BANDAR~13~BGG03~BANDAR~TUMBREP
BATANG~BANDAR~14~BGG03~BANDAR~WONODADI
BATANG~BANDAR~15~BGG03~BANDAR~WONOKERTO
BATANG~BANDAR~16~BGG03~BANDAR~WONOMERTO
BATANG~BANDAR~17~BGG03~BANDAR~WONOSEGORO
BATANG~BANYUPUTIH~1~BGG02~BANYUPUTIH~BANARAN
BATANG~BANYUPUTIH~2~BGG02~BANYUPUTIH~BANYUPUTIH
BATANG~BANYUPUTIH~3~BGG02~BANYUPUTIH~BULU
BATANG~BANYUPUTIH~4~BGG02~BANYUPUTIH~DLIMAS
BATANG~BANYUPUTIH~5~BGG02~BANYUPUTIH~KALANGSONO
BATANG~BANYUPUTIH~6~BGG02~BANYUPUTIH~KALIBALIK
BATANG~BANYUPUTIH~7~BGG02~BANYUPUTIH~KEDAWUNG
BATANG~BANYUPUTIH~8~BGG02~BANYUPUTIH~LUWUNG
BATANG~BANYUPUTIH~9~BGG02~BANYUPUTIH~PENUNDAN
BATANG~BANYUPUTIH~10~BGG02~BANYUPUTIH~SEMBUNG
BATANG~BANYUPUTIH~11~BGG02~BANYUPUTIH~TIMBANG
BATANG~BATANG~1~BGG01~BATANG~KARANGASEM UTARA
BATANG~BATANG~2~BGG01~BATANG~PROYONONGGAN SELATAN
BATANG~BATANG~3~BGG01~BATANG~SAMBONG
BATANG~BATANG~4~BGG01~BATANG~WATESALIT
BATANG~BATANG~5~BGG01~BATANG~KARANGASEM SELATAN
BATANG~BATANG~6~BGG01~BATANG~KESEPUHAN
BATANG~BATANG~7~BGG01~BATANG~PROYONONGAN UTARA
BATANG~BATANG~8~BGG01~BATANG~PROYONONGAN TENGAH
BATANG~BATANG~9~BGG01~BATANG~KAUMAN
BATANG~BAWANG~1~BGG03~BAWANG~BAWANG
BATANG~BAWANG~2~BGG03~BAWANG~CANDIGUGUR
BATANG~BAWANG~3~BGG03~BAWANG~CANDIREJO
BATANG~BAWANG~4~BGG03~BAWANG~DELES
BATANG~BAWANG~5~BGG03~BAWANG~GETAS
BATANG~BAWANG~6~BGG03~BAWANG~GUNUNGSARI
BATANG~BAWANG~7~BGG03~BAWANG~JAMBANGAN
BATANG~BAWANG~8~BGG03~BAWANG~JLAMPRANG
BATANG~BAWANG~9~BGG03~BAWANG~KALIREJO
BATANG~BAWANG~10~BGG03~BAWANG~KEBATURAN
BATANG~BAWANG~11~BGG03~BAWANG~PANGEMPON
BATANG~BAWANG~12~BGG03~BAWANG~PASUSUKAN
BATANG~BAWANG~13~BGG03~BAWANG~PRANTEN
BATANG~BAWANG~14~BGG03~BAWANG~PURBO
BATANG~BAWANG~15~BGG03~BAWANG~SANGUBANYU
BATANG~BAWANG~16~BGG03~BAWANG~SIBEBEK
BATANG~BAWANG~17~BGG03~BAWANG~SIDOHARJO
BATANG~BAWANG~18~BGG03~BAWANG~SOKARAJA
BATANG~BAWANG~19~BGG03~BAWANG~SURJO
BATANG~BAWANG~20~BGG03~BAWANG~WONOSARI
BATANG~BLADO~1~BGG03~BLADO~BAWANG
BATANG~BLADO~2~BGG03~BLADO~BESANI
BATANG~BLADO~3~BGG03~BLADO~BISMO
BATANG~BLADO~4~BGG03~BLADO~BLADO
BATANG~BLADO~5~BGG03~BLADO~COKRO
BATANG~BLADO~6~BGG03~BLADO~GERLANG
BATANG~BLADO~7~BGG03~BLADO~GONDANG
BATANG~BLADO~8~BGG03~BLADO~KALIPANCUR
BATANG~BLADO~9~BGG03~BLADO~KALISARI
BATANG~BLADO~10~BGG03~BLADO~KALITENGAH
BATANG~BLADO~11~BGG03~BLADO~KEMBANGAN
BATANG~BLADO~12~BGG03~BLADO~KEMBANGLANGIT
BATANG~BLADO~13~BGG03~BLADO~KEPUTONG
BATANG~BLADO~14~BGG03~BLADO~KETELANG
BATANG~BLADO~15~BGG03~BLADO~PESANTREN
BATANG~BLADO~16~BGG03~BLADO~SELOPANJANG BARAT
BATANG~BLADO~17~BGG03~BLADO~SELOPANJANG TIMUR
BATANG~BLADO~18~BGG03~BLADO~WONOBODRO
BATANG~GRINGSING~1~BGG02~GRINGSING~GRINGSING
