WAROPEN~INGGERUS~1~BOW01~INGGERUS~AIBOA
WAROPEN~INGGERUS~2~BOW01~INGGERUS~AWASO
WAROPEN~INGGERUS~3~BOW01~INGGERUS~AWERA
WAROPEN~INGGERUS~4~BOW01~INGGERUS~DEMISA
WAROPEN~INGGERUS~5~BOW01~INGGERUS~HARAPAN JAYA
WAROPEN~INGGERUS~6~BOW01~INGGERUS~OTODEMO
WAROPEN~INGGERUS~7~BOW01~INGGERUS~PIRARE
WAROPEN~INGGERUS~8~BOW01~INGGERUS~SOIMEANGGA SOIMIANGGA
WAROPEN~INGGERUS~9~BOW01~INGGERUS~SYEWA
WAROPEN~INGGERUS~10~BOW01~INGGERUS~TOIRE
WAROPEN~INGGERUS~11~BOW01~INGGERUS~WAPOGA
WAROPEN~KIRIHI~1~BOW01~KIRIHI~ANTU ARU
WAROPEN~KIRIHI~2~BOW01~KIRIHI~DAIRI
WAROPEN~KIRIHI~3~BOW01~KIRIHI~DIROU
WAROPEN~KIRIHI~4~BOW01~KIRIHI~DIWA
WAROPEN~KIRIHI~5~BOW01~KIRIHI~KAWARI
WAROPEN~KIRIHI~6~BOW01~KIRIHI~KUAISA
WAROPEN~KIRIHI~7~BOW01~KIRIHI~POIRA
WAROPEN~KIRIHI~8~BOW01~KIRIHI~SOOH
WAROPEN~KIRIHI~9~BOW01~KIRIHI~SPOIRI
WAROPEN~MASIREI~1~BOW01~MASIREI~ANIBOI
WAROPEN~MASIREI~2~BOW01~MASIREI~FAFAI
WAROPEN~MASIREI~3~BOW01~MASIREI~KOWEDA
WAROPEN~MASIREI~4~BOW01~MASIREI~MAYAGAIDO MAYAGHAIDO
WAROPEN~MASIREI~5~BOW01~MASIREI~ODASE
WAROPEN~MASIREI~6~BOW01~MASIREI~SAURISIRAMI
WAROPEN~MASIREI~7~BOW01~MASIREI~SINONDE
WAROPEN~MASIREI~8~BOW01~MASIREI~URATO TEFARO
WAROPEN~MASIREI~9~BOW01~MASIREI~WONTI
WAROPEN~MASIREI WAROPEN ATAS~1~BOW01~MASIREI WAROPEN ATAS~MASIREI WAROPEN ATAS
WAROPEN~OADATE~1~BOW01~OADATE~OADATE
WAROPEN~RISEI SAYATI~1~BOW01~RISEI SAYATI~MAMBAI
WAROPEN~RISEI SAYATI~2~BOW01~RISEI SAYATI~RISEI SAYATI
WAROPEN~RISEI SAYATI~3~BOW01~RISEI SAYATI~WOBARI
WAROPEN~SOYOI~1~BOW01~SOYOI~SOYOI
WAROPEN~UREIFASEI~1~BOW01~UREIFASEI~APAINABO
WAROPEN~UREIFASEI~2~BOW01~UREIFASEI~KEMON JAYA
WAROPEN~UREIFASEI~3~BOW01~UREIFASEI~MAMBUI
WAROPEN~UREIFASEI~4~BOW01~UREIFASEI~NUBUAI
WAROPEN~UREIFASEI~5~BOW01~UREIFASEI~UREIFASEI DUA II
WAROPEN~UREIFASEI~6~BOW01~UREIFASEI~UREIFASEI SATU I
WAROPEN~UREIFASEI~7~BOW01~UREIFASEI~UREIFASEI TIGA III
WAROPEN~WALANI~1~BOW01~WALANI~WALANI
WAROPEN~WAPOGA~1~BOW01~WAPOGA~WAPOGA
WAROPEN~WAROPEN BAWAH~1~BOW01~WAROPEN BAWAH~BAINO JAYA
WAROPEN~WAROPEN BAWAH~2~BOW01~WAROPEN BAWAH~BOTAWA
WAROPEN~WAROPEN BAWAH~3~BOW01~WAROPEN BAWAH~NAU
WAROPEN~WAROPEN BAWAH~4~BOW01~WAROPEN BAWAH~NONOMI
WAROPEN~WAROPEN BAWAH~5~BOW01~WAROPEN BAWAH~NONOMI BATU ZAMAN
WAROPEN~WAROPEN BAWAH~6~BOW01~WAROPEN BAWAH~RUAMBAK JAYA
WAROPEN~WAROPEN BAWAH~7~BOW01~WAROPEN BAWAH~SARAFAMBAI
WAROPEN~WAROPEN BAWAH~8~BOW01~WAROPEN BAWAH~SAWARA JAYA
WAROPEN~WAROPEN BAWAH~9~BOW01~WAROPEN BAWAH~SOWIWA
WAROPEN~WAROPEN BAWAH~10~BOW01~WAROPEN BAWAH~URI
WAROPEN~WAROPEN BAWAH~11~BOW01~WAROPEN BAWAH~WAREN DUA II
WAROPEN~WAROPEN BAWAH~12~BOW01~WAROPEN BAWAH~WAREN SATU I
WAROPEN~WONTI~1~BOW01~WONTI~WONTI
