ARFAK~ANGGI~1~AGG01~ANGGI~ANGGI
ARFAK~ANGGI GIDA~1~AGG01~ANGGI GIDA~ANGGI GIDA
ARFAK~CATUBOUW~1~AGG01~CATUBOUW~CATUBOUW
ARFAK~DIDOHU~1~AGG01~DIDOHU~DIDOHU
ARFAK~HINGK~1~AGG01~HINGK~HINGK
ARFAK~MEMBEY~1~AGG01~MEMBEY~MEMBEY
ARFAK~MINYAMBOUW~1~AGG01~MINYAMBOUW~MINYAMBOUW
ARFAK~SURUREY~1~AGG01~SURUREY~SURUREY
ARFAK~TAIGE~1~AGG01~TAIGE~TAIGE
ARFAK~TESTEGA~1~AGG01~TESTEGA~TESTEGA
