SABANG~SUKAJAYA~1~SAB01~SUKAJAYA~IE MEULEE
SABANG~SUKAJAYA~2~SAB01~SUKAJAYA~UJONG KAREUNG KAREUENG
SABANG~SUKAJAYA~3~SAB01~SUKAJAYA~COT BAU
SABANG~SUKAJAYA~4~SAB01~SUKAJAYA~COT ABEUK
SABANG~SUKAJAYA~5~SAB01~SUKAJAYA~ANOI ITAM
SABANG~SUKAJAYA~6~SAB01~SUKAJAYA~BALOHAN
SABANG~SUKAJAYA~7~SAB01~SUKAJAYA~JABOI
SABANG~SUKAJAYA~8~SAB01~SUKAJAYA~BEURAWANG
SABANG~SUKAJAYA~9~SAB01~SUKAJAYA~KEUNEKAI
SABANG~SUKAJAYA~10~SAB01~SUKAJAYA~PAYA
SABANG~SUKAKARYA~1~SAB01~SUKAKARYA~KOTA ATAS
SABANG~SUKAKARYA~2~SAB01~SUKAKARYA~KOTA BAWAH BARAT
SABANG~SUKAKARYA~3~SAB01~SUKAKARYA~KOTA BAWAH TIMUR
SABANG~SUKAKARYA~4~SAB01~SUKAKARYA~ANEUK LAOT
SABANG~SUKAKARYA~5~SAB01~SUKAKARYA~KRUENG RAYA
SABANG~SUKAKARYA~6~SAB01~SUKAKARYA~PAYA SEUNARA
SABANG~SUKAKARYA~7~SAB01~SUKAKARYA~BATEE SHOK
SABANG~SUKAKARYA~8~SAB01~SUKAKARYA~IBOIH
