TOLIKARA~KUBU~1~KAR01~KUBU~ANAWI
TOLIKARA~KUBU~2~KAR01~KUBU~ARUKU
TOLIKARA~KUBU~3~KAR01~KUBU~BIELEME
TOLIKARA~KUBU~4~KAR01~KUBU~GILOME
TOLIKARA~KUBU~5~KAR01~KUBU~GINERI
TOLIKARA~KUBU~6~KAR01~KUBU~GITAR
TOLIKARA~KUBU~7~KAR01~KUBU~KALEWI
TOLIKARA~KUBU~8~KAR01~KUBU~KOTORI
TOLIKARA~KUBU~9~KAR01~KUBU~KUAGEMBUR
TOLIKARA~KUBU~10~KAR01~KUBU~KUBU
TOLIKARA~KUBU~11~KAR01~KUBU~KUBU BARU
TOLIKARA~KUBU~12~KAR01~KUBU~KUBUGIWA
TOLIKARA~KUBU~13~KAR01~KUBU~LENA
TOLIKARA~KUBU~14~KAR01~KUBU~LINGGIRA
TOLIKARA~KUBU~15~KAR01~KUBU~LOGUK
TOLIKARA~KUBU~16~KAR01~KUBU~LOMA
TOLIKARA~KUBU~17~KAR01~KUBU~MENGGENAGI
TOLIKARA~KUBU~18~KAR01~KUBU~MINAGI
TOLIKARA~KUBU~19~KAR01~KUBU~MURIK
TOLIKARA~KUBU~20~KAR01~KUBU~NUMBUGAWI NUBUGAWI
TOLIKARA~KUBU~21~KAR01~KUBU~TIMONERI TIMANERI
TOLIKARA~KUBU~22~KAR01~KUBU~TIYANGUPUR TIYENGGUME
TOLIKARA~KUBU~23~KAR01~KUBU~WUGI
TOLIKARA~KUBU~24~KAR01~KUBU~WURAGI
TOLIKARA~KUBU~25~KAR01~KUBU~WURONGGI WURINGGI/WURONGI
TOLIKARA~KUBU~26~KAR01~KUBU~YALIPURA
TOLIKARA~KUBU~27~KAR01~KUBU~YALOKOBAK YALIKOBAK
