DELI SERDANG~BANGUN PURBA~1~MES02~BANGUN PURBA~BAGERPANG
DELI SERDANG~BANGUN PURBA~2~MES02~BANGUN PURBA~BAH BALUA
DELI SERDANG~BANGUN PURBA~3~MES02~BANGUN PURBA~BAH PERAK
DELI SERDANG~BANGUN PURBA~4~MES02~BANGUN PURBA~BANDAR GUNUNG
DELI SERDANG~BANGUN PURBA~5~MES02~BANGUN PURBA~BANDAR KUALA KWALA
DELI SERDANG~BANGUN PURBA~6~MES02~BANGUN PURBA~BANDAR MERIAH
DELI SERDANG~BANGUN PURBA~7~MES02~BANGUN PURBA~BANGUN PURBA
DELI SERDANG~BANGUN PURBA~8~MES02~BANGUN PURBA~BANGUN PURBA TENGAH
DELI SERDANG~BANGUN PURBA~9~MES02~BANGUN PURBA~BATU GINGGING
DELI SERDANG~BANGUN PURBA~10~MES02~BANGUN PURBA~BATU RATA
DELI SERDANG~BANGUN PURBA~11~MES02~BANGUN PURBA~CIMAHI CIMAHE
DELI SERDANG~BANGUN PURBA~12~MES02~BANGUN PURBA~DAMAK MALIHO
DELI SERDANG~BANGUN PURBA~13~MES02~BANGUN PURBA~GERIAHAN GREAHAN
DELI SERDANG~BANGUN PURBA~14~MES02~BANGUN PURBA~MABAR
DELI SERDANG~BANGUN PURBA~15~MES02~BANGUN PURBA~MARAMBUN BARAT MAROMBUN BARAT
DELI SERDANG~BANGUN PURBA~16~MES02~BANGUN PURBA~MARAMBUN UJUNG JAWI
DELI SERDANG~BANGUN PURBA~17~MES02~BANGUN PURBA~PERGUROAN PERGURUAN
DELI SERDANG~BANGUN PURBA~18~MES02~BANGUN PURBA~RUMAH DELENG
DELI SERDANG~BANGUN PURBA~19~MES02~BANGUN PURBA~SIALANG
DELI SERDANG~BANGUN PURBA~20~MES02~BANGUN PURBA~SIBAGANDING
DELI SERDANG~BANGUN PURBA~21~MES02~BANGUN PURBA~SUKA LUAE LEWEI
DELI SERDANG~BANGUN PURBA~22~MES02~BANGUN PURBA~TANJUNG PURBA
DELI SERDANG~BANGUN PURBA~23~MES02~BANGUN PURBA~UJUNG RAMBE
DELI SERDANG~BANGUN PURBA~24~MES02~BANGUN PURBA~URUNG GANJANG
DELI SERDANG~BERINGIN~1~MES02~BERINGIN~ARAS KABU
DELI SERDANG~BERINGIN~2~MES02~BERINGIN~BERINGIN
DELI SERDANG~BERINGIN~3~MES02~BERINGIN~EMPLASMEN KUALA NAMU
DELI SERDANG~BERINGIN~4~MES02~BERINGIN~KARANG ANYAR
DELI SERDANG~BERINGIN~5~MES02~BERINGIN~PASAR ENAM KUALA NAMU
DELI SERDANG~BERINGIN~6~MES02~BERINGIN~PASAR LIMA KEBUN KELAPA
DELI SERDANG~BERINGIN~7~MES02~BERINGIN~SERDANG
DELI SERDANG~BERINGIN~8~MES02~BERINGIN~SIDOARJO DUA RAMUNIA
DELI SERDANG~BERINGIN~9~MES02~BERINGIN~SIDODADI RAMONIA RAMUNIA
DELI SERDANG~BERINGIN~10~MES02~BERINGIN~SIDOURIP
DELI SERDANG~BERINGIN~11~MES02~BERINGIN~TUMPATAN
DELI SERDANG~BIRU BIRU~1~MES02~BIRU BIRU~AJI BAHO
DELI SERDANG~BIRU BIRU~2~MES02~BIRU BIRU~BIRUBIRU
DELI SERDANG~BIRU BIRU~3~MES02~BIRU BIRU~CANDI REJO
DELI SERDANG~BIRU BIRU~4~MES02~BIRU BIRU~KUALA DEKAH
DELI SERDANG~BIRU BIRU~5~MES02~BIRU BIRU~KUTA MULYO
DELI SERDANG~BIRU BIRU~6~MES02~BIRU BIRU~MADINDING JULU
DELI SERDANG~BIRU BIRU~7~MES02~BIRU BIRU~MBARUAE MBARUAI
DELI SERDANG~BIRU BIRU~8~MES02~BIRU BIRU~NAMO SURO BARU
DELI SERDANG~BIRU BIRU~9~MES02~BIRU BIRU~NAMO TUALANG
DELI SERDANG~BIRU BIRU~10~MES02~BIRU BIRU~PENEN
DELI SERDANG~BIRU BIRU~11~MES02~BIRU BIRU~PER RIA RIA
DELI SERDANG~BIRU BIRU~12~MES02~BIRU BIRU~RUMAH GERAT
DELI SERDANG~BIRU BIRU~13~MES02~BIRU BIRU~SARI LABA JAHE
DELI SERDANG~BIRU BIRU~14~MES02~BIRU BIRU~SELAMAT KAMPUNG SELAMAT
DELI SERDANG~BIRU BIRU~15~MES02~BIRU BIRU~SIDODADI
DELI SERDANG~BIRU BIRU~16~MES02~BIRU BIRU~SIDOMULYO
