YALIMO~ABENAHO~1~ELE01~ABENAHO~LANDIKMA
YALIMO~ABENAHO~2~ELE01~ABENAHO~SEBI
YALIMO~ABENAHO~3~ELE01~ABENAHO~SOMBULE HUBLIKA
YALIMO~ABENAHO~4~ELE01~ABENAHO~WAMBALFAK WAMPAK
YALIMO~ABENAHO~5~ELE01~ABENAHO~WAMBO
YALIMO~ABENAHO~6~ELE01~ABENAHO~APALAPSILI
YALIMO~ABENAHO~7~ELE01~ABENAHO~HUBLIKI HUBULIKI
YALIMO~ABENAHO~8~ELE01~ABENAHO~KULET KULEK
YALIMO~ABENAHO~9~ELE01~ABENAHO~YAREMA
YALIMO~ABENAHO~10~ELE01~ABENAHO~AMPERA
YALIMO~APALAPSILI~1~ELE01~APALAPSILI~GILIKA
YALIMO~APALAPSILI~2~ELE01~APALAPSILI~PEPERA
YALIMO~APALAPSILI~3~ELE01~APALAPSILI~TRIKORA
YALIMO~APALAPSILI~4~ELE01~APALAPSILI~ALIUS ALUIS
YALIMO~BENAWA~1~ELE01~BENAWA~ELELIM
YALIMO~BENAWA~2~ELE01~BENAWA~HONITA
YALIMO~BENAWA~3~ELE01~BENAWA~YABEMA
YALIMO~BENAWA~4~ELE01~BENAWA~MABUALEM
YALIMO~ELELIM~1~ELE01~ELELIM~PISANGGO
YALIMO~ELELIM~2~ELE01~ELELIM~SALY SALI
YALIMO~ELELIM~3~ELE01~ELELIM~WELAREK
YALIMO~ELELIM~4~ELE01~ELELIM~WERENGGIK WERINGGIK
YALIMO~WELAREK~1~ELE01~WELAREK~MABUALEM
YALIMO~WELAREK~2~ELE01~WELAREK~PISANGGO
YALIMO~WELAREK~3~ELE01~WELAREK~SALY SALI
YALIMO~WELAREK~4~ELE01~WELAREK~WELAREK
YALIMO~WELAREK~5~ELE01~WELAREK~WERENGGIK WERINGGIK
