MATARAM~NARMADA~1~AMI01~NARMADA~BADRAIN
MATARAM~NARMADA~2~AMI01~NARMADA~BATU KUTA
MATARAM~NARMADA~3~AMI01~NARMADA~DASAN TERENG
MATARAM~NARMADA~4~AMI01~NARMADA~GERIMAK INDAH
MATARAM~NARMADA~5~AMI01~NARMADA~KRAMA JAYA
MATARAM~NARMADA~6~AMI01~NARMADA~LEBAH SEMPAGA
MATARAM~NARMADA~7~AMI01~NARMADA~LEMBUAK
MATARAM~NARMADA~8~AMI01~NARMADA~NYUR LEMBANG
MATARAM~NARMADA~9~AMI01~NARMADA~PERESAK
MATARAM~NARMADA~10~AMI01~NARMADA~PERU (KERU)
MATARAM~NARMADA~11~AMI01~NARMADA~SEDAU
MATARAM~NARMADA~12~AMI01~NARMADA~SELAT
MATARAM~NARMADA~13~AMI01~NARMADA~SEMBUNG
MATARAM~NARMADA~14~AMI01~NARMADA~SESAOT
MATARAM~NARMADA~15~AMI01~NARMADA~SURANADI
MATARAM~NARMADA~16~AMI01~NARMADA~TANAH/TANAK BEAK
