CILACAP~ADIPALA~1~CLP05~ADIPALA~ADIPALA
CILACAP~ADIPALA~2~CLP05~ADIPALA~ADIRAJA
CILACAP~ADIPALA~3~CLP05~ADIPALA~ADIREJA KULON
CILACAP~ADIPALA~4~CLP05~ADIPALA~ADIREJA WETAN
CILACAP~ADIPALA~5~CLP05~ADIPALA~BUNTON
CILACAP~ADIPALA~6~CLP05~ADIPALA~DOPLANG
CILACAP~ADIPALA~7~CLP05~ADIPALA~GLEMPANGPASIR
CILACAP~ADIPALA~8~CLP05~ADIPALA~GOMBOLHARJO
CILACAP~ADIPALA~9~CLP05~ADIPALA~KALIKUDI
CILACAP~ADIPALA~10~CLP05~ADIPALA~KARANGANYAR
CILACAP~ADIPALA~11~CLP05~ADIPALA~KARANGBENDA
CILACAP~ADIPALA~12~CLP05~ADIPALA~KARANGSARI
CILACAP~ADIPALA~13~CLP05~ADIPALA~PEDASONG
CILACAP~ADIPALA~14~CLP05~ADIPALA~PENGGALANG
CILACAP~ADIPALA~15~CLP05~ADIPALA~WELAHAN WETAN
CILACAP~ADIPALA~16~CLP05~ADIPALA~WLAHAR
CILACAP~BANTARSARI~1~CLP04~BANTARSARI~BANTARSARI
CILACAP~BANTARSARI~2~CLP04~BANTARSARI~BINANGUN
CILACAP~BANTARSARI~3~CLP04~BANTARSARI~BULAKSARI
CILACAP~BANTARSARI~4~CLP04~BANTARSARI~CIKEDONDONG
CILACAP~BANTARSARI~5~CLP04~BANTARSARI~CITEMBONG
CILACAP~BANTARSARI~6~CLP04~BANTARSARI~KAMULYAN
CILACAP~BANTARSARI~7~CLP04~BANTARSARI~KEDUNGWADAS
CILACAP~BANTARSARI~8~CLP04~BANTARSARI~RAWAJAYA
CILACAP~BINANGUN~1~CLP03~BINANGUN~ALANGAMBA
CILACAP~BINANGUN~2~CLP03~BINANGUN~BANGKAL
CILACAP~BINANGUN~3~CLP03~BINANGUN~BINANGUN
CILACAP~BINANGUN~4~CLP03~BINANGUN~JATI
CILACAP~BINANGUN~5~CLP03~BINANGUN~JEPARA KULON
CILACAP~BINANGUN~6~CLP03~BINANGUN~JEPARA WETAN
CILACAP~BINANGUN~7~CLP03~BINANGUN~KARANGNANGKA
CILACAP~BINANGUN~8~CLP03~BINANGUN~KEMOJING
CILACAP~BINANGUN~9~CLP03~BINANGUN~KEPUDANG
CILACAP~BINANGUN~10~CLP03~BINANGUN~PAGUBUGAN
