TABANAN~BATURITI~1~TNW03~BATURITI~PEREAN
TABANAN~BATURITI~2~TNW03~BATURITI~PEREAN TENGAH
TABANAN~BATURITI~3~TNW03~BATURITI~PEREAN KANGIN
TABANAN~BATURITI~4~TNW03~BATURITI~MEKARSARI
TABANAN~BATURITI~5~TNW03~BATURITI~BANGLI
TABANAN~BATURITI~6~TNW03~BATURITI~BATUNYA
TABANAN~BATURITI~7~TNW03~BATURITI~ANTAPAN
TABANAN~BATURITI~8~TNW03~BATURITI~CANDHIKU
TABANAN~BATURITI~9~TNW03~BATURITI~LUWUS
TABANAN~BATURITI~10~TNW03~BATURITI~APUAN
TABANAN~BATURITI~11~TNW03~BATURITI~ANGSERI
TABANAN~BATURITI~12~TNW03~BATURITI~BATURITI
TABANAN~KEDIRI~1~TNW01~KEDIRI~BENGKEL
TABANAN~KEDIRI~2~TNW01~KEDIRI~PAKUNG TIBAH
TABANAN~KEDIRI~3~TNW01~KEDIRI~BELALANG
TABANAN~KEDIRI~4~TNW01~KEDIRI~BERABAN
TABANAN~KEDIRI~5~TNW01~KEDIRI~BUIT
TABANAN~KEDIRI~6~TNW01~KEDIRI~CEPAKA
TABANAN~KEDIRI~7~TNW01~KEDIRI~KABA KABA
TABANAN~KEDIRI~8~TNW01~KEDIRI~NYAMBU
TABANAN~KEDIRI~9~TNW01~KEDIRI~PANDAK BANDUNG
TABANAN~KEDIRI~10~TNW01~KEDIRI~PANDAK GEDE
TABANAN~KEDIRI~11~TNW01~KEDIRI~NYITDAH
TABANAN~KEDIRI~12~TNW01~KEDIRI~PEJATEN
TABANAN~KEDIRI~13~TNW01~KEDIRI~KEDIRI
TABANAN~KEDIRI~14~TNW01~KEDIRI~ABIAN TUWUNG
TABANAN~KEDIRI~15~TNW01~KEDIRI~BANJAR ANYAR
TABANAN~KERAMBITAN~1~TNW01~KERAMBITAN~PENARUKAN
TABANAN~KERAMBITAN~2~TNW01~KERAMBITAN~BELUMBANG
TABANAN~KERAMBITAN~3~TNW01~KERAMBITAN~TISTA
TABANAN~KERAMBITAN~4~TNW01~KERAMBITAN~KERAMBITAN
TABANAN~KERAMBITAN~5~TNW01~KERAMBITAN~SAMSAN
TABANAN~KERAMBITAN~6~TNW01~KERAMBITAN~KUKUH
TABANAN~MARGA~1~TNW01~MARGA~KUKUH
TABANAN~MARGA~2~TNW01~MARGA~BERINGKIT
TABANAN~MARGA~3~TNW01~MARGA~PEKEN
TABANAN~MARGA~4~TNW01~MARGA~BATAN NYUH
TABANAN~MARGA~5~TNW01~MARGA~TEGAL JADI
TABANAN~MARGA~6~TNW01~MARGA~MARGA
TABANAN~MARGA~7~TNW01~MARGA~TUA
TABANAN~MARGA~8~TNW01~MARGA~PAYANGAN
TABANAN~MARGA~9~TNW01~MARGA~GELUNTUNG
TABANAN~MARGA~10~TNW01~MARGA~BARU
TABANAN~PENEBEL~1~TNW01~PENEBEL~REJASA
TABANAN~PENEBEL~2~TNW01~PENEBEL~JEGU
TABANAN~PENEBEL~3~TNW01~PENEBEL~BURURAN
TABANAN~PENEBEL~4~TNW01~PENEBEL~BIAUNG
TABANAN~PENEBEL~5~TNW01~PENEBEL~PITRA
TABANAN~PUPUAN~1~TNW01~PUPUAN~PUPUAN
TABANAN~SELEMADEG~1~TNW02~SELEMADEG~SELEMADEG
TABANAN~SELEMADEG~2~TNW02~SELEMADEG~BAJERA
TABANAN~SELEMADEG~3~TNW02~SELEMADEG~WANAGIRI
TABANAN~SELEMADEG~4~TNW02~SELEMADEG~PUPUAN SAWAH
TABANAN~SELEMADEG~5~TNW02~SELEMADEG~BEREMBENG
TABANAN~SELEMADEG~6~TNW02~SELEMADEG~SELEMADEG
TABANAN~SELEMADEG~7~TNW02~SELEMADEG~SARAMPINGAN
TABANAN~SELEMADEG~8~TNW02~SELEMADEG~ANTAP
TABANAN~SELEMADEG~9~TNW02~SELEMADEG~WANAGIRI KAU
TABANAN~SELEMADEG~10~TNW02~SELEMADEG~MANIKYANG
TABANAN~SELEMADEG~11~TNW02~SELEMADEG~BAJERA UTARA
TABANAN~SELEMADEG BARAT~1~TNW01~SELEMADEG BARAT~SELEMADEG BARAT
TABANAN~SELEMADEG TIMUR~1~TNW01~SELEMADEG TIMUR~BANTAS
TABANAN~SELEMADEG TIMUR~2~TNW01~SELEMADEG TIMUR~BERABAN
TABANAN~SELEMADEG TIMUR~3~TNW01~SELEMADEG TIMUR~DALANG
TABANAN~SELEMADEG TIMUR~4~TNW01~SELEMADEG TIMUR~GADUNGAN
TABANAN~SELEMADEG TIMUR~5~TNW01~SELEMADEG TIMUR~GADUNG SARI
TABANAN~SELEMADEG TIMUR~6~TNW01~SELEMADEG TIMUR~GUNUNG SALAK
