BURU~AIRBUAYA~1~NAM01~AIRBUAYA~AIR BUAYA
BURU~AIRBUAYA~2~NAM01~AIRBUAYA~BARA
BURU~AIRBUAYA~3~NAM01~AIRBUAYA~TANJUNG KARANG
BURU~AIRBUAYA~4~NAM01~AIRBUAYA~WAIMANGIT
BURU~AIRBUAYA~5~NAM01~AIRBUAYA~WAINIBE WAENIBE
BURU~AIRBUAYA~6~NAM01~AIRBUAYA~WAIPURE WAEPURE
BURU~AIRBUAYA~7~NAM01~AIRBUAYA~WAMLANA
BURU~BATABUAL~1~NAM01~BATABUAL~BATU JUNGKU
BURU~BATABUAL~2~NAM01~BATABUAL~ILATH
BURU~BATABUAL~3~NAM01~BATABUAL~PELA
BURU~BATABUAL~4~NAM01~BATABUAL~WAEMORAT
BURU~LILIALY~1~NAM01~LILIALY~JIKUMARASA JIKUMERASA
BURU~LILIALY~2~NAM01~LILIALY~SAWA
BURU~LILIALY~3~NAM01~LILIALY~UBUNG
BURU~LILIALY~4~NAM01~LILIALY~WAEPERANG
BURU~LILIALY~5~NAM01~LILIALY~WAIMITING
BURU~LOLONG GUBA~1~NAM01~LOLONG GUBA~GRANDENG
BURU~LOLONG GUBA~2~NAM01~LOLONG GUBA~KUBALAHIN
BURU~LOLONG GUBA~3~NAM01~LOLONG GUBA~LELE
BURU~LOLONG GUBA~4~NAM01~LOLONG GUBA~NAFRUA
BURU~LOLONG GUBA~5~NAM01~LOLONG GUBA~OHILAHIN
BURU~LOLONG GUBA~6~NAM01~LOLONG GUBA~TIFU
BURU~LOLONG GUBA~7~NAM01~LOLONG GUBA~WABLOY
BURU~LOLONG GUBA~8~NAM01~LOLONG GUBA~WAEGEREN
BURU~LOLONG GUBA~9~NAM01~LOLONG GUBA~WANAKARTA
BURU~LOLONG GUBA~10~NAM01~LOLONG GUBA~WAPSALIT
BURU~NAMLEA~1~NAM01~NAMLEA~JAMILU
BURU~NAMLEA~2~NAM01~NAMLEA~KARANG JAYA
BURU~NAMLEA~3~NAM01~NAMLEA~LALA
BURU~NAMLEA~4~NAM01~NAMLEA~NAMLEA
BURU~NAMLEA~5~NAM01~NAMLEA~SANLEKO
BURU~NAMLEA~6~NAM01~NAMLEA~SIAHONI
BURU~TELUK KAIELY~1~NAM01~TELUK KAIELY~KAIELY
BURU~TELUK KAIELY~2~NAM01~TELUK KAIELY~KAKI AIR
BURU~TELUK KAIELY~3~NAM01~TELUK KAIELY~MASARETE
BURU~TELUK KAIELY~4~NAM01~TELUK KAIELY~SEITH
BURU~TELUK KAIELY~5~NAM01~TELUK KAIELY~WAELAPIA
BURU~WAEAPO~1~NAM01~WAEAPO~KAYELI
BURU~WAEAPO~2~NAM01~WAEAPO~PARBULU
BURU~WAEAPO~3~NAM01~WAEAPO~SAVANA JAYA
BURU~WAEAPO~4~NAM01~WAEAPO~WAEKASAR
BURU~WAEAPO~5~NAM01~WAEAPO~WAENETAT
BURU~WAEAPO~6~NAM01~WAEAPO~WAETELE
BURU~WAEAPO~7~NAM01~WAEAPO~WANAKARTA
BURU~WAELATA~1~NAM01~WAELATA~BASALALE
BURU~WAELATA~2~NAM01~WAELATA~DAVA
BURU~WAELATA~3~NAM01~WAELATA~DEBOWAY / DEBOWAE
BURU~WAELATA~4~NAM01~WAELATA~PARBULU
BURU~WAELATA~5~NAM01~WAELATA~WAEHATA
BURU~WAELATA~6~NAM01~WAELATA~WAELEMAN
BURU~WAELATA~7~NAM01~WAELATA~WAELO
BURU~WAELATA~8~NAM01~WAELATA~WAETINA
BURU~WAELATA~9~NAM01~WAELATA~WAFLAN
BURU~WAELATA~10~NAM01~WAELATA~WIDIT
BURU~WAPLAU~1~NAM01~WAPLAU~HATAWANO
BURU~WAPLAU~2~NAM01~WAPLAU~LAMAHANG
BURU~WAPLAU~3~NAM01~WAPLAU~NAMSINA
BURU~WAPLAU~4~NAM01~WAPLAU~SAMALAGI
BURU~WAPLAU~5~NAM01~WAPLAU~WAEPOTIH
BURU~WAPLAU~6~NAM01~WAPLAU~WAEURA
BURU~WAPLAU~7~NAM01~WAPLAU~WAEURA
BURU~WAPLAU~8~NAM01~WAPLAU~WAPLAU
BURU~WAPLAU~9~NAM01~WAPLAU~WAPREA
