NGANJUK~BAGOR~1~NGK01~BAGOR~BAGOR KULON
NGANJUK~BAGOR~2~NGK01~BAGOR~BALONGREJO
NGANJUK~BAGOR~3~NGK01~BAGOR~BALONGREJO I
NGANJUK~BAGOR~4~NGK01~BAGOR~BANARAN KULON
NGANJUK~BAGOR~5~NGK01~BAGOR~BANARAN WETAN
NGANJUK~BAGOR~6~NGK01~BAGOR~BUDURAN
NGANJUK~BAGOR~7~NGK01~BAGOR~GANDU
NGANJUK~BAGOR~8~NGK01~BAGOR~GEMENGGENG
NGANJUK~BAGOR~9~NGK01~BAGOR~GIRIREJO
NGANJUK~BAGOR~10~NGK01~BAGOR~GIRIREJO I
NGANJUK~BAGOR~11~NGK01~BAGOR~GUYANGAN
NGANJUK~BAGOR~12~NGK01~BAGOR~KARANG TENGAH
NGANJUK~BAGOR~13~NGK01~BAGOR~KEDONDONG
NGANJUK~BAGOR~14~NGK01~BAGOR~KENDAL REJO
NGANJUK~BAGOR~15~NGK01~BAGOR~KEREP KIDUL
NGANJUK~BAGOR~16~NGK01~BAGOR~KUTOREJO
NGANJUK~BAGOR~17~NGK01~BAGOR~NGUMPUL
NGANJUK~BAGOR~18~NGK01~BAGOR~PARON
NGANJUK~BAGOR~19~NGK01~BAGOR~PESUDUKUH
NGANJUK~BAGOR~20~NGK01~BAGOR~PETAK
NGANJUK~BAGOR~21~NGK01~BAGOR~SEKAR PUTIH
NGANJUK~BAGOR~22~NGK01~BAGOR~SELOREJO
NGANJUK~BAGOR~23~NGK01~BAGOR~SUGIH WARAS
NGANJUK~BARON~1~NGK02~BARON~BARON
NGANJUK~BARON~2~NGK02~BARON~GARU
NGANJUK~BARON~3~NGK02~BARON~GEBANG KEREP
NGANJUK~BARON~4~NGK02~BARON~JAMBI
NGANJUK~BARON~5~NGK02~BARON~JEKEK
NGANJUK~BARON~6~NGK02~BARON~KATERBAN
NGANJUK~BARON~7~NGK02~BARON~KEMADUH
NGANJUK~BARON~8~NGK02~BARON~KEMLOKOLEGI
NGANJUK~BARON~9~NGK02~BARON~MABUNG
NGANJUK~BARON~10~NGK02~BARON~SAMBIROTO
NGANJUK~BARON~11~NGK02~BARON~WAUNG
NGANJUK~BERBEK~1~NGK01~BERBEK~BALONGREJO
NGANJUK~BERBEK~2~NGK01~BERBEK~BENDUNGREJO
