MAMASA~ARALLE~1~PMA01~ARALLE~ARALLE
MAMASA~ARALLE~2~PMA01~ARALLE~ARALLE SELATAN
MAMASA~ARALLE~3~PMA01~ARALLE~ARALLE TIMUR
MAMASA~ARALLE~4~PMA01~ARALLE~ARALLE UTARA
MAMASA~ARALLE~5~PMA01~ARALLE~BARURU
MAMASA~ARALLE~6~PMA01~ARALLE~BUNTU MALANGKA
MAMASA~ARALLE~7~PMA01~ARALLE~HAHANGAN
MAMASA~ARALLE~8~PMA01~ARALLE~KABAE
MAMASA~ARALLE~9~PMA01~ARALLE~KEBANGA
MAMASA~ARALLE~10~PMA01~ARALLE~PAMOSEANG PANGGA
MAMASA~ARALLE~11~PMA01~ARALLE~PANETEAN
MAMASA~ARALLE~12~PMA01~ARALLE~PENATANGAN
MAMASA~ARALLE~13~PMA01~ARALLE~RALLE ANAK
MAMASA~ARALLE~14~PMA01~ARALLE~RALLE ANAK UTARA
MAMASA~ARALLE~15~PMA01~ARALLE~RANTE BERANG
MAMASA~ARALLE~16~PMA01~ARALLE~SALURINDUK SAHIRINDUK
MAMASA~ARALLE~17~PMA01~ARALLE~SALUTAMBUN
MAMASA~ARALLE~18~PMA01~ARALLE~SALUTAMBUN BARAT
MAMASA~ARALLE~19~PMA01~ARALLE~SALUTAMBUN TIMUR
MAMASA~ARALLE~20~PMA01~ARALLE~UHAIDAO
MAMASA~ARALLE~21~PMA01~ARALLE~UHAILANU
MAMASA~BALLA~1~PMA01~BALLA~BALLA
MAMASA~BALLA~2~PMA01~BALLA~BALLA BARAT
MAMASA~BALLA~3~PMA01~BALLA~BALLA TIMUR
MAMASA~BALLA~4~PMA01~BALLA~BALLA TUMUKA
MAMASA~BALLA~5~PMA01~BALLA~PIDARA
MAMASA~BALLA~6~PMA01~BALLA~SATANETEAN
MAMASA~BALLA~7~PMA01~BALLA~SEPAKUAN
MAMASA~BAMBANG~1~PMA01~BAMBANG~BALATANA
MAMASA~BAMBANG~2~PMA01~BAMBANG~BAMBANG
MAMASA~BAMBANG~3~PMA01~BAMBANG~BAMBANG TIMUR
MAMASA~BAMBANG~4~PMA01~BAMBANG~LEMBANG MOKALLING MOKALLA
MAMASA~BAMBANG~5~PMA01~BAMBANG~LIMBA DEWATA DEBATA
MAMASA~BAMBANG~6~PMA01~BAMBANG~MASOSO
MAMASA~BAMBANG~7~PMA01~BAMBANG~MINANGA
MAMASA~BAMBANG~8~PMA01~BAMBANG~RANTELEMO
MAMASA~BAMBANG~9~PMA01~BAMBANG~RANTETARIMA
MAMASA~BAMBANG~10~PMA01~BAMBANG~SALUASSING
MAMASA~BAMBANG~11~PMA01~BAMBANG~SALUBULO
MAMASA~BAMBANG~12~PMA01~BAMBANG~SALUDENGEN
MAMASA~BAMBANG~13~PMA01~BAMBANG~SALUKADI
MAMASA~BAMBANG~14~PMA01~BAMBANG~SALUKEPOPOK
MAMASA~BAMBANG~15~PMA01~BAMBANG~SALURURU
MAMASA~BAMBANG~16~PMA01~BAMBANG~SIKAMASE
MAMASA~BAMBANG~17~PMA01~BAMBANG~TANETE TOMBA
MAMASA~BAMBANG~18~PMA01~BAMBANG~ULUMAMBI
MAMASA~BAMBANG~19~PMA01~BAMBANG~ULUMAMBI BARAT
MAMASA~MAMASA~1~PMA01~MAMASA~BOMBONG LAMBE
MAMASA~MAMASA~2~PMA01~MAMASA~BUBUN BATU
MAMASA~MAMASA~3~PMA01~MAMASA~BUNTUBUDA
MAMASA~MAMASA~4~PMA01~MAMASA~LAMBANAN
MAMASA~MAMASA~5~PMA01~MAMASA~LEMBANGNA SALULO
MAMASA~MAMASA~6~PMA01~MAMASA~MAMASA
MAMASA~MAMASA~7~PMA01~MAMASA~MAMBULILLING MAMBULLING
MAMASA~MAMASA~8~PMA01~MAMASA~OSANGO
MAMASA~MAMASA~9~PMA01~MAMASA~PEBASSIAN
MAMASA~MAMASA~10~PMA01~MAMASA~RAMBU SARATU
MAMASA~MAMASA~11~PMA01~MAMASA~TAUPE
MAMASA~MAMASA~12~PMA01~MAMASA~TONDOK BAKARU
MAMASA~MAMBI~1~PMA01~MAMBI~BOTTENG
MAMASA~MAMBI~2~PMA01~MAMBI~BUJUNG MANURUNG
MAMASA~MAMBI~3~PMA01~MAMBI~INDO BANUA
MAMASA~MAMBI~4~PMA01~MAMBI~LEKO SUKAMAJU
MAMASA~MAMBI~5~PMA01~MAMBI~MAMBI
MAMASA~MAMBI~6~PMA01~MAMBI~MEHALAAN BARAT
MAMASA~MAMBI~7~PMA01~MAMBI~MEHALAHAAN MEHALAAN
MAMASA~MAMBI~8~PMA01~MAMBI~MESAKADA
MAMASA~MAMBI~9~PMA01~MAMBI~PAMOSEANG
MAMASA~MAMBI~10~PMA01~MAMBI~PASSEMBUK
MAMASA~MAMBI~11~PMA01~MAMBI~RANTE BULAHAN
MAMASA~MAMBI~12~PMA01~MAMBI~SALUAHO
MAMASA~MAMBI~13~PMA01~MAMBI~SALUALO
MAMASA~MAMBI~14~PMA01~MAMBI~SALUBANUA
MAMASA~MAMBI~15~PMA01~MAMBI~SALUDURIAN
MAMASA~MAMBI~16~PMA01~MAMBI~SALUKONTA
MAMASA~MAMBI~17~PMA01~MAMBI~SELUMAKA
MAMASA~MAMBI~18~PMA01~MAMBI~SENDANA
MAMASA~MAMBI~19~PMA01~MAMBI~SONDONG LAYUK SONDONGLAYU
MAMASA~MAMBI~20~PMA01~MAMBI~TALIPUKKI TALIPPUKI
MAMASA~MAMBI~21~PMA01~MAMBI~TAPALINNA TAPALINA
MAMASA~MESSAWA~1~PMA01~MESSAWA~MAKUANG
MAMASA~MESSAWA~2~PMA01~MESSAWA~MALIMBONG
MAMASA~MESSAWA~3~PMA01~MESSAWA~MATANDE
MAMASA~MESSAWA~4~PMA01~MESSAWA~MESSAWA
MAMASA~MESSAWA~5~PMA01~MESSAWA~PASAPA MAMBU
MAMASA~MESSAWA~6~PMA01~MESSAWA~RIPPUNG
MAMASA~MESSAWA~7~PMA01~MESSAWA~SEPANG
MAMASA~MESSAWA~8~PMA01~MESSAWA~SIPAI
MAMASA~MESSAWA~9~PMA01~MESSAWA~TANETE BATU
MAMASA~NOSU~1~PMA01~NOSU~BATU PAPAN
MAMASA~NOSU~2~PMA01~NOSU~MASEWE
MAMASA~NOSU~3~PMA01~NOSU~MINANGA
MAMASA~NOSU~4~PMA01~NOSU~MINANGA TIMUR
MAMASA~NOSU~5~PMA01~NOSU~NOSU
MAMASA~NOSU~6~PMA01~NOSU~PARINDING
MAMASA~NOSU~7~PMA01~NOSU~SIWI
MAMASA~PANA~1~PMA01~PANA~DATU BARINGAN
MAMASA~PANA~2~PMA01~PANA~KARAKA
MAMASA~PANA~3~PMA01~PANA~MAMULLU
MAMASA~PANA~4~PMA01~PANA~MANIPI
