DENPASAR~BADUNG~1~DPS02~BADUNG~LEGIAN
DENPASAR~BADUNG~2~DPS02~BADUNG~CANGGU
DENPASAR~DENPASAR BARAT~1~DPS01~DENPASAR BARAT~DAUH PURI KANGIN
DENPASAR~DENPASAR BARAT~2~DPS01~DENPASAR BARAT~DAUH PURI
DENPASAR~DENPASAR BARAT~3~DPS01~DENPASAR BARAT~DAUH PURI KAUH
DENPASAR~DENPASAR BARAT~4~DPS01~DENPASAR BARAT~DAUH PURI KLODKELOD
DENPASAR~DENPASAR BARAT~5~DPS01~DENPASAR BARAT~PADANGSAMBIAN
DENPASAR~DENPASAR BARAT~6~DPS01~DENPASAR BARAT~PADANGSAMBIAN KAJA
DENPASAR~DENPASAR BARAT~7~DPS01~DENPASAR BARAT~PADANGSAMBIAN KLODKELOD
DENPASAR~DENPASAR BARAT~8~DPS01~DENPASAR BARAT~PEMECUTAN
DENPASAR~DENPASAR BARAT~9~DPS01~DENPASAR BARAT~PEMECUTAN KLODKELOD
DENPASAR~DENPASAR BARAT~10~DPS01~DENPASAR BARAT~TEGAL HARUM
DENPASAR~DENPASAR BARAT~11~DPS01~DENPASAR BARAT~TEGAL KERTHA
DENPASAR~DENPASAR SELATAN~1~DPS04~DENPASAR SELATAN~PANJER
DENPASAR~DENPASAR SELATAN~2~DPS04~DENPASAR SELATAN~SESETAN
DENPASAR~DENPASAR SELATAN~3~DPS04~DENPASAR SELATAN~SIDAKARYA
DENPASAR~DENPASAR SELATAN~4~DPS04~DENPASAR SELATAN~SANUR
DENPASAR~DENPASAR SELATAN~5~DPS04~DENPASAR SELATAN~KESIMAN
DENPASAR~DENPASAR SELATAN~6~DPS04~DENPASAR SELATAN~SUMERTA
DENPASAR~DENPASAR SELATAN~7~DPS04~DENPASAR SELATAN~RENON
DENPASAR~DENPASAR SELATAN~8~DPS04~DENPASAR SELATAN~SERANGAN
DENPASAR~DENPASAR SELATAN~9~DPS04~DENPASAR SELATAN~KESIMAN KERTALANGU
DENPASAR~DENPASAR SELATAN~10~DPS04~DENPASAR SELATAN~KESIMAN PETILAN
DENPASAR~DENPASAR SELATAN~11~DPS04~DENPASAR SELATAN~SANUR KAJA
DENPASAR~DENPASAR SELATAN~12~DPS04~DENPASAR SELATAN~SANUR KAUH
DENPASAR~DENPASAR SELATAN~13~DPS05~DENPASAR SELATAN~PEMOGAN
DENPASAR~DENPASAR SELATAN~14~DPS05~DENPASAR SELATAN~PEDUNGAN
DENPASAR~DENPASAR SELATAN~15~DPS05~DENPASAR SELATAN~GLOGOR CARIK
DENPASAR~DENPASAR TIMUR~1~DPS07~DENPASAR TIMUR~DANGIN PURI
DENPASAR~DENPASAR TIMUR~2~DPS07~DENPASAR TIMUR~DANGIN PURI KLOD
DENPASAR~DENPASAR TIMUR~3~DPS07~DENPASAR TIMUR~SUMERTA KAJA
DENPASAR~DENPASAR TIMUR~4~DPS07~DENPASAR TIMUR~SUMERTA KAUH
DENPASAR~DENPASAR TIMUR~5~DPS07~DENPASAR TIMUR~PENATIH
DENPASAR~DENPASAR TIMUR~6~DPS07~DENPASAR TIMUR~PENATIH DANGIN PURI
DENPASAR~DENPASAR TIMUR~7~DPS07~DENPASAR TIMUR~SUMERTA KELODKLOD
DENPASAR~DENPASAR UTARA~1~DPS06~DENPASAR UTARA~DAUH PURI KAJA
DENPASAR~DENPASAR UTARA~2~DPS06~DENPASAR UTARA~PEGUYANGAN
DENPASAR~DENPASAR UTARA~3~DPS06~DENPASAR UTARA~PEGUYANGAN KAJA
DENPASAR~DENPASAR UTARA~4~DPS06~DENPASAR UTARA~PEGUYANGAN KANGIN
DENPASAR~DENPASAR UTARA~5~DPS06~DENPASAR UTARA~UBUNG
DENPASAR~DENPASAR UTARA~6~DPS06~DENPASAR UTARA~UBUNG KAJA
DENPASAR~DENPASAR UTARA~7~DPS06~DENPASAR UTARA~PEMECUTAN KAJA
DENPASAR~DENPASAR UTARA~8~DPS06~DENPASAR UTARA~DANGIN PURI KAJA
DENPASAR~DENPASAR UTARA~9~DPS06~DENPASAR UTARA~DANGIN PURI KAUH
DENPASAR~DENPASAR UTARA~10~DPS06~DENPASAR UTARA~DANGIN PURI KANGIN
DENPASAR~DENPASAR UTARA~11~DPS06~DENPASAR UTARA~TONJA
DENPASAR~JIMBARAN~1~DPS03~JIMBARAN~PECATU
DENPASAR~JIMBARAN~2~DPS03~JIMBARAN~UNGASAN
DENPASAR~NGURAH RAI~1~DPS03~NGURAH RAI~NGURAH RAI
DENPASAR~NUSA DUA~1~DPS08~NUSA DUA~BENOA
DENPASAR~NUSA DUA~2~DPS08~NUSA DUA~TANJUNG BENOA
DENPASAR~ULUWATU~1~DPS03~ULUWATU~SIMPANGAN
DENPASAR~ULUWATU~2~DPS03~ULUWATU~GIRISARI
DENPASAR~ULUWATU~3~DPS03~ULUWATU~ULUWATU
DENPASAR~ULUWATU~4~DPS03~ULUWATU~PERANGAN
DENPASAR~ULUWATU~5~DPS03~ULUWATU~KUTUH
DENPASAR~ULUWATU~6~DPS03~ULUWATU~MUMBUL
DENPASAR~ULUWATU~7~DPS03~ULUWATU~BUALU
DENPASAR~ULUWATU~8~DPS03~ULUWATU~PANDE
DENPASAR~ULUWATU~9~DPS03~ULUWATU~TROTOA
DENPASAR~ULUWATU~10~DPS03~ULUWATU~MENESA
