MEDAN~AMPLAS~1~MES01~AMPLAS~HARJOSARI I
MEDAN~AMPLAS~2~MES01~AMPLAS~HARJOSARI II
MEDAN~AMPLAS~3~MES01~AMPLAS~TIMBANG DELI
MEDAN~AMPLAS~4~MES01~AMPLAS~BANGUN MULIA
MEDAN~AMPLAS~5~MES01~AMPLAS~SITIREJO II
MEDAN~AMPLAS~6~MES01~AMPLAS~SITIREJO III
MEDAN~AMPLAS~7~MES01~AMPLAS~AMPLAS
MEDAN~AREA~1~MES07~AREA~PANDAU HULU II
MEDAN~AREA~2~MES07~AREA~SEI RENGAS II
MEDAN~AREA~3~MES07~AREA~SEI RENGAS PERMATA
MEDAN~AREA~4~MES07~AREA~MATSUM I
MEDAN~AREA~5~MES07~AREA~MATSUM II
MEDAN~AREA~6~MES07~AREA~MATSUM IV
MEDAN~AREA~7~MES07~AREA~SUKARAMAI I
MEDAN~AREA~8~MES07~AREA~SUKARAMAI II
MEDAN~AREA~9~MES07~AREA~TEGAL SARI I
MEDAN~AREA~10~MES07~AREA~TEGAL SARI II
MEDAN~AREA~11~MES07~AREA~TEGAL SARI III
MEDAN~AREA~12~MES07~AREA~PASAR MERAH TIMUR
MEDAN~BARAT~1~MES08~BARAT~KESAWAN
MEDAN~BARAT~2~MES08~BARAT~SILALAS
MEDAN~BARAT~3~MES08~BARAT~GLUGUR KOTA
MEDAN~BARAT~4~MES08~BARAT~PULO BRAYAN KOTA
MEDAN~BARAT~5~MES08~BARAT~KARANG BEROMBAK
MEDAN~BARAT~6~MES08~BARAT~SEI AGUL
MEDAN~BARU~1~MES01~BARU~DARAT
MEDAN~BARU~2~MES01~BARU~PETISAH
MEDAN~BARU~3~MES01~BARU~BABURA
MEDAN~BARU~4~MES01~BARU~MERDEKA
MEDAN~BARU~5~MES01~BARU~PADANG BULAN
MEDAN~BARU~6~MES01~BARU~TITI RANTAI/RANTE
MEDAN~DELI~1~MES08~DELI~TANJUNG MULIA
MEDAN~DELI~2~MES08~DELI~TANJUNG MULIA HILIR
MEDAN~DELI~3~MES08~DELI~MABAR
MEDAN~DELI~4~MES08~DELI~MABAR HILIR
MEDAN~DELI~5~MES08~DELI~BANGUN
MEDAN~DELI~6~MES08~DELI~TITI PAPAN
MEDAN~DENAI~1~MES07~DENAI~TEGAL SARI MANDALA I
MEDAN~DENAI~2~MES07~DENAI~TEGAL SARI MANDALA II
MEDAN~DENAI~3~MES07~DENAI~TEGAL SARI MANDALA III
MEDAN~DENAI~4~MES07~DENAI~DENAI
MEDAN~DENAI~5~MES07~DENAI~BINJAI
MEDAN~DENAI~6~MES07~DENAI~MEDAN TENGGARA
MEDAN~HELVETIA~1~MES09~HELVETIA~DWI KORA
MEDAN~HELVETIA~2~MES09~HELVETIA~SEI SIKAMBING C II
MEDAN~HELVETIA~3~MES09~HELVETIA~HELVETIA
MEDAN~HELVETIA~4~MES09~HELVETIA~HELVETIA TIMUR
MEDAN~HELVETIA~5~MES09~HELVETIA~HELVETIA TENGAH
MEDAN~HELVETIA~6~MES09~HELVETIA~TANJUNG GUSTA
MEDAN~HELVETIA~7~MES09~HELVETIA~CINTA DAMAI
MEDAN~JOHOR~1~MES01~JOHOR~KWALA BEKALA
MEDAN~JOHOR~2~MES01~JOHOR~PANGKALAN MASYUR
MEDAN~JOHOR~3~MES01~JOHOR~GEDUNG JOHOR
MEDAN~JOHOR~4~MES01~JOHOR~KEDAI DURIAN
MEDAN~JOHOR~5~MES01~JOHOR~SUKA MAJU
MEDAN~JOHOR~6~MES01~JOHOR~TITI KUNING
MEDAN~LABUHAN~1~MES01~LABUHAN~BESAR
MEDAN~LABUHAN~2~MES01~LABUHAN~MARTUBUNG
MEDAN~LABUHAN~3~MES01~LABUHAN~SEI MATI
MEDAN~LABUHAN~4~MES01~LABUHAN~PEKAN LABUHAN
MEDAN~LABUHAN~5~MES01~LABUHAN~NELAYAN INDAH
MEDAN~LABUHAN~6~MES01~LABUHAN~TANGKAHAN
MEDAN~MAIMUN~1~MES01~MAIMUN~AUR
MEDAN~MAIMUN~2~MES01~MAIMUN~HAMDAN
MEDAN~MAIMUN~3~MES01~MAIMUN~JATI
