LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~1~LLG01~LUBUK LINGGAU BARAT 1~KAYU ARA
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~2~LLG01~LUBUK LINGGAU BARAT 1~LUBUK DURIAN
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~3~LLG01~LUBUK LINGGAU BARAT 1~LUBUK TANJUNG
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~4~LLG01~LUBUK LINGGAU BARAT 1~TANJUNG INDAH
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~5~LLG01~LUBUK LINGGAU BARAT 1~TANJUNG AMAN
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~6~LLG01~LUBUK LINGGAU BARAT 1~LUBUK AMAN
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~7~LLG01~LUBUK LINGGAU BARAT 1~PELITA JAYA
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~8~LLG01~LUBUK LINGGAU BARAT 1~NBANDUNG UJUNG
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~9~LLG01~LUBUK LINGGAU BARAT 1~BANDUNG KIRI
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~10~LLG01~LUBUK LINGGAU BARAT 1~SUKAJADI
LUBUK LINGGAU~LUBUK LINGGAU BARAT 1~11~LLG01~LUBUK LINGGAU BARAT 1~MUARA ENIM
LUBUK LINGGAU~LUBUK LINGGAU BARAT 2~1~LLG01~LUBUK LINGGAU BARAT 2~SIDOREJO
LUBUK LINGGAU~LUBUK LINGGAU BARAT 2~2~LLG01~LUBUK LINGGAU BARAT 2~TAPAK LEBAR
LUBUK LINGGAU~LUBUK LINGGAU BARAT 2~3~LLG01~LUBUK LINGGAU BARAT 2~ULAK LEBAR
LUBUK LINGGAU~LUBUK LINGGAU BARAT 2~4~LLG01~LUBUK LINGGAU BARAT 2~BANDUNG KANAN
LUBUK LINGGAU~LUBUK LINGGAU BARAT 2~5~LLG01~LUBUK LINGGAU BARAT 2~KEPUTRAAN
