JAMBI~ALAM BARAJO~1~DJB01~ALAM BARAJO~MANGURAI
JAMBI~ALAM BARAJO~2~DJB01~ALAM BARAJO~RAWASARI
JAMBI~ALAM BARAJO~3~DJB01~ALAM BARAJO~BELIUNG
JAMBI~ALAM BARAJO~4~DJB01~ALAM BARAJO~BAGAN PETE
JAMBI~ALAM BARAJO~5~DJB01~ALAM BARAJO~KENALI BESAR
JAMBI~DANAU SIPIN~1~DJB01~DANAU SIPIN~MURNI
JAMBI~DANAU SIPIN~2~DJB01~DANAU SIPIN~SOLOK SIPIN
JAMBI~DANAU SIPIN~3~DJB01~DANAU SIPIN~LEGOK
JAMBI~DANAU SIPIN~4~DJB01~DANAU SIPIN~SELAMAT
JAMBI~DANAU SIPIN~5~DJB01~DANAU SIPIN~SUNGAI PUTRI
JAMBI~DANAU TELUK~1~DJB02~DANAU TELUK~ULU GEDONG
JAMBI~DANAU TELUK~2~DJB02~DANAU TELUK~OLAK KEMANG
JAMBI~DANAU TELUK~3~DJB02~DANAU TELUK~TANJUNG PASIR
JAMBI~DANAU TELUK~4~DJB02~DANAU TELUK~TANJUNG RADEN
JAMBI~DANAU TELUK~5~DJB02~DANAU TELUK~PASIR PANJANG
JAMBI~JAMBI SELATAN~1~DJB02~JAMBI SELATAN~WIJAYA PURA
JAMBI~JAMBI SELATAN~2~DJB02~JAMBI SELATAN~PAKUAN BARU
JAMBI~JAMBI SELATAN~3~DJB02~JAMBI SELATAN~THE HOK
JAMBI~JAMBI SELATAN~4~DJB02~JAMBI SELATAN~EKA JAYA
JAMBI~JAMBI SELATAN~5~DJB02~JAMBI SELATAN~LINGKAR SELATAN
JAMBI~JAMBI SELATAN~6~DJB02~JAMBI SELATAN~PAAL MERAH
JAMBI~JAMBI SELATAN~7~DJB02~JAMBI SELATAN~PASIR PUTIH
JAMBI~JAMBI SELATAN~8~DJB02~JAMBI SELATAN~TALANG BAKUNG
JAMBI~JAMBI SELATAN~9~DJB02~JAMBI SELATAN~TAMBAK SARI
JAMBI~JAMBI TIMUR~1~DJB02~JAMBI TIMUR~KASANG
JAMBI~JAMBI TIMUR~2~DJB02~JAMBI TIMUR~KASANG JAYA
JAMBI~JAMBI TIMUR~3~DJB02~JAMBI TIMUR~TALANG BANJAR
JAMBI~JAMBI TIMUR~4~DJB02~JAMBI TIMUR~RAJAWALI
JAMBI~JAMBI TIMUR~5~DJB02~JAMBI TIMUR~SULAN JANA
JAMBI~JAMBI TIMUR~6~DJB02~JAMBI TIMUR~BUDIMAN
JAMBI~JAMBI TIMUR~7~DJB02~JAMBI TIMUR~TANJUNG PINANG
JAMBI~JAMBI TIMUR~8~DJB02~JAMBI TIMUR~TANJUNG SARI
JAMBI~JAMBI TIMUR~9~DJB02~JAMBI TIMUR~PAYO SELINCAH
JAMBI~JAMBI TIMUR~10~DJB02~JAMBI TIMUR~SIJENJANG
JAMBI~JELUTUNG~1~DJB02~JELUTUNG~TALANG JAUH
JAMBI~JELUTUNG~2~DJB02~JELUTUNG~CEMPAKA PUTIH
JAMBI~JELUTUNG~3~DJB02~JELUTUNG~LEBAK BANDUNG
JAMBI~JELUTUNG~4~DJB02~JELUTUNG~PAYO LEBAR
JAMBI~JELUTUNG~5~DJB02~JELUTUNG~JELUTUNG
JAMBI~JELUTUNG~6~DJB02~JELUTUNG~HANDIL JAYA
JAMBI~JELUTUNG~7~DJB02~JELUTUNG~KEBUN HANDIL
JAMBI~KOTA BARU~1~DJB02~KOTA BARU~RAWASARI
JAMBI~KOTA BARU~2~DJB02~KOTA BARU~SIMPANG TIGA SIPIN
JAMBI~KOTA BARU~3~DJB02~KOTA BARU~SUKA KARYA
JAMBI~KOTA BARU~4~DJB02~KOTA BARU~KENALI ASAM ATAS
JAMBI~KOTA BARU~5~DJB02~KOTA BARU~KENALI ASAM BAWAH
JAMBI~KOTA BARU~6~DJB02~KOTA BARU~PAAL LIMA
JAMBI~KOTA BARU~7~DJB02~KOTA BARU~BAGAN PETE
JAMBI~KOTA BARU~8~DJB02~KOTA BARU~BELIUNG PATAH
JAMBI~KOTA BARU~9~DJB02~KOTA BARU~KENALI BESAR
JAMBI~KOTA BARU~10~DJB02~KOTA BARU~MAYANG MANGURAI
JAMBI~PASAR JAMBI~1~DJB01~PASAR JAMBI~ORANG KAYO HITAM
JAMBI~PASAR JAMBI~2~DJB01~PASAR JAMBI~BERINGIN
JAMBI~PASAR JAMBI~3~DJB01~PASAR JAMBI~PASAR JAMBI
JAMBI~PASAR JAMBI~4~DJB01~PASAR JAMBI~SUNGAI ASAM
JAMBI~PELAYANGAN ~1~DJB01~PELAYANGAN~ARAB MELAYU
JAMBI~PELAYANGAN ~2~DJB01~PELAYANGAN~MUDUNG LAUT
JAMBI~PELAYANGAN ~3~DJB01~PELAYANGAN~JELMU
JAMBI~PELAYANGAN ~4~DJB01~PELAYANGAN~TENGAH
JAMBI~PELAYANGAN ~5~DJB01~PELAYANGAN~TAHTUL YAMAN
JAMBI~PELAYANGAN ~6~DJB01~PELAYANGAN~TANJUNG JOHOR
