BIMA~ASAKOTA~1~BMU01~ASAKOTA~MELAYU
BIMA~ASAKOTA~2~BMU01~ASAKOTA~JATIWANGI
BIMA~ASAKOTA~3~BMU01~ASAKOTA~JATIBARU
BIMA~ASAKOTA~4~BMU01~ASAKOTA~KOLO
BIMA~MPUNDA~1~BMU01~MPUNDA~MONGGONAE
BIMA~MPUNDA~2~BMU01~MPUNDA~PENATOI
BIMA~MPUNDA~3~BMU01~MPUNDA~LEWIRATO
BIMA~MPUNDA~4~BMU01~MPUNDA~MANDE
BIMA~MPUNDA~5~BMU01~MPUNDA~PANGGI
BIMA~MPUNDA~6~BMU01~MPUNDA~MANGGEMACI
BIMA~MPUNDA~7~BMU01~MPUNDA~MATAKANDO
BIMA~RABA~1~BMU01~RABA~PENARAGA
BIMA~RABA~2~BMU01~RABA~RONTU
BIMA~RABA~3~BMU01~RABA~PERANAE
BIMA~RABA~4~BMU01~RABA~KENDO
BIMA~RABA~5~BMU01~RABA~NTOBO
BIMA~RABA~6~BMU01~RABA~NITU
BIMA~RABA~7~BMU01~RABA~RABANGODU SELATAN
BIMA~RABA~8~BMU01~RABA~RABADOMPU TIMUR
BIMA~RABA~9~BMU01~RABA~RITE
BIMA~RABA~10~BMU01~RABA~RABADOMPU BARAT
BIMA~RABA~11~BMU01~RABA~RABANGODU UTARA
BIMA~RASANAE BARAT~1~BMU01~RASANAE BARAT~PARUGA
BIMA~RASANAE BARAT~2~BMU01~RASANAE BARAT~SARAE
BIMA~RASANAE BARAT~3~BMU01~RASANAE BARAT~NAE
BIMA~RASANAE BARAT~4~BMU01~RASANAE BARAT~TANJUNG
BIMA~RASANAE BARAT~5~BMU01~RASANAE BARAT~PANE
BIMA~RASANAE BARAT~6~BMU01~RASANAE BARAT~DARA
BIMA~RASANAE TIMUR~1~BMU01~RASANAE TIMUR~KUMBE
BIMA~RASANAE TIMUR~2~BMU01~RASANAE TIMUR~LAMPE
BIMA~RASANAE TIMUR~3~BMU01~RASANAE TIMUR~DODU
BIMA~RASANAE TIMUR~4~BMU01~RASANAE TIMUR~NUNGGA
BIMA~RASANAE TIMUR~5~BMU01~RASANAE TIMUR~KUDO
BIMA~RASANAE TIMUR~6~BMU01~RASANAE TIMUR~OI FO'O
BIMA~RASANAE TIMUR~7~BMU01~RASANAE TIMUR~LELAMASE
