TOLIKARA~AIRGARAM~1~KAR01~AIRGARAM~GOMBO
TOLIKARA~AIRGARAM~2~KAR01~AIRGARAM~KUBUR
TOLIKARA~AIRGARAM~3~KAR01~AIRGARAM~KUOBAGA
TOLIKARA~AIRGARAM~4~KAR01~AIRGARAM~KUPEKAE
TOLIKARA~AIRGARAM~5~KAR01~AIRGARAM~LENGGUP
TOLIKARA~AIRGARAM~6~KAR01~AIRGARAM~LIWESE
TOLIKARA~AIRGARAM~7~KAR01~AIRGARAM~ONELULU
TOLIKARA~AIRGARAM~8~KAR01~AIRGARAM~ONGGOKME ONGGOME
TOLIKARA~AIRGARAM~9~KAR01~AIRGARAM~TABOWANIMBO
TOLIKARA~AIRGARAM~10~KAR01~AIRGARAM~TINGER
TOLIKARA~AIRGARAM~11~KAR01~AIRGARAM~WENDURI WANDURI
TOLIKARA~AIRGARAM~12~KAR01~AIRGARAM~WEU
TOLIKARA~AIRGARAM~13~KAR01~AIRGARAM~YIWENGGAMBUR YIWAGAMBUR
TOLIKARA~AIRGARAM~14~KAR01~AIRGARAM~YUNERI
TOLIKARA~BEWANI~1~KAR01~BEWANI~ABENA
TOLIKARA~BEWANI~2~KAR01~BEWANI~ARELAM
TOLIKARA~BEWANI~3~KAR01~BEWANI~BILBAGA BILUBAGA
TOLIKARA~BEWANI~4~KAR01~BEWANI~BITLABUR BITILLABUR/BITILABUR
TOLIKARA~BEWANI~5~KAR01~BEWANI~DUMA
TOLIKARA~BEWANI~6~KAR01~BEWANI~GABUGOBAK GAMBUGOBAK/GABUNGGOBAK
TOLIKARA~BEWANI~7~KAR01~BEWANI~GELALO
TOLIKARA~BEWANI~8~KAR01~BEWANI~NOGOBUMBU NOKOBUMBU
TOLIKARA~BEWANI~9~KAR01~BEWANI~WANGGULAM WAGULAM
TOLIKARA~BEWANI~10~KAR01~BEWANI~WANIA
TOLIKARA~BEWANI~11~KAR01~BEWANI~WINDIK
TOLIKARA~BEWANI~12~KAR01~BEWANI~WULURIK ULURIK
TOLIKARA~BEWANI~13~KAR01~BEWANI~YIBALO
