MAGETAN~BARAT~1~MTX01~BARAT~BANJAREJO
MAGETAN~BARAT~2~MTX01~BARAT~BANGUNASRI
MAGETAN~BARAT~3~MTX01~BARAT~BLARAN
MAGETAN~BARAT~4~MTX01~BARAT~BOGOREJO
MAGETAN~BARAT~5~MTX01~BARAT~JONGGRANG
MAGETAN~BARAT~6~MTX01~BARAT~KARANGSONO
MAGETAN~BARAT~7~MTX01~BARAT~KLAGEN
MAGETAN~BARAT~8~MTX01~BARAT~MANGGE
MAGETAN~BARAT~9~MTX01~BARAT~MANJUNG
MAGETAN~BARAT~10~MTX01~BARAT~NGUMPUL
MAGETAN~BARAT~11~MTX01~BARAT~PANGGUNG
MAGETAN~BARAT~12~MTX01~BARAT~PURWODADI
MAGETAN~BARAT~13~MTX01~BARAT~REJOMULYO
MAGETAN~BARAT~14~MTX01~BARAT~TEBON
MAGETAN~BENDO~1~MTX01~BENDO~BELOTAN
MAGETAN~BENDO~2~MTX01~BENDO~BENDO
MAGETAN~BENDO~3~MTX01~BENDO~BULAK
MAGETAN~BENDO~4~MTX01~BENDO~BULUGLEDEG
MAGETAN~BENDO~5~MTX01~BENDO~CARIKAN
MAGETAN~BENDO~6~MTX01~BENDO~DUKUH
MAGETAN~BENDO~7~MTX01~BENDO~DUWET
MAGETAN~BENDO~8~MTX01~BENDO~KINANDANG
MAGETAN~BENDO~9~MTX01~BENDO~KLECO
MAGETAN~BENDO~10~MTX01~BENDO~KLEDOKAN
MAGETAN~BENDO~11~MTX01~BENDO~LEMAHBANG
MAGETAN~BENDO~12~MTX01~BENDO~PINGKUK
MAGETAN~BENDO~13~MTX01~BENDO~SETREN
MAGETAN~BENDO~14~MTX01~BENDO~SOCO
MAGETAN~BENDO~15~MTX01~BENDO~TANJUNG
MAGETAN~BENDO~16~MTX01~BENDO~TEGALARUM
MAGETAN~KARANGREJO~1~MTX01~KARANGREJO~BALUK
MAGETAN~KARANGREJO~2~MTX01~KARANGREJO~GEBYOG
MAGETAN~KARANGREJO~3~MTX01~KARANGREJO~GONDANG
MAGETAN~KARANGREJO~4~MTX01~KARANGREJO~GRABAHAN
MAGETAN~KARANGREJO~5~MTX01~KARANGREJO~KARANGREJO
MAGETAN~KARANGREJO~6~MTX01~KARANGREJO~KAUMAN
MAGETAN~KARANGREJO~7~MTX01~KARANGREJO~MANISREJO
MAGETAN~KARANGREJO~8~MTX01~KARANGREJO~MANTREN
MAGETAN~KARANGREJO~9~MTX01~KARANGREJO~MARON
MAGETAN~KARANGREJO~10~MTX01~KARANGREJO~PATIHAN
MAGETAN~KARANGREJO~11~MTX01~KARANGREJO~PELEM
MAGETAN~KARANGREJO~12~MTX01~KARANGREJO~PRAMPELAN
MAGETAN~KARANGREJO~13~MTX01~KARANGREJO~SAMBIREMBE
MAGETAN~KARAS~1~MTX01~KARAS~BOTOK
MAGETAN~KARAS~2~MTX01~KARAS~GEPLAK
MAGETAN~KARAS~3~MTX01~KARAS~GINUK
MAGETAN~KARAS~4~MTX01~KARAS~JUNGKE
MAGETAN~KARAS~5~MTX01~KARAS~KARAS
MAGETAN~KARAS~6~MTX01~KARAS~KUWON
MAGETAN~KARAS~7~MTX01~KARAS~SOBONTORO
MAGETAN~KARAS~8~MTX01~KARAS~SUMURSONGO
MAGETAN~KARAS~9~MTX01~KARAS~TAJI
MAGETAN~KARAS~10~MTX01~KARAS~TEMBORO
MAGETAN~KARAS~11~MTX01~KARAS~TEMENGGUNGAN
MAGETAN~KAWEDANAN~1~MTX01~KAWEDANAN~BALEREJO
MAGETAN~KAWEDANAN~2~MTX01~KAWEDANAN~BOGEM
