MBAY~AESESA~1~MBY01~AESESA~AERAMO
MBAY~AESESA~2~MBY01~AESESA~DANGA
MBAY~AESESA~3~MBY01~AESESA~DHAWE
MBAY~AESESA~4~MBY01~AESESA~LABOLEWA
MBAY~AESESA~5~MBY01~AESESA~LAPE
MBAY~AESESA~6~MBY01~AESESA~MARAPOKOT
MBAY~AESESA~7~MBY01~AESESA~MBAI I
MBAY~AESESA~8~MBY01~AESESA~MBAY II
MBAY~AESESA~9~MBY01~AESESA~NANGADHERO
MBAY~AESESA~10~MBY01~AESESA~NGEGEDHAWE
MBAY~AESESA~11~MBY01~AESESA~NGGOLO MBAY
MBAY~AESESA~12~MBY01~AESESA~NGGOLONIO
MBAY~AESESA~13~MBY01~AESESA~OLAIA
MBAY~AESESA~14~MBY01~AESESA~TEDAKISA
MBAY~AESESA~15~MBY01~AESESA~TEDAMUDE
MBAY~AESESA~16~MBY01~AESESA~TONGGU RAMBANG
MBAY~AESESA~17~MBY01~AESESA~TOWAK
MBAY~AESESA~18~MBY01~AESESA~WAEKOKAK
MBAY~AESESA SELATAN~1~MBY01~AESESA SELATAN~LANGEDHAWE
MBAY~AESESA SELATAN~2~MBY01~AESESA SELATAN~RENDU BUTOWE
MBAY~AESESA SELATAN~3~MBY01~AESESA SELATAN~RENDUTENOE
MBAY~AESESA SELATAN~4~MBY01~AESESA SELATAN~RENDUWAWO
MBAY~AESESA SELATAN~5~MBY01~AESESA SELATAN~TENGATIBA
MBAY~BOAWAE~1~MBY01~BOAWAE~DHEREISA
MBAY~BOAWAE~2~MBY01~BOAWAE~GERODHERE
MBAY~BOAWAE~3~MBY01~BOAWAE~KELEWAE
MBAY~BOAWAE~4~MBY01~BOAWAE~KELIMADO
MBAY~BOAWAE~5~MBY01~BOAWAE~LEGUDERU
MBAY~BOAWAE~6~MBY01~BOAWAE~MULAKOLI
MBAY~BOAWAE~7~MBY01~BOAWAE~NAGEOGA
MBAY~BOAWAE~8~MBY01~BOAWAE~NAGERAWE
MBAY~BOAWAE~9~MBY01~BOAWAE~NAGESAPADHI
MBAY~BOAWAE~10~MBY01~BOAWAE~NATANAGE
MBAY~BOAWAE~11~MBY01~BOAWAE~OLAKILE
MBAY~BOAWAE~12~MBY01~BOAWAE~RAJA
MBAY~BOAWAE~13~MBY01~BOAWAE~RATONGAMOBO
MBAY~BOAWAE~14~MBY01~BOAWAE~REGA
MBAY~BOAWAE~15~MBY01~BOAWAE~RIGI
MBAY~BOAWAE~16~MBY01~BOAWAE~ROWA
MBAY~BOAWAE~17~MBY01~BOAWAE~SOLO
MBAY~BOAWAE~18~MBY01~BOAWAE~WEA AU
MBAY~BOAWAE~19~MBY01~BOAWAE~WOLOPOGO
MBAY~BOAWAE~20~MBY01~BOAWAE~WOLOWEA
MBAY~KEO TENGAH~1~MBY01~KEO TENGAH~KELI
MBAY~KEO TENGAH~2~MBY01~KEO TENGAH~KOTADIRUMALI
MBAY~KEO TENGAH~3~MBY01~KEO TENGAH~KOTAWUJI BARAT
MBAY~KEO TENGAH~4~MBY01~KEO TENGAH~KOTAWUJI TIMUR
MBAY~KEO TENGAH~5~MBY01~KEO TENGAH~LADOLIMA
MBAY~KEO TENGAH~6~MBY01~KEO TENGAH~LEWANGERA
MBAY~KEO TENGAH~7~MBY01~KEO TENGAH~MBAENUAMURI
MBAY~KEO TENGAH~8~MBY01~KEO TENGAH~NGERA
MBAY~KEO TENGAH~9~MBY01~KEO TENGAH~PAUTOLA
MBAY~KEO TENGAH~10~MBY01~KEO TENGAH~UDIWOROWATU
MBAY~KEO TENGAH~11~MBY01~KEO TENGAH~WAJO
MBAY~KEO TENGAH~12~MBY01~KEO TENGAH~WITUROMBAUA
MBAY~MAUPONGGO~1~MBY01~MAUPONGGO~AEWOE
MBAY~MAUPONGGO~2~MBY01~MAUPONGGO~BELA
MBAY~MAUPONGGO~3~MBY01~MAUPONGGO~JAWAPOGO
MBAY~MAUPONGGO~4~MBY01~MAUPONGGO~KELIWATULEWA
MBAY~MAUPONGGO~5~MBY01~MAUPONGGO~KOTAGANA
MBAY~MAUPONGGO~6~MBY01~MAUPONGGO~LAJAWAJO
MBAY~MAUPONGGO~7~MBY01~MAUPONGGO~LODAOLO
MBAY~MAUPONGGO~8~MBY01~MAUPONGGO~LOKALABA
MBAY~MAUPONGGO~9~MBY01~MAUPONGGO~MAU PONGGO
MBAY~MAUPONGGO~10~MBY01~MAUPONGGO~MAUKELI
MBAY~MAUPONGGO~11~MBY01~MAUPONGGO~SAWU
MBAY~MAUPONGGO~12~MBY01~MAUPONGGO~SELALEJO
MBAY~MAUPONGGO~13~MBY01~MAUPONGGO~UA
MBAY~MAUPONGGO~14~MBY01~MAUPONGGO~ULULOGA
MBAY~MAUPONGGO~15~MBY01~MAUPONGGO~WOEWOLO
MBAY~MAUPONGGO~16~MBY01~MAUPONGGO~WOLOEDE
MBAY~MAUPONGGO~17~MBY01~MAUPONGGO~WOLOKISA
MBAY~MAUPONGGO~18~MBY01~MAUPONGGO~WOLOLELU
MBAY~MAUPONGGO~19~MBY01~MAUPONGGO~WOLOTELU
MBAY~MAUPONGGO~20~MBY01~MAUPONGGO~WULIWALO
MBAY~NANGARORO~1~MBY01~NANGARORO~BIDOA
MBAY~NANGARORO~2~MBY01~NANGARORO~DEGALEA
MBAY~NANGARORO~3~MBY01~NANGARORO~KOTAKEO
MBAY~NANGARORO~4~MBY01~NANGARORO~NANGARORO
MBAY~NANGARORO~5~MBY01~NANGARORO~NATAUTE
MBAY~NANGARORO~6~MBY01~NANGARORO~PAGOMOGO
MBAY~NANGARORO~7~MBY01~NANGARORO~PODENURA
MBAY~NANGARORO~8~MBY01~NANGARORO~RITI
MBAY~NANGARORO~9~MBY01~NANGARORO~TONGGO
MBAY~NANGARORO~10~MBY01~NANGARORO~ULUPULU
MBAY~NANGARORO~11~MBY01~NANGARORO~UTETOTO
MBAY~NANGARORO~12~MBY01~NANGARORO~WOEDOA
MBAY~NANGARORO~13~MBY01~NANGARORO~WOKODEKORORO
MBAY~WOLOWAE~1~MBY01~WOLOWAE~ANAKOLI
MBAY~WOLOWAE~2~MBY01~WOLOWAE~NATATOTO
MBAY~WOLOWAE~3~MBY01~WOLOWAE~TENDA KINDE
MBAY~WOLOWAE~4~MBY01~WOLOWAE~TENDATOTO
MBAY~WOLOWAE~5~MBY01~WOLOWAE~TOTOMALA
