TAHUNA~KENDAHE~1~THA01~KENDAHE~KAWALUSO
TAHUNA~KENDAHE~2~THA01~KENDAHE~KAWIO
TAHUNA~KENDAHE~3~THA01~KENDAHE~KENDAHE DUA
TAHUNA~KENDAHE~4~THA01~KENDAHE~KENDAHE SATU
TAHUNA~KENDAHE~5~THA01~KENDAHE~LIPANG LIPAENG
TAHUNA~KENDAHE~6~THA01~KENDAHE~MOHONGSAWANG
TAHUNA~KENDAHE~7~THA01~KENDAHE~PEMPALARAENG
TAHUNA~KENDAHE~8~THA01~KENDAHE~TALAWID
TAHUNA~KENDAHE~9~THA01~KENDAHE~TARIANGLAMA
TAHUNA~MANGANITU~1~THA01~MANGANITU~BAKALAENG
TAHUNA~MANGANITU~2~THA01~MANGANITU~BARANGKA
TAHUNA~MANGANITU~3~THA01~MANGANITU~BARANGKALANG
TAHUNA~MANGANITU~4~THA01~MANGANITU~BELENGANG
TAHUNA~MANGANITU~5~THA01~MANGANITU~HIUNG
TAHUNA~MANGANITU~6~THA01~MANGANITU~KARATUNG I
TAHUNA~MANGANITU~7~THA01~MANGANITU~KARATUNG II
TAHUNA~MANGANITU~8~THA01~MANGANITU~KAUHIS
TAHUNA~MANGANITU~9~THA01~MANGANITU~LEBO
TAHUNA~MANGANITU~10~THA01~MANGANITU~MALA
TAHUNA~MANGANITU~11~THA01~MANGANITU~MANUMPITAENG
TAHUNA~MANGANITU~12~THA01~MANGANITU~NAHEPESE
TAHUNA~MANGANITU~13~THA01~MANGANITU~SESIWUNG
TAHUNA~MANGANITU~14~THA01~MANGANITU~TALOARANE
TAHUNA~MANGANITU~15~THA01~MANGANITU~TAWOALI
TAHUNA~MANGANITU SELATAN~1~THA01~MANGANITU SELATAN~BATUNDERANG
TAHUNA~MANGANITU SELATAN~2~THA01~MANGANITU SELATAN~BEBALANG
TAHUNA~MANGANITU SELATAN~3~THA01~MANGANITU SELATAN~KALUWATU
TAHUNA~MANGANITU SELATAN~4~THA01~MANGANITU SELATAN~LAINE
TAHUNA~MANGANITU SELATAN~5~THA01~MANGANITU SELATAN~LAPANGO
TAHUNA~MANGANITU SELATAN~6~THA01~MANGANITU SELATAN~NGALIPAENG DUA II
TAHUNA~MANGANITU SELATAN~7~THA01~MANGANITU SELATAN~NGALIPAENG SATU I
TAHUNA~MANGANITU SELATAN~8~THA01~MANGANITU SELATAN~SOWAENG MAWIRA
TAHUNA~NUSA TABUKAN~1~THA01~NUSA TABUKAN~BUKIDE
TAHUNA~NUSA TABUKAN~2~THA01~NUSA TABUKAN~BUKIDE TIMUR
TAHUNA~NUSA TABUKAN~3~THA01~NUSA TABUKAN~NANEDAKELE
TAHUNA~NUSA TABUKAN~4~THA01~NUSA TABUKAN~NUSA
TAHUNA~TABUKAN SELATAN~1~THA01~TABUKAN SELATAN~BATUWINGKUNG
TAHUNA~TABUKAN SELATAN~2~THA01~TABUKAN SELATAN~BENTUNG
TAHUNA~TABUKAN SELATAN~3~THA01~TABUKAN SELATAN~BINEBAS
TAHUNA~TABUKAN SELATAN~4~THA01~TABUKAN SELATAN~BIRAHI
TAHUNA~TABUKAN SELATAN~5~THA01~TABUKAN SELATAN~BUKIDE
TAHUNA~TABUKAN SELATAN~6~THA01~TABUKAN SELATAN~LESABE
TAHUNA~TABUKAN SELATAN~7~THA01~TABUKAN SELATAN~MALAMENGGU
TAHUNA~TABUKAN SELATAN~8~THA01~TABUKAN SELATAN~MANDOI
TAHUNA~TABUKAN SELATAN~9~THA01~TABUKAN SELATAN~PALARENG
TAHUNA~TABUKAN SELATAN~10~THA01~TABUKAN SELATAN~SIMUENG
TAHUNA~TABUKAN SELATAN TENGAH~1~THA01~TABUKAN SELATAN TENGAH~BEENG
TAHUNA~TABUKAN SELATAN TENGAH~2~THA01~TABUKAN SELATAN TENGAH~BEENG LAUT
TAHUNA~TABUKAN SELATAN TENGAH~3~THA01~TABUKAN SELATAN TENGAH~BOWONE
TAHUNA~TABUKAN SELATAN TENGAH~4~THA01~TABUKAN SELATAN TENGAH~HANGKE
TAHUNA~TABUKAN SELATAN TENGAH~5~THA01~TABUKAN SELATAN TENGAH~LEHUPU
TAHUNA~TABUKAN SELATAN TENGAH~6~THA01~TABUKAN SELATAN TENGAH~SALURANG
TAHUNA~TABUKAN SELATAN TENGAH~7~THA01~TABUKAN SELATAN TENGAH~TAMBUNG
TAHUNA~TABUKAN SELATAN TENGAH~8~THA01~TABUKAN SELATAN TENGAH~BASAUH
TAHUNA~TABUKAN SELATAN TENGAH~9~THA01~TABUKAN SELATAN TENGAH~DALOKAWENG
TAHUNA~TABUKAN SELATAN TENGAH~10~THA01~TABUKAN SELATAN TENGAH~MALISADE
TAHUNA~TABUKAN SELATAN TENGAH~11~THA01~TABUKAN SELATAN TENGAH~PINTARENG
TAHUNA~TABUKAN SELATAN TENGAH~12~THA01~TABUKAN SELATAN TENGAH~SAMPAKANG
TAHUNA~TABUKAN SELATAN TENGAH~13~THA01~TABUKAN SELATAN TENGAH~TUMALEDE
TAHUNA~TABUKAN SELATAN TENGGARA~1~THA01~TABUKAN SELATAN TENGGARA~BASAUH
TAHUNA~TABUKAN SELATAN TENGGARA~2~THA01~TABUKAN SELATAN TENGGARA~DALOKAWENG
TAHUNA~TABUKAN SELATAN TENGGARA~3~THA01~TABUKAN SELATAN TENGGARA~MALISADE
TAHUNA~TABUKAN SELATAN TENGGARA~4~THA01~TABUKAN SELATAN TENGGARA~PINTARENG
TAHUNA~TABUKAN SELATAN TENGGARA~5~THA01~TABUKAN SELATAN TENGGARA~SAMPAKANG
TAHUNA~TABUKAN SELATAN TENGGARA~6~THA01~TABUKAN SELATAN TENGGARA~TUMALEDE
TAHUNA~TABUKAN TENGAH~1~THA01~TABUKAN TENGAH~ELURAHAN/DESA BIRA
TAHUNA~TABUKAN TENGAH~2~THA01~TABUKAN TENGAH~BIRU
TAHUNA~TABUKAN TENGAH~3~THA01~TABUKAN TENGAH~BOWONGKALI
TAHUNA~TABUKAN TENGAH~4~THA01~TABUKAN TENGAH~BUNGALAWANG
TAHUNA~TABUKAN TENGAH~5~THA01~TABUKAN TENGAH~GUNUNG
TAHUNA~TABUKAN TENGAH~6~THA01~TABUKAN TENGAH~KULUR I
TAHUNA~TABUKAN TENGAH~7~THA01~TABUKAN TENGAH~KULUR II
TAHUNA~TABUKAN TENGAH~8~THA01~TABUKAN TENGAH~KUMA
TAHUNA~TABUKAN TENGAH~9~THA01~TABUKAN TENGAH~MIULU
TAHUNA~TABUKAN TENGAH~10~THA01~TABUKAN TENGAH~PALAHANAENG
TAHUNA~TABUKAN TENGAH~11~THA01~TABUKAN TENGAH~RENDINGAN
TAHUNA~TABUKAN TENGAH~12~THA01~TABUKAN TENGAH~SENSONG
TAHUNA~TABUKAN TENGAH~13~THA01~TABUKAN TENGAH~TALENGEN
TAHUNA~TABUKAN TENGAH~14~THA01~TABUKAN TENGAH~TARIANGBARU
TAHUNA~TABUKAN TENGAH~15~THA01~TABUKAN TENGAH~TIMBELANG
TAHUNA~TABUKAN UTARA~1~THA01~TABUKAN UTARA~BAHU
TAHUNA~TABUKAN UTARA~2~THA01~TABUKAN UTARA~BEHA
TAHUNA~TABUKAN UTARA~3~THA01~TABUKAN UTARA~BENGKETANG
TAHUNA~TABUKAN UTARA~4~THA01~TABUKAN UTARA~BOWONGKULU
TAHUNA~TABUKAN UTARA~5~THA01~TABUKAN UTARA~KALASUGE
TAHUNA~TABUKAN UTARA~6~THA01~TABUKAN UTARA~KALEKUBE
TAHUNA~TABUKAN UTARA~7~THA01~TABUKAN UTARA~KALURAE
TAHUNA~TABUKAN UTARA~8~THA01~TABUKAN UTARA~LENGANENG
TAHUNA~TABUKAN UTARA~9~THA01~TABUKAN UTARA~MALA
TAHUNA~TABUKAN UTARA~10~THA01~TABUKAN UTARA~MARORE
TAHUNA~TABUKAN UTARA~11~THA01~TABUKAN UTARA~MOADE
TAHUNA~TABUKAN UTARA~12~THA01~TABUKAN UTARA~NAHA NAHASAHABE
TAHUNA~TABUKAN UTARA~13~THA01~TABUKAN UTARA~PETTA
TAHUNA~TABUKAN UTARA~14~THA01~TABUKAN UTARA~PUSUNGE
TAHUNA~TABUKAN UTARA~15~THA01~TABUKAN UTARA~TAROLANG
TAHUNA~TABUKAN UTARA~16~THA01~TABUKAN UTARA~TOLA
TAHUNA~TABUKAN UTARA~17~THA01~TABUKAN UTARA~UTAURANO
TAHUNA~TAHUNA~1~THA01~TAHUNA~APENG SEMBEKA
TAHUNA~TAHUNA~2~THA01~TAHUNA~BUNGALAWANG
TAHUNA~TAHUNA~3~THA01~TAHUNA~MANENTE
TAHUNA~TAHUNA~4~THA01~TAHUNA~SANTIAGO
TAHUNA~TAHUNA~5~THA01~TAHUNA~SAWANG BENDAR
TAHUNA~TAHUNA~6~THA01~TAHUNA~MAHENA
TAHUNA~TAHUNA~7~THA01~TAHUNA~SOATALOARA I
TAHUNA~TAHUNA~8~THA01~TAHUNA~SOATALOARA II
TAHUNA~TAHUNA BARAT~1~THA01~TAHUNA BARAT~PANANEKENG
TAHUNA~TAHUNA BARAT~2~THA01~TAHUNA BARAT~KOLONGAN BEHA BARU
TAHUNA~TAHUNA BARAT~3~THA01~TAHUNA BARAT~ANGGES
TAHUNA~TAHUNA BARAT~4~THA01~TAHUNA BARAT~KOLONGAN MITUNG
TAHUNA~TAHUNA BARAT~5~THA01~TAHUNA BARAT~AKEMBAWI
TAHUNA~TAHUNA BARAT~6~THA01~TAHUNA BARAT~KOLONGAN BEHA
TAHUNA~TAHUNA TIMUR~1~THA01~TAHUNA TIMUR~LESA
TAHUNA~TAHUNA TIMUR~2~THA01~TAHUNA TIMUR~BATULEWEHE
TAHUNA~TAHUNA TIMUR~3~THA01~TAHUNA TIMUR~TIDORE
TAHUNA~TAHUNA TIMUR~4~THA01~TAHUNA TIMUR~ENENGPAHEMBANG
TAHUNA~TAHUNA TIMUR~5~THA01~TAHUNA TIMUR~TAPUANG
TAHUNA~TAHUNA TIMUR~6~THA01~TAHUNA TIMUR~TONA I
TAHUNA~TAHUNA TIMUR~7~THA01~TAHUNA TIMUR~TONA II
TAHUNA~TAHUNA TIMUR~8~THA01~TAHUNA TIMUR~DUMUHUNG
TAHUNA~TAMAKO~1~THA01~TAMAKO~BALANE
TAHUNA~TAMAKO~2~THA01~TAMAKO~BEBU
TAHUNA~TAMAKO~3~THA01~TAMAKO~BINALA
TAHUNA~TAMAKO~4~THA01~TAMAKO~DAGHO
TAHUNA~TAMAKO~5~THA01~TAMAKO~KALAMA DARAT
TAHUNA~TAMAKO~6~THA01~TAMAKO~KALINDA
TAHUNA~TAMAKO~7~THA01~TAMAKO~LELIPANG
TAHUNA~TAMAKO~8~THA01~TAMAKO~MAHUMU
TAHUNA~TAMAKO~9~THA01~TAMAKO~MAKALAKUHE
TAHUNA~TAMAKO~10~THA01~TAMAKO~MENGGAWA
TAHUNA~TAMAKO~11~THA01~TAMAKO~MENGGAWA II
TAHUNA~TAMAKO~12~THA01~TAMAKO~NAGHA I SATU
TAHUNA~TAMAKO~13~THA01~TAMAKO~NAGHA II DUA
TAHUNA~TAMAKO~14~THA01~TAMAKO~PANANARU
TAHUNA~TAMAKO~15~THA01~TAMAKO~POKOL
TAHUNA~TAMAKO~16~THA01~TAMAKO~ULUNGPELIANG
TAHUNA~TATOARENG~1~THA01~TATOARENG~DALAKO BEMBANAHE
TAHUNA~TATOARENG~2~THA01~TATOARENG~KAHAKITANG
TAHUNA~TATOARENG~3~THA01~TATOARENG~KALAMA
TAHUNA~TATOARENG~4~THA01~TATOARENG~MAHENGGETANG MAHENGETANG
TAHUNA~TATOARENG~5~THA01~TATOARENG~PARA
TAHUNA~TATOARENG~6~THA01~TATOARENG~TALEKO BATUSAIKI
