GOWA~BAJENG~1~SGM01~BAJENG~BONE
GOWA~BAJENG~2~SGM01~BAJENG~BONTOSUNGGU
GOWA~BAJENG~3~SGM01~BAJENG~KALEBAJENG
GOWA~BAJENG~4~SGM01~BAJENG~KALEMANDALLE
GOWA~BAJENG~5~SGM01~BAJENG~LEMPANGANG
GOWA~BAJENG~6~SGM01~BAJENG~LIMBUNG
GOWA~BAJENG~7~SGM01~BAJENG~MACCINIBAJI
GOWA~BAJENG~8~SGM01~BAJENG~MARADEKAYA
GOWA~BAJENG~9~SGM01~BAJENG~MATA ALLO
GOWA~BAJENG~10~SGM01~BAJENG~PABENTENGAN
GOWA~BAJENG~11~SGM01~BAJENG~PANCIRO
GOWA~BAJENG~12~SGM01~BAJENG~PANYANGKALANG
GOWA~BAJENG~13~SGM01~BAJENG~PARAIKATE PARAIKATTE
GOWA~BAJENG~14~SGM01~BAJENG~TANGKEBAJENG
GOWA~BAJENG~15~SGM01~BAJENG~TUBAJENG
GOWA~BAJENG BARAT~1~SGM01~BAJENG BARAT~BONTOMANAI
GOWA~BAJENG BARAT~2~SGM01~BAJENG BARAT~BORIMATANGKASA
GOWA~BAJENG BARAT~3~SGM01~BAJENG BARAT~GENTUNGANG
GOWA~BAJENG BARAT~4~SGM01~BAJENG BARAT~KALEMANDALLE
GOWA~BAJENG BARAT~5~SGM01~BAJENG BARAT~MANDALLE MANDALE
GOWA~BAJENG BARAT~6~SGM01~BAJENG BARAT~MANJALLING
GOWA~BAJENG BARAT~7~SGM01~BAJENG BARAT~TANABANGKA
GOWA~BAROMBONG~1~SGM01~BAROMBONG~BENTENG SOMBA OPU
GOWA~BAROMBONG~2~SGM01~BAROMBONG~BIRINGNGALLA
GOWA~BAROMBONG~3~SGM01~BAROMBONG~KANJILO
GOWA~BAROMBONG~4~SGM01~BAROMBONG~LEMBANGPARANG
GOWA~BAROMBONG~5~SGM01~BAROMBONG~MONCOBALANG
GOWA~BAROMBONG~6~SGM01~BAROMBONG~TAMANNYELENG
GOWA~BAROMBONG~7~SGM01~BAROMBONG~TINGGIMAE
GOWA~BIRINGBULU~1~SGM01~BIRINGBULU~BATUMALONRO
GOWA~BIRINGBULU~2~SGM01~BIRINGBULU~BATURAPPE
GOWA~BIRINGBULU~3~SGM01~BIRINGBULU~BERUTALLASA
GOWA~BIRINGBULU~4~SGM01~BIRINGBULU~BORIMASUNGGU
GOWA~BIRINGBULU~5~SGM01~BIRINGBULU~JULUKANAYA
GOWA~BIRINGBULU~6~SGM01~BIRINGBULU~LAUWA
GOWA~BIRINGBULU~7~SGM01~BIRINGBULU~LEMBANGLOE
GOWA~BIRINGBULU~8~SGM01~BIRINGBULU~PARANGLOE
GOWA~BIRINGBULU~9~SGM01~BIRINGBULU~PENCONG
GOWA~BIRINGBULU~10~SGM01~BIRINGBULU~TARING
GOWA~BIRINGBULU~11~SGM01~BIRINGBULU~TONRORITA
GOWA~BONTOLEMPANGAN~1~SGM01~BONTOLEMPANGAN~BONTOLEMPANGAN
GOWA~BONTOLEMPANGAN~2~SGM01~BONTOLEMPANGAN~BONTOLOE
GOWA~BONTOLEMPANGAN~3~SGM01~BONTOLEMPANGAN~BONTOTANGNGA
GOWA~BONTOLEMPANGAN~4~SGM01~BONTOLEMPANGAN~JULUMATENE
GOWA~BONTOLEMPANGAN~5~SGM01~BONTOLEMPANGAN~LASSA LASSA
GOWA~BONTOLEMPANGAN~6~SGM01~BONTOLEMPANGAN~PALADINGANG
GOWA~BONTOLEMPANGAN~7~SGM01~BONTOLEMPANGAN~PARANG LAMPOA
GOWA~BONTOLEMPANGAN~8~SGM01~BONTOLEMPANGAN~ULUJANGAN
GOWA~BONTOMARANNU~1~SGM01~BONTOMARANNU~BILIBILI
GOWA~BONTOMARANNU~2~SGM01~BONTOMARANNU~BONTOMANAI
GOWA~BONTOMARANNU~3~SGM01~BONTOMARANNU~BORONGLOE
