SUWAWA~BONE~1~SUW01~BONE~BILOLANTUNA
SUWAWA~BONE~2~SUW01~BONE~ILOHUUWA
SUWAWA~BONE~3~SUW01~BONE~INOGALUMA
SUWAWA~BONE~4~SUW01~BONE~MASIAGA
SUWAWA~BONE~5~SUW01~BONE~MOLAMAHU
SUWAWA~BONE~6~SUW01~BONE~MONANO
SUWAWA~BONE~7~SUW01~BONE~MOODULIO
SUWAWA~BONE~8~SUW01~BONE~SOGITIA
SUWAWA~BONE~9~SUW01~BONE~TALUDAA
SUWAWA~BONE~10~SUW01~BONE~TUMBUH MEKAR
SUWAWA~BONE RAYA~1~SUW01~BONE RAYA~ALO
SUWAWA~BONE RAYA~2~SUW01~BONE RAYA~INOMATA
SUWAWA~BONE RAYA~3~SUW01~BONE RAYA~LAUT BIRU
SUWAWA~BONE RAYA~4~SUW01~BONE RAYA~MOOPIYA MOPUYA
SUWAWA~BONE RAYA~5~SUW01~BONE RAYA~MOOTAYU
SUWAWA~BONE RAYA~6~SUW01~BONE RAYA~MOOTINELO
SUWAWA~BONE RAYA~7~SUW01~BONE RAYA~PELITA JAYA
SUWAWA~BONE RAYA~8~SUW01~BONE RAYA~TOMBULILATO
SUWAWA~BONEPANTAI~1~SUW01~BONEPANTAI~BATU HIJAU
SUWAWA~BONEPANTAI~2~SUW01~BONEPANTAI~BILUNGALA
SUWAWA~BONEPANTAI~3~SUW01~BONEPANTAI~BILUNGALA UTARA
SUWAWA~BONEPANTAI~4~SUW01~BONEPANTAI~KEMIRI
SUWAWA~BONEPANTAI~5~SUW01~BONEPANTAI~LEMBAH HIJAU
SUWAWA~BONEPANTAI~6~SUW01~BONEPANTAI~OMBULO HIJAU
SUWAWA~BONEPANTAI~7~SUW01~BONEPANTAI~TAMBOO
SUWAWA~BONEPANTAI~8~SUW01~BONEPANTAI~TIHU
SUWAWA~BONEPANTAI~9~SUW01~BONEPANTAI~TOLOTIO
SUWAWA~BONEPANTAI~10~SUW01~BONEPANTAI~TONGO
SUWAWA~BONEPANTAI~11~SUW01~BONEPANTAI~TUNAS JAYA
SUWAWA~BONEPANTAI~12~SUW01~BONEPANTAI~UABANGA
SUWAWA~BOTU PINGGE~1~SUW01~BOTU PINGGE~BUATA
SUWAWA~BOTU PINGGE~2~SUW01~BOTU PINGGE~LUWOHU
SUWAWA~BOTU PINGGE~3~SUW01~BOTU PINGGE~PANGGULO
SUWAWA~BOTU PINGGE~4~SUW01~BOTU PINGGE~TANAH PUTIH
SUWAWA~BOTU PINGGE~5~SUW01~BOTU PINGGE~TIMBUOLO
SUWAWA~BOTU PINGGE~6~SUW01~BOTU PINGGE~TIMBUOLO TIMUR
SUWAWA~BULANGO TIMUR~1~SUW01~BULANGO TIMUR~BULOTALANGI
SUWAWA~BULANGO TIMUR~2~SUW01~BULANGO TIMUR~BULOTALANGI BARAT
SUWAWA~BULANGO TIMUR~3~SUW01~BULANGO TIMUR~BULOTALANGI TIMUR
SUWAWA~BULANGO TIMUR~4~SUW01~BULANGO TIMUR~POPODU
SUWAWA~BULANGO TIMUR~5~SUW01~BULANGO TIMUR~TOLUWAYA TULOA
SUWAWA~BULANGO ULU~1~SUW01~BULANGO ULU~ILOMATA
SUWAWA~BULANGO ULU~2~SUW01~BULANGO ULU~MONGIILO
SUWAWA~BULANGO ULU~3~SUW01~BULANGO ULU~MONGIILO UTARA
SUWAWA~BULANGO ULU~4~SUW01~BULANGO ULU~OWATA
SUWAWA~BULANGO ULU~5~SUW01~BULANGO ULU~PILOLAHEYA
SUWAWA~BULANGO ULU~6~SUW01~BULANGO ULU~SUKA MAKMUR
SUWAWA~BULANGO UTARA~1~SUW01~BULANGO UTARA~BANDUNGAN
SUWAWA~BULANGO UTARA~2~SUW01~BULANGO UTARA~BOIDU
SUWAWA~BULANGO UTARA~3~SUW01~BULANGO UTARA~BUNUO
SUWAWA~BULANGO UTARA~4~SUW01~BULANGO UTARA~KOPI
SUWAWA~BULANGO UTARA~5~SUW01~BULANGO UTARA~LOMAYA
SUWAWA~BULANGO UTARA~6~SUW01~BULANGO UTARA~LONGALO
SUWAWA~BULANGO UTARA~7~SUW01~BULANGO UTARA~SUKA DAMAI
SUWAWA~BULANGO UTARA~8~SUW01~BULANGO UTARA~TUPA
SUWAWA~BULAWA~1~SUW01~BULAWA~BUKIT HIJAU
SUWAWA~BULAWA~2~SUW01~BULAWA~KAIDUNDU
SUWAWA~BULAWA~3~SUW01~BULAWA~KAIDUNDU BARAT
SUWAWA~BULAWA~4~SUW01~BULAWA~MAMUNGAA
SUWAWA~BULAWA~5~SUW01~BULAWA~MAMUNGAA TIMUR
SUWAWA~BULAWA~6~SUW01~BULAWA~MOPUYA
SUWAWA~KABILA~1~SUW01~KABILA~DUTOHE
SUWAWA~KABILA~2~SUW01~KABILA~DUTOHE BARAT
SUWAWA~KABILA~3~SUW01~KABILA~OLUHUTA
