KONAWE~ABUKI~1~UNH01~ABUKI~ABUKI
KONAWE~ABUKI~2~UNH01~ABUKI~ALEUTI
KONAWE~ABUKI~3~UNH01~ABUKI~ALOSIKA
KONAWE~ABUKI~4~UNH01~ABUKI~ASOLU
KONAWE~ABUKI~5~UNH01~ABUKI~ATODOPI
KONAWE~ABUKI~6~UNH01~ABUKI~EPEEA/EPEEYA
KONAWE~ABUKI~7~UNH01~ABUKI~KUMAPO
KONAWE~ABUKI~8~UNH01~ABUKI~LANGGEA
KONAWE~ABUKI~9~UNH01~ABUKI~MATAHORI
KONAWE~ABUKI~10~UNH01~ABUKI~MATANGGORAI
KONAWE~ABUKI~11~UNH01~ABUKI~PADANG MEKAR
KONAWE~ABUKI~12~UNH01~ABUKI~PADANGGUNI
KONAWE~ABUKI~13~UNH01~ABUKI~PUNGGALUKU
KONAWE~ABUKI~14~UNH01~ABUKI~SAMBAOSU
KONAWE~ABUKI~15~UNH01~ABUKI~SAMBEANI
KONAWE~ABUKI~16~UNH01~ABUKI~UNAASI JAYA
KONAWE~ABUKI~17~UNH01~ABUKI~WALAY
KONAWE~AMONGGEDO~1~UNH01~AMONGGEDO~AMANDETE
KONAWE~AMONGGEDO~2~UNH01~AMONGGEDO~AMONGGEDO
KONAWE~AMONGGEDO~3~UNH01~AMONGGEDO~AMONGGEDO BARU
KONAWE~AMONGGEDO~4~UNH01~AMONGGEDO~ANAHINUNU
KONAWE~AMONGGEDO~5~UNH01~AMONGGEDO~BENUA
KONAWE~AMONGGEDO~6~UNH01~AMONGGEDO~DUNGGUA
KONAWE~AMONGGEDO~7~UNH01~AMONGGEDO~LALONONA
KONAWE~AMONGGEDO~8~UNH01~AMONGGEDO~MATA BURA
KONAWE~AMONGGEDO~9~UNH01~AMONGGEDO~MATA IWOI
KONAWE~AMONGGEDO~10~UNH01~AMONGGEDO~MENDIKONU
KONAWE~AMONGGEDO~11~UNH01~AMONGGEDO~PUASANA
KONAWE~AMONGGEDO~12~UNH01~AMONGGEDO~ULU BENUA
KONAWE~AMONGGEDO~13~UNH01~AMONGGEDO~WATULAWU
KONAWE~AMONGGEDO~14~UNH01~AMONGGEDO~WAWOHINE
KONAWE~ANGGABERI~1~UNH01~ANGGABERI~PARAUNA
