KAB.BIMA~AMBALAWI~1~WHO01~AMBALAWI~KOLE
KAB.BIMA~AMBALAWI~2~WHO01~AMBALAWI~MAWU
KAB.BIMA~AMBALAWI~3~WHO01~AMBALAWI~NIPA
KAB.BIMA~AMBALAWI~4~WHO01~AMBALAWI~RITE
KAB.BIMA~AMBALAWI~5~WHO01~AMBALAWI~TALAPITI
KAB.BIMA~AMBALAWI~6~WHO01~AMBALAWI~TOLOWATA
KAB.BIMA~BELO~1~WHO01~BELO~CENGGU
KAB.BIMA~BELO~2~WHO01~BELO~LIDO
KAB.BIMA~BELO~3~WHO01~BELO~NCERA
KAB.BIMA~BELO~4~WHO01~BELO~NGALI
KAB.BIMA~BELO~5~WHO01~BELO~RENDA
KAB.BIMA~BELO~6~WHO01~BELO~ROKA
KAB.BIMA~BELO~7~WHO01~BELO~RUNGGU
KAB.BIMA~BELO~8~WHO01~BELO~SOKI
KAB.BIMA~BOLO~1~WHO01~BOLO~BONTOKAPE
KAB.BIMA~BOLO~2~WHO01~BOLO~KANANGA
KAB.BIMA~BOLO~3~WHO01~BOLO~LEU
KAB.BIMA~BOLO~4~WHO01~BOLO~NGGEMBE
KAB.BIMA~BOLO~5~WHO01~BOLO~RADA
KAB.BIMA~BOLO~6~WHO01~BOLO~RASABOU
KAB.BIMA~BOLO~7~WHO01~BOLO~RATO
KAB.BIMA~BOLO~8~WHO01~BOLO~SANOLO
KAB.BIMA~BOLO~9~WHO01~BOLO~SONDOSIA
KAB.BIMA~BOLO~10~WHO01~BOLO~TAMBE
KAB.BIMA~BOLO~11~WHO01~BOLO~TIMU
KAB.BIMA~BOLO~12~WHO01~BOLO~TUMPU
KAB.BIMA~DONGGO~1~WHO01~DONGGO~BUMI PAJO
KAB.BIMA~DONGGO~2~WHO01~DONGGO~DORIDUNGGA
KAB.BIMA~DONGGO~3~WHO01~DONGGO~KALA
KAB.BIMA~DONGGO~4~WHO01~DONGGO~MBAWA
KAB.BIMA~DONGGO~5~WHO01~DONGGO~MPILI
KAB.BIMA~DONGGO~6~WHO01~DONGGO~O'O
KAB.BIMA~DONGGO~7~WHO01~DONGGO~PALAMA
KAB.BIMA~DONGGO~8~WHO01~DONGGO~RORA
KAB.BIMA~LAMBITU~1~WHO01~LAMBITU~KABORO KABARO
KAB.BIMA~LAMBITU~2~WHO01~LAMBITU~KAOWA
KAB.BIMA~LAMBITU~3~WHO01~LAMBITU~KUTA
KAB.BIMA~LAMBITU~4~WHO01~LAMBITU~SAMBORI
KAB.BIMA~LAMBITU~5~WHO01~LAMBITU~TETA
KAB.BIMA~LAMBU~1~WHO01~LAMBU~HIDIRASA
KAB.BIMA~LAMBU~2~WHO01~LAMBU~KALEO
KAB.BIMA~LAMBU~3~WHO01~LAMBU~LAMBU
KAB.BIMA~LAMBU~4~WHO01~LAMBU~LANTA
KAB.BIMA~LAMBU~5~WHO01~LAMBU~LAUTA BARAT
KAB.BIMA~LAMBU~6~WHO01~LAMBU~MANGGE
KAB.BIMA~LAMBU~7~WHO01~LAMBU~MELAYU
