BATAM~BATAM KOTA~1~BTH02~BATAM KOTA~BALOI PERMAI
BATAM~BATAM KOTA~2~BTH02~BATAM KOTA~BALOI
BATAM~BATAM KOTA~3~BTH02~BATAM KOTA~SUKAJADI
BATAM~BATAM KOTA~4~BTH02~BATAM KOTA~TAMAN BALOI
BATAM~BATAM KOTA~5~BTH02~BATAM KOTA~SUNGAI PANAS
BATAM~BATAM KOTA~6~BTH02~BATAM KOTA~TELUK TERING
BATAM~BATAM KOTA~7~BTH02~BATAM KOTA~BELIAN
BATAM~BATU AJI~1~BTH03~BATU AJI~KIBING
BATAM~BATU AJI~2~BTH03~BATU AJI~TANJUNG UCANG
BATAM~BATU AJI~3~BTH03~BATU AJI~BATU AJI
BATAM~BATU AJI~4~BTH03~BATU AJI~BUKIT TEMPAYAN
BATAM~BATU AJI~5~BTH03~BATU AJI~BULIANG
BATAM~BATU AMPAR~1~BTH01~BATU AMPAR~BUKIT SENYUM
BATAM~BATU AMPAR~2~BTH01~BATU AMPAR~BATU MERAH
BATAM~BATU AMPAR~3~BTH01~BATU AMPAR~SUNGAI JODOH
BATAM~BATU AMPAR~4~BTH01~BATU AMPAR~TANJUNG SENGKUANG
BATAM~BATU AMPAR~5~BTH01~BATU AMPAR~KAMPUNG SERAYA
BATAM~BATU AMPAR~6~BTH01~BATU AMPAR~HARAPAN BARU
BATAM~BATU AMPAR~7~BTH01~BATU AMPAR~BUKIT JODOH
BATAM~BELAKANG PADANG~1~BTH01~BELAKANG PADANG~BELAKANG PADANG
BATAM~BELAKANG PADANG~2~BTH01~BELAKANG PADANG~PEMPING
BATAM~BELAKANG PADANG~3~BTH01~BELAKANG PADANG~KASU
BATAM~BELAKANG PADANG~4~BTH01~BELAKANG PADANG~PECONG
BATAM~BELAKANG PADANG~5~BTH01~BELAKANG PADANG~PULAU TERONG
BATAM~BELAKANG PADANG~6~BTH01~BELAKANG PADANG~SEKANAK RAYA
BATAM~BELAKANG PADANG~7~BTH01~BELAKANG PADANG~TANJUNG SARI
BATAM~BENGKONG~1~BTH01~BENGKONG~SADAI
BATAM~BENGKONG~2~BTH01~BENGKONG~TANJUNG BUNTUNG
BATAM~BENGKONG~3~BTH01~BENGKONG~BENGKONG HARAPAN
BATAM~BENGKONG~4~BTH01~BENGKONG~BENGKONG INDAH
BATAM~BENGKONG~5~BTH01~BENGKONG~BENGKONG LAUT
BATAM~BULANG~1~BTH02~BULANG~BULANG LINTANG
BATAM~BULANG~2~BTH02~BULANG~PULAU BULUH
BATAM~BULANG~3~BTH02~BULANG~PANTAI GELAM
BATAM~BULANG~4~BTH02~BULANG~BATU LEGONG
BATAM~BULANG~5~BTH02~BULANG~TEMOYONG
BATAM~BULANG~6~BTH02~BULANG~PULAU SETOKOK
BATAM~GALANG~1~BTH01~GALANG~SEMBULANG PULAU REMPANG
BATAM~GALANG~2~BTH01~GALANG~REMPANG CATE
BATAM~GALANG~3~BTH01~GALANG~AIR RAJA
BATAM~GALANG~4~BTH01~GALANG~SUBANG MAS
BATAM~GALANG~5~BTH01~GALANG~GALANG BARU PULAU
BATAM~GALANG~6~BTH01~GALANG~SIJANTUNG
BATAM~GALANG~7~BTH01~GALANG~KARAS PULAU KARAS
BATAM~GALANG~8~BTH01~GALANG~PULAU ABANG
BATAM~GALANG~9~BTH02~GALANG~SEMBULANG PULAU REMPANG
BATAM~GALANG~10~BTH02~GALANG~REMPANG CATE
BATAM~GALANG~11~BTH02~GALANG~AIR RAJA
BATAM~GALANG~12~BTH02~GALANG~SUBANG MAS
BATAM~GALANG~13~BTH02~GALANG~GALANG BARU PULAU
BATAM~GALANG~14~BTH02~GALANG~SIJANTUNG
BATAM~GALANG~15~BTH02~GALANG~KARAS PULAU KARAS
BATAM~GALANG~16~BTH02~GALANG~PULAU ABANG
BATAM~LUBUK BAJA~1~BTH01~LUBUK BAJA~BALOI INDAH
BATAM~LUBUK BAJA~2~BTH01~LUBUK BAJA~BATU SELICIN
BATAM~LUBUK BAJA~3~BTH01~LUBUK BAJA~PANGKALAN PETAI
BATAM~LUBUK BAJA~4~BTH01~LUBUK BAJA~KAMPUNG PELITA
BATAM~LUBUK BAJA~5~BTH01~LUBUK BAJA~LUBUK BAJA KOTA
BATAM~LUBUK BAJA~6~BTH01~LUBUK BAJA~TANJUNG UMA
BATAM~NONGSA~1~BTH02~NONGSA~NONGSA
BATAM~NONGSA~2~BTH02~NONGSA~SAMBAU
BATAM~NONGSA~3~BTH02~NONGSA~BATU BESAR
BATAM~NONGSA~4~BTH02~NONGSA~KABIL
BATAM~NONGSA~5~BTH02~NONGSA~NGENANG
BATAM~SAGULUNG~1~BTH02~SAGULUNG~SAGULUNG KOTA
BATAM~SAGULUNG~2~BTH02~SAGULUNG~SUNGAI BINTI
BATAM~SAGULUNG~3~BTH02~SAGULUNG~SUNGAI LANGKAI
BATAM~SAGULUNG~4~BTH02~SAGULUNG~SUNGAI LEKOP
BATAM~SAGULUNG~5~BTH02~SAGULUNG~SUNGAI PELENGGUT
BATAM~SAGULUNG~6~BTH02~SAGULUNG~TEMBESI
BATAM~SEKUPANG~1~BTH01~SEKUPANG~TIBAN ASRI
BATAM~SEKUPANG~2~BTH01~SEKUPANG~TANJUNG RIAU
BATAM~SEKUPANG~3~BTH01~SEKUPANG~TIBAN LAMA
BATAM~SEKUPANG~4~BTH01~SEKUPANG~TIBAN BARU
BATAM~SEKUPANG~5~BTH01~SEKUPANG~TIBAN INDAH
BATAM~SEKUPANG~6~BTH01~SEKUPANG~PATAM LESTARI
BATAM~SEKUPANG~7~BTH01~SEKUPANG~SUNGAI HARAPAN
BATAM~SEKUPANG~8~BTH01~SEKUPANG~TANJUNG PINGGIR
BATAM~SUNGAI BEDUK~1~BTH02~SUNGAI BEDUK~MUKA KUNING
BATAM~SUNGAI BEDUK~2~BTH02~SUNGAI BEDUK~DURIANGKA
BATAM~SUNGAI BEDUK~3~BTH02~SUNGAI BEDUK~MANGSANG
BATAM~SUNGAI BEDUK~4~BTH02~SUNGAI BEDUK~TANJUNG PIAYU
