CALANG~JAYA~1~CLG01~JAYA~ALUE MIE
CALANG~JAYA~2~CLG01~JAYA~ALUE RAYEUK
CALANG~JAYA~3~CLG01~JAYA~BABAH DUA
CALANG~JAYA~4~CLG01~JAYA~BABAH IE
CALANG~JAYA~5~CLG01~JAYA~BABAH KRUENG
CALANG~JAYA~6~CLG01~JAYA~BAK PAOH
CALANG~JAYA~7~CLG01~JAYA~CEUNAMPRONG
CALANG~JAYA~8~CLG01~JAYA~COT DULANG
CALANG~JAYA~9~CLG01~JAYA~DARAT
CALANG~JAYA~10~CLG01~JAYA~GAMPONG BARO
CALANG~JAYA~11~CLG01~JAYA~GLE JONG
CALANG~JAYA~12~CLG01~JAYA~GLE PUTOH
CALANG~JAYA~13~CLG01~JAYA~JAMBO MASI
CALANG~JAYA~14~CLG01~JAYA~JANGEUT
CALANG~JAYA~15~CLG01~JAYA~KARENG ATEUH
CALANG~JAYA~16~CLG01~JAYA~KEUDE UNGA
CALANG~JAYA~17~CLG01~JAYA~KRUENG TUNONG
CALANG~JAYA~18~CLG01~JAYA~KUALA
CALANG~JAYA~19~CLG01~JAYA~LAM DURIAN
CALANG~JAYA~20~CLG01~JAYA~LAMASAN
CALANG~JAYA~21~CLG01~JAYA~LAMBAROH
CALANG~JAYA~22~CLG01~JAYA~LAMME
CALANG~JAYA~23~CLG01~JAYA~LAMTUI
CALANG~JAYA~24~CLG01~JAYA~LEUPE
CALANG~JAYA~25~CLG01~JAYA~LHUET
CALANG~JAYA~26~CLG01~JAYA~MAREU
CALANG~JAYA~27~CLG01~JAYA~MEUDANG GHON
CALANG~JAYA~28~CLG01~JAYA~MEUDHEUN
CALANG~JAYA~29~CLG01~JAYA~MEUNASAH RAYEUK
CALANG~JAYA~30~CLG01~JAYA~MEUNASAH TEUNGOH
CALANG~JAYA~31~CLG01~JAYA~MEUNASAH TUTONG
CALANG~JAYA~32~CLG01~JAYA~MEUNASAH WEH
CALANG~JAYA~33~CLG01~JAYA~MEUTARA
CALANG~JAYA~34~CLG01~JAYA~MUKHAN
CALANG~JAYA~35~CLG01~JAYA~NUSA
CALANG~JAYA~36~CLG01~JAYA~PANTE CERMIN
CALANG~JAYA~37~CLG01~JAYA~PANTE KEUTAPANG
CALANG~JAYA~38~CLG01~JAYA~PANTON MAKMUR
CALANG~JAYA~39~CLG01~JAYA~PASAR LAMNO
CALANG~JAYA~40~CLG01~JAYA~PUTUE
CALANG~JAYA~41~CLG01~JAYA~RUMPET
CALANG~JAYA~42~CLG01~JAYA~SABET
CALANG~JAYA~43~CLG01~JAYA~SANGO
CALANG~JAYA~44~CLG01~JAYA~SAPEK
CALANG~JAYA~45~CLG01~JAYA~SEUREUBA
CALANG~JAYA~46~CLG01~JAYA~TEUMAREUM
CALANG~JAYA~47~CLG01~JAYA~UJONG MULOH
CALANG~JAYA~48~CLG01~JAYA~UJONG SUDEUN
CALANG~KEUDE PANGA~1~CLG01~KEUDE PANGA~ALUE ABET
CALANG~KEUDE PANGA~2~CLG01~KEUDE PANGA~ALUE PANDE
CALANG~KEUDE PANGA~3~CLG01~KEUDE PANGA~ALUE RAYA
CALANG~KEUDE PANGA~4~CLG01~KEUDE PANGA~ALUE TEUNGOH
CALANG~KEUDE PANGA~5~CLG01~KEUDE PANGA~BABAH CEUPAN
CALANG~KEUDE PANGA~6~CLG01~KEUDE PANGA~BATEE MEUTUDONG
CALANG~KEUDE PANGA~7~CLG01~KEUDE PANGA~GAMPONG HARAPAN
CALANG~KEUDE PANGA~8~CLG01~KEUDE PANGA~GLE PUTOH
CALANG~KEUDE PANGA~9~CLG01~KEUDE PANGA~GUNONG BULOH
CALANG~KEUDE PANGA~10~CLG01~KEUDE PANGA~GUNONG MUNTOK
CALANG~KEUDE PANGA~11~CLG01~KEUDE PANGA~GUNONG MEULINTEUNG
CALANG~KEUDE PANGA~12~CLG01~KEUDE PANGA~KEUDE PANGA
CALANG~KEUDE PANGA~13~CLG01~KEUDE PANGA~KUTA TUHA
CALANG~KEUDE PANGA~14~CLG01~KEUDE PANGA~LADANG BARO
CALANG~KEUDE PANGA~15~CLG01~KEUDE PANGA~PANTON KABU
CALANG~KEUDE PANGA~16~CLG01~KEUDE PANGA~PANTON KRUENG
CALANG~KEUDE PANGA~17~CLG01~KEUDE PANGA~TUWI EMPEUK
CALANG~KEUDE PANGA~18~CLG01~KEUDE PANGA~TUWI KAREUNG PANGA
CALANG~KEUDE PANGA~19~CLG01~KEUDE PANGA~TUEWI KAYEE
CALANG~KRUENG SABEE~1~CLG01~KRUENG SABEE~ALUE THO
CALANG~KRUENG SABEE~2~CLG01~KRUENG SABEE~BAHAGIA
CALANG~KRUENG SABEE~3~CLG01~KRUENG SABEE~BUNTHA
CALANG~KRUENG SABEE~4~CLG01~KRUENG SABEE~CUREK
CALANG~KRUENG SABEE~5~CLG01~KRUENG SABEE~DATAR LUAS
CALANG~KRUENG SABEE~6~CLG01~KRUENG SABEE~DAYAH BARO
CALANG~KRUENG SABEE~7~CLG01~KRUENG SABEE~KABONG
CALANG~KRUENG SABEE~8~CLG01~KRUENG SABEE~KAMPUNG BLANG
CALANG~KRUENG SABEE~9~CLG01~KRUENG SABEE~KEUDE KRUENG SABEE
CALANG~KRUENG SABEE~10~CLG01~KRUENG SABEE~KEUTAPANG
CALANG~KRUENG SABEE~11~CLG01~KRUENG SABEE~MON MATA
CALANG~KRUENG SABEE~12~CLG01~KRUENG SABEE~PADANG DATAR
CALANG~KRUENG SABEE~13~CLG01~KRUENG SABEE~PANGGONG
CALANG~KRUENG SABEE~14~CLG01~KRUENG SABEE~PANTON MAKMUR
CALANG~KRUENG SABEE~15~CLG01~KRUENG SABEE~PAYA SEUMANTOK
CALANG~KRUENG SABEE~16~CLG01~KRUENG SABEE~RANTO [PANYANG
CALANG~KRUENG SABEE~17~CLG01~KRUENG SABEE~SENTOSA
CALANG~SAMPOINIET~1~CLG01~SAMPOINIET~ALUE GAJAH
CALANG~SAMPOINIET~2~CLG01~SAMPOINIET~ALUE GRO
CALANG~SAMPOINIET~3~CLG01~SAMPOINIET~ARONGAN
CALANG~SAMPOINIET~4~CLG01~SAMPOINIET~BABAH DUA
CALANG~SAMPOINIET~5~CLG01~SAMPOINIET~BABAH NIPAH
CALANG~SAMPOINIET~6~CLG01~SAMPOINIET~BABAH DALAM
CALANG~SAMPOINIET~7~CLG01~SAMPOINIET~BLANG LUAH
CALANG~SAMPOINIET~8~CLG01~SAMPOINIET~BLANG MONLUNG
CALANG~SAMPOINIET~9~CLG01~SAMPOINIET~COT LANGSAT
CALANG~SAMPOINIET~10~CLG01~SAMPOINIET~COT PANGE
CALANG~SAMPOINIET~11~CLG01~SAMPOINIET~COT PUNTI
CALANG~SAMPOINIET~12~CLG01~SAMPOINIET~CRAK MONG
CALANG~SAMPOINIET~13~CLG01~SAMPOINIET~GAMPONG BARO L
CALANG~SAMPOINIET~14~CLG01~SAMPOINIET~GAMPONG BARO P
CALANG~SAMPOINIET~15~CLG01~SAMPOINIET~GUNUNG CUT
CALANG~SAMPOINIET~16~CLG01~SAMPOINIET~IE JEUREUNGAH
CALANG~SAMPOINIET~17~CLG01~SAMPOINIET~JEUMPHEUK
CALANG~SAMPOINIET~18~CLG01~SAMPOINIET~KRUENG AYON
CALANG~SAMPOINIET~19~CLG01~SAMPOINIET~KRUENG NO
CALANG~SAMPOINIET~20~CLG01~SAMPOINIET~KRUENG THO
CALANG~SAMPOINIET~21~CLG01~SAMPOINIET~KUALA BAKONG
