TAMBRAUW~ABUN~1~FEF01~ABUN~SAUBEBA
TAMBRAUW~ABUN~2~FEF01~ABUN~WAIBEM WAIBEN
TAMBRAUW~ABUN~3~FEF01~ABUN~WARMANDI
TAMBRAUW~ABUN~4~FEF01~ABUN~WAU
TAMBRAUW~AMBERBAKEN~1~FEF01~AMBERBAKEN~BONDOPI
TAMBRAUW~AMBERBAKEN~2~FEF01~AMBERBAKEN~MANGGANEK ARUPI
TAMBRAUW~AMBERBAKEN~3~FEF01~AMBERBAKEN~SASUY SASUI
TAMBRAUW~AMBERBAKEN~4~FEF01~AMBERBAKEN~SERAYO
TAMBRAUW~AMBERBAKEN~5~FEF01~AMBERBAKEN~SOUKOREM SAUKOREM
TAMBRAUW~AMBERBAKEN~6~FEF01~AMBERBAKEN~WASARAK
TAMBRAUW~AMBERBAKEN~7~FEF01~AMBERBAKEN~WEFIANI
TAMBRAUW~BIKAR~1~FEF01~BIKAR~BIKAR
TAMBRAUW~BIKAR~2~FEF01~BIKAR~WERUR
TAMBRAUW~BIKAR~3~FEF01~BIKAR~WERBES
TAMBRAUW~BIKAR~4~FEF01~BIKAR~WERTAM
TAMBRAUW~BIKAR~5~FEF01~BIKAR~WERTIM
TAMBRAUW~BIKAR~6~FEF01~BIKAR~WERWAF
TAMBRAUW~BIKAR~7~FEF01~BIKAR~BUKIT
TAMBRAUW~BIKAR~8~FEF01~BIKAR~NOMBRAK
TAMBRAUW~BIKAR~9~FEF01~BIKAR~SYUNAI
TAMBRAUW~BIKAR~10~FEF01~BIKAR~SUYAM
TAMBRAUW~FEF~1~FEF01~FEF~ASES
TAMBRAUW~FEF~2~FEF01~FEF~FEF PEEF
TAMBRAUW~FEF~3~FEF01~FEF~SYUJAK SUJAK
TAMBRAUW~FEF~4~FEF01~FEF~WAYO
TAMBRAUW~KEBAR~1~FEF01~KEBAR~AJAMI
TAMBRAUW~KEBAR~2~FEF01~KEBAR~AKMURI
TAMBRAUW~KEBAR~3~FEF01~KEBAR~ANJAI
TAMBRAUW~KEBAR~4~FEF01~KEBAR~ATAY ATAI
TAMBRAUW~KEBAR~5~FEF01~KEBAR~IBUANARI INAMBUARI
TAMBRAUW~KEBAR~6~FEF01~KEBAR~INAM
TAMBRAUW~KEBAR~7~FEF01~KEBAR~JANDURAU
TAMBRAUW~KEBAR~8~FEF01~KEBAR~KEBAR BARAT
TAMBRAUW~KEBAR~9~FEF01~KEBAR~KEBAR TIMUR
TAMBRAUW~KEBAR~10~FEF01~KEBAR~NEKORI
TAMBRAUW~KWOOR~1~FEF01~KWOOR~BATDE (BADDEI)
TAMBRAUW~KWOOR~2~FEF01~KWOOR~HOPMARE
TAMBRAUW~KWOOR~3~FEF01~KWOOR~KRANFOTSU
TAMBRAUW~KWOOR~4~FEF01~KWOOR~KRISNOS
TAMBRAUW~KWOOR~5~FEF01~KWOOR~KWESEFO (KOSEFA)
TAMBRAUW~KWOOR~6~FEF01~KWOOR~KWOOR
TAMBRAUW~KWOOR~7~FEF01~KWOOR~SYUAU
TAMBRAUW~KWOOR~8~FEF01~KWOOR~SYUKWES
TAMBRAUW~KWOOR~9~FEF01~KWOOR~SYUMBAB
TAMBRAUW~MIYAH~1~FEF01~MIYAH~AIBOGIAR
