NABIRE~MAKIMI~1~NBX01~MAKIMI~BIHA
NABIRE~MAKIMI~2~NBX01~MAKIMI~LEGARI JAYA
NABIRE~MAKIMI~3~NBX01~MAKIMI~MAIDEI
NABIRE~MAKIMI~4~NBX01~MAKIMI~MAKIMI
NABIRE~MAKIMI~5~NBX01~MAKIMI~MANUNGGAL JAYA
NABIRE~MAKIMI~6~NBX01~MAKIMI~NIFASI
NABIRE~NABIRE BARAT~1~NBX01~NABIRE BARAT~BUMI RAYA
NABIRE~NABIRE BARAT~2~NBX01~NABIRE BARAT~GERBANG SADU
NABIRE~NABIRE BARAT~3~NBX01~NABIRE BARAT~KALISENTEN
NABIRE~NABIRE BARAT~4~NBX01~NABIRE BARAT~WADIO
NABIRE~NABIRE BARAT~5~NBX01~NABIRE BARAT~WAROKI
NABIRE~NABIRE KOTA~1~NBX01~NABIRE KOTA~KALI HARAPAN
NABIRE~NABIRE KOTA~2~NBX01~NABIRE KOTA~KALI SUSU
NABIRE~NABIRE KOTA~3~NBX01~NABIRE KOTA~MORGO
NABIRE~NABIRE KOTA~4~NBX01~NABIRE KOTA~KARANG TUMARITIS
NABIRE~NABIRE KOTA~5~NBX01~NABIRE KOTA~BUMI WONEREJO
NABIRE~NABIRE KOTA~6~NBX01~NABIRE KOTA~GIRIMULYO
NABIRE~NABIRE KOTA~7~NBX01~NABIRE KOTA~KARANG MULYA
NABIRE~NABIRE KOTA~8~NBX01~NABIRE KOTA~OYEHE
NABIRE~NABIRE KOTA~9~NBX01~NABIRE KOTA~NABARWA
NABIRE~NABIRE KOTA~10~NBX01~NABIRE KOTA~KALI BOBO
NABIRE~NABIRE KOTA~11~NBX01~NABIRE KOTA~SANOBA
NABIRE~NABIRE KOTA~12~NBX01~NABIRE KOTA~SIRIWINI
NABIRE~NAPAN~1~NBX01~NAPAN~ARUI
NABIRE~NAPAN~2~NBX01~NAPAN~HARITI
NABIRE~NAPAN~3~NBX01~NAPAN~KAMA
NABIRE~NAPAN~4~NBX01~NAPAN~MAMBOR
NABIRE~NAPAN~5~NBX01~NAPAN~MASIPAWA
NABIRE~NAPAN~6~NBX01~NAPAN~MOOR
NABIRE~NAPAN~7~NBX01~NAPAN~NAPAN
NABIRE~NAPAN~8~NBX01~NAPAN~WEINAMI
NABIRE~SIRIWO~1~NBX01~SIRIWO~AIBORE
NABIRE~SIRIWO~2~NBX01~SIRIWO~EPOMANI
NABIRE~SIRIWO~3~NBX01~SIRIWO~MABUA MABOU
NABIRE~SIRIWO~4~NBX01~SIRIWO~SIRIWO UNIPO
NABIRE~SIRIWO~5~NBX01~SIRIWO~TIBAI
NABIRE~SIRIWO~6~NBX01~SIRIWO~UGIDA
NABIRE~TELUK KIMI~1~NBX01~TELUK KIMI~AIR MANDIDI
NABIRE~TELUK KIMI~2~NBX01~TELUK KIMI~KIMI
NABIRE~TELUK KIMI~3~NBX01~TELUK KIMI~LANI
NABIRE~TELUK KIMI~4~NBX01~TELUK KIMI~SAMABUSA
NABIRE~TELUK KIMI~5~NBX01~TELUK KIMI~WAHARIA
NABIRE~TELUK UMAR~1~NBX01~TELUK UMAR~BAWEI
NABIRE~TELUK UMAR~2~NBX01~TELUK UMAR~GONI
NABIRE~TELUK UMAR~3~NBX01~TELUK UMAR~NAPAN YAUR
NABIRE~TELUK UMAR~4~NBX01~TELUK UMAR~YERETUAR
NABIRE~UWAPA~1~NBX01~UWAPA~ARGOMULYO
NABIRE~UWAPA~2~NBX01~UWAPA~DIKIA DIKIYA
NABIRE~UWAPA~3~NBX01~UWAPA~EPOUWA EPOWA
NABIRE~UWAPA~4~NBX01~UWAPA~GAMEI JAYA
NABIRE~UWAPA~5~NBX01~UWAPA~JAINOA
NABIRE~UWAPA~6~NBX01~UWAPA~JIGIKEBO
NABIRE~UWAPA~7~NBX01~UWAPA~KUNUPI OBAIPOTO
