PALOPO~BARA~1~PLP01~BARA~BALANDAI
PALOPO~BARA~2~PLP01~BARA~BUNTU DATU
PALOPO~BARA~3~PLP01~BARA~RAMPOANG
PALOPO~BARA~4~PLP01~BARA~TEMMALEBBA
PALOPO~BARA~5~PLP01~BARA~TOBULUNG
PALOPO~MUNGKAJANG~1~PLP01~MUNGKAJANG~LATUPPA
PALOPO~MUNGKAJANG~2~PLP01~MUNGKAJANG~MUNGKAJANG
PALOPO~MUNGKAJANG~3~PLP01~MUNGKAJANG~MURANTE
PALOPO~MUNGKAJANG~4~PLP01~MUNGKAJANG~KAMBO
PALOPO~SENDANA~1~PLP01~SENDANA~MAWA
PALOPO~SENDANA~2~PLP01~SENDANA~PETA
PALOPO~SENDANA~3~PLP01~SENDANA~PURANGI
PALOPO~SENDANA~4~PLP01~SENDANA~SENDANA
PALOPO~TELLUWANUA~1~PLP01~TELLUWANUA~BATU WALENRENG
PALOPO~TELLUWANUA~2~PLP01~TELLUWANUA~JAYA
PALOPO~TELLUWANUA~3~PLP01~TELLUWANUA~MACCANI
PALOPO~TELLUWANUA~4~PLP01~TELLUWANUA~MAROANGIN
PALOPO~TELLUWANUA~5~PLP01~TELLUWANUA~PETONJANGAN
PALOPO~TELLUWANUA~6~PLP01~TELLUWANUA~SALUBATTANG
PALOPO~TELLUWANUA~7~PLP01~TELLUWANUA~SUMARAMBU
PALOPO~WARA~1~PLP01~WARA~DANGEREKKO
PALOPO~WARA~2~PLP01~WARA~LAGALIGO
PALOPO~WARA~3~PLP01~WARA~PAJALESANG (PANJELESANG)
PALOPO~WARA~4~PLP01~WARA~SURUTANGA
PALOPO~WARA~5~PLP01~WARA~TOMPO TIKKA
PALOPO~WARA~6~PLP01~WARA~AMASSANGAN
PALOPO~WARA~7~PLP01~WARA~BOTING
PALOPO~WARA  BARAT~1~PLP01~WARA BARAT~BATTANG BARU
PALOPO~WARA  BARAT~2~PLP01~WARA BARAT~LEBANG
PALOPO~WARA  BARAT~3~PLP01~WARA BARAT~PADANG LAMBE
PALOPO~WARA  BARAT~4~PLP01~WARA BARAT~TOMARUNDUNG
PALOPO~WARA  BARAT~5~PLP01~WARA BARAT~BATTANG
PALOPO~WARA SELATAN~1~PLP01~WARA SELATAN~TAKKALALA (KODEPOS : 91926)
PALOPO~WARA SELATAN~2~PLP01~WARA SELATAN~BINTURU
PALOPO~WARA SELATAN~3~PLP01~WARA SELATAN~SAMPODDO
PALOPO~WARA SELATAN~4~PLP01~WARA SELATAN~SONGKA
PALOPO~WARA TIMUR~1~PLP01~WARA TIMUR~BENTENG
PALOPO~WARA TIMUR~2~PLP01~WARA TIMUR~MALATUNTUNG (MALATUNRUNG)
PALOPO~WARA TIMUR~3~PLP01~WARA TIMUR~PONJALAE
PALOPO~WARA TIMUR~4~PLP01~WARA TIMUR~PONTAP
PALOPO~WARA TIMUR~5~PLP01~WARA TIMUR~SALEKOE
PALOPO~WARA TIMUR~6~PLP01~WARA TIMUR~SALOTELLUE
PALOPO~WARA TIMUR~7~PLP01~WARA TIMUR~SARUTANGA
PALOPO~WARA UTARA~1~PLP01~WARA UTARA~BATUPASI
PALOPO~WARA UTARA~2~PLP01~WARA UTARA~SALOBULO
PALOPO~WARA UTARA~3~PLP01~WARA UTARA~LUMINDA
PALOPO~WARA UTARA~4~PLP01~WARA UTARA~PATTE'NE
PALOPO~WARA UTARA~5~PLP01~WARA UTARA~SABBAMPARU (SAABBANG BARU)
PALOPO~WARA UTARA~6~PLP01~WARA UTARA~PENGGOLI
