KUPANG~AMFOANG SELATAN~5~KOE01~AMFOANG SELATAN~FATUMONAS
KUPANG~AMFOANG SELATAN~6~KOE01~AMFOANG SELATAN~FATUSUKI
KUPANG~AMFOANG SELATAN~7~KOE01~AMFOANG SELATAN~LELOBOKO
KUPANG~AMFOANG SELATAN~8~KOE01~AMFOANG SELATAN~LELOGAMA
KUPANG~AMFOANG SELATAN~9~KOE01~AMFOANG SELATAN~OELBANU
KUPANG~AMFOANG SELATAN~10~KOE01~AMFOANG SELATAN~OHAEM
KUPANG~AMFOANG TIMUR~1~KOE01~AMFOANG TIMUR~KIFU
KUPANG~AMFOANG TIMUR~2~KOE01~AMFOANG TIMUR~NETEMNANU SELATAN NATUMMANU
KUPANG~AMFOANG TIMUR~3~KOE01~AMFOANG TIMUR~NETEMNANU UTARA NATUMMANU
KUPANG~AMFOANG TIMUR~4~KOE01~AMFOANG TIMUR~NUNUANAH
KUPANG~AMFOANG UTARA~1~KOE01~AMFOANG UTARA~AFOAN
KUPANG~AMFOANG UTARA~2~KOE01~AMFOANG UTARA~BAKUIN
KUPANG~AMFOANG UTARA~3~KOE01~AMFOANG UTARA~FATUNAUS
KUPANG~AMFOANG UTARA~4~KOE01~AMFOANG UTARA~KOLABE
KUPANG~AMFOANG UTARA~5~KOE01~AMFOANG UTARA~NAIKLIU
KUPANG~FATULEU~1~KOE01~FATULEU~CAMPLONG I
KUPANG~FATULEU~2~KOE01~FATULEU~CAMPLONG II
KUPANG~FATULEU~3~KOE01~FATULEU~EKATETA
KUPANG~FATULEU~4~KOE01~FATULEU~KIUONI
KUPANG~FATULEU~5~KOE01~FATULEU~KUIMASI
KUPANG~FATULEU~6~KOE01~FATULEU~NAUNU
KUPANG~FATULEU~7~KOE01~FATULEU~OEBOLA
KUPANG~FATULEU~8~KOE01~FATULEU~OEBOLA DALAM
KUPANG~FATULEU~9~KOE01~FATULEU~SILLU
KUPANG~FATULEU~10~KOE01~FATULEU~TULNAKU
KUPANG~FATULEU BARAT~1~KOE01~FATULEU BARAT~KALALI
KUPANG~FATULEU BARAT~2~KOE01~FATULEU BARAT~NAITAE
KUPANG~FATULEU BARAT~3~KOE01~FATULEU BARAT~NUATAUS
KUPANG~FATULEU BARAT~4~KOE01~FATULEU BARAT~POTO
KUPANG~FATULEU BARAT~5~KOE01~FATULEU BARAT~TUAKAU
KUPANG~FATULEU TENGAH~1~KOE01~FATULEU TENGAH~NONBAUN
KUPANG~FATULEU TENGAH~2~KOE01~FATULEU TENGAH~NUNSAEN
KUPANG~FATULEU TENGAH~3~KOE01~FATULEU TENGAH~OELBITENO
KUPANG~FATULEU TENGAH~4~KOE01~FATULEU TENGAH~PASSI
KUPANG~KELAPA LIMA~1~KOE01~KELAPA LIMA~BONIPOI
KUPANG~KELAPA LIMA~2~KOE01~KELAPA LIMA~LAHILAI BISSI KOPAN
KUPANG~KELAPA LIMA~3~KOE01~KELAPA LIMA~MERDEKA
KUPANG~KELAPA LIMA~4~KOE01~KELAPA LIMA~FATUBESI
KUPANG~KELAPA LIMA~5~KOE01~KELAPA LIMA~OEBA
KUPANG~KELAPA LIMA~6~KOE01~KELAPA LIMA~PASIR PANJANG
KUPANG~KELAPA LIMA~7~KOE01~KELAPA LIMA~KELAPA LIMA
KUPANG~KELAPA LIMA~8~KOE01~KELAPA LIMA~LASIANA
KUPANG~KELAPA LIMA~9~KOE01~KELAPA LIMA~OESAPA
KUPANG~KELAPA LIMA~10~KOE01~KELAPA LIMA~OESAPA BARAT
KUPANG~KELAPA LIMA~11~KOE01~KELAPA LIMA~OESAPA SELATAN
KUPANG~KELAPA LIMA~12~KOE01~KELAPA LIMA~AIR MATA
KUPANG~KELAPA LIMA~13~KOE01~KELAPA LIMA~NEFONAEK
KUPANG~KELAPA LIMA~14~KOE01~KELAPA LIMA~SOLOR
KUPANG~KELAPA LIMA~15~KOE01~KELAPA LIMA~TODEKISAR
KUPANG~KOTA RAJA~1~KOE05~KOTA RAJA~FONTEIN
KUPANG~KOTA RAJA~2~KOE05~KOTA RAJA~BAKUNASE
KUPANG~KOTA RAJA~3~KOE05~KOTA RAJA~NAIKOTEN I
KUPANG~KOTA RAJA~4~KOE05~KOTA RAJA~NAIKOTEN II
KUPANG~KOTA RAJA~5~KOE05~KOTA RAJA~AIR NONA
KUPANG~KOTA RAJA~6~KOE05~KOTA RAJA~KUANINO
KUPANG~KOTA RAJA~7~KOE05~KOTA RAJA~NUNLEU
KUPANG~KOTA RAJA~8~KOE05~KOTA RAJA~FONTEIN
KUPANG~KOTA RAJA~9~KOE05~KOTA RAJA~BAKUNASE
KUPANG~KOTA RAJA~10~KOE05~KOTA RAJA~NAIKOTEN I
