WAJO~BELAWA~1~SEK01~BELAWA~LEPPANGENG
WAJO~BELAWA~2~SEK01~BELAWA~BELAWA
WAJO~BELAWA~3~SEK01~BELAWA~LAUTANG
WAJO~BELAWA~4~SEK01~BELAWA~LIMPO RILAU
WAJO~BELAWA~5~SEK01~BELAWA~MACERO
WAJO~BELAWA~6~SEK01~BELAWA~MALANGKE MALAKKE
WAJO~BELAWA~7~SEK01~BELAWA~ONGKOE
WAJO~BELAWA~8~SEK01~BELAWA~SAPPA
WAJO~BELAWA~9~SEK01~BELAWA~WELE
WAJO~BOLA~1~SEK01~BOLA~BALIELO
WAJO~BOLA~2~SEK01~BOLA~BOLA
WAJO~BOLA~3~SEK01~BOLA~LATTIMU
WAJO~BOLA~4~SEK01~BOLA~LEMPONG
WAJO~BOLA~5~SEK01~BOLA~MANURUNG
WAJO~BOLA~6~SEK01~BOLA~PASIR PUTIH
WAJO~BOLA~7~SEK01~BOLA~PATTANGNGAE PATANGAE
WAJO~BOLA~8~SEK01~BOLA~RAJAMAWELANG RAJAMAWELLANG
WAJO~BOLA~9~SEK01~BOLA~SANRESENG ADE
WAJO~BOLA~10~SEK01~BOLA~SOLO
WAJO~BOLA~11~SEK01~BOLA~UJUNG TANAH
WAJO~GILIRENG~1~SEK01~GILIRENG~ABBATIRENG
WAJO~GILIRENG~2~SEK01~GILIRENG~ALAUSALO
WAJO~GILIRENG~3~SEK01~GILIRENG~ARAJANG
WAJO~GILIRENG~4~SEK01~GILIRENG~GILIRENG
WAJO~GILIRENG~5~SEK01~GILIRENG~LAMATA
WAJO~GILIRENG~6~SEK01~GILIRENG~MAMMINASAE MAMINASAE
WAJO~GILIRENG~7~SEK01~GILIRENG~PASELLORENG
WAJO~GILIRENG~8~SEK01~GILIRENG~POLEONRO
WAJO~GILIRENG~9~SEK01~GILIRENG~POLEWALIE
WAJO~KEERA~1~SEK02~KEERA~AWO
WAJO~KEERA~2~SEK02~KEERA~AWOTA
WAJO~KEERA~3~SEK02~KEERA~BALLAERE BALLERE
WAJO~KEERA~4~SEK02~KEERA~CIROMANIE
WAJO~KEERA~5~SEK02~KEERA~INRELLO
WAJO~KEERA~6~SEK02~KEERA~KEERA
WAJO~KEERA~7~SEK02~KEERA~LABAWANG
WAJO~KEERA~8~SEK02~KEERA~LALLISENG
WAJO~KEERA~9~SEK02~KEERA~PAOJEPE
WAJO~KEERA~10~SEK02~KEERA~PATTIROLOKKA
WAJO~MAJAULENG~1~SEK01~MAJAULENG~BOTTO BENTENG
WAJO~MAJAULENG~2~SEK01~MAJAULENG~BOTTO PENNO
WAJO~MAJAULENG~3~SEK01~MAJAULENG~BOTTO TANRE
WAJO~MAJAULENG~4~SEK01~MAJAULENG~CINNONG TABI
WAJO~MAJAULENG~5~SEK01~MAJAULENG~LAERUNG
WAJO~MAJAULENG~6~SEK01~MAJAULENG~LAMIKU
WAJO~MAJAULENG~7~SEK01~MAJAULENG~LIMPO MAJANG
WAJO~MAJAULENG~8~SEK01~MAJAULENG~LIU
WAJO~MAJAULENG~9~SEK01~MAJAULENG~MACANANG
WAJO~MAJAULENG~10~SEK01~MAJAULENG~PARIA
WAJO~MAJAULENG~11~SEK01~MAJAULENG~RUMPIA
WAJO~MAJAULENG~12~SEK01~MAJAULENG~TAJO
WAJO~MAJAULENG~13~SEK01~MAJAULENG~TELLU LIMPOE
WAJO~MAJAULENG~14~SEK01~MAJAULENG~TENGNGA
WAJO~MAJAULENG~15~SEK01~MAJAULENG~TOSORA
WAJO~MAJAULENG~16~SEK01~MAJAULENG~TUA
WAJO~MAJAULENG~17~SEK01~MAJAULENG~URAIANG
WAJO~MAJAULENG~18~SEK01~MAJAULENG~WATAN RUMPIA
WAJO~MANIANG PAJO~1~SEK01~MANIANG PAJO~ABBANUANGE
WAJO~MANIANG PAJO~2~SEK01~MANIANG PAJO~ANABANUA
WAJO~MANIANG PAJO~3~SEK01~MANIANG PAJO~DUA LIMPOE
WAJO~MANIANG PAJO~4~SEK01~MANIANG PAJO~KALOLA
WAJO~MANIANG PAJO~5~SEK01~MANIANG PAJO~MATTIROWALIE
WAJO~MANIANG PAJO~6~SEK01~MANIANG PAJO~MINANGA TELLUE
