BUOL~BIAU~1~BUO01~BIAU~BUKAAN
BUOL~BIAU~2~BUO01~BIAU~LAKEA I
BUOL~BIAU~3~BUO01~BIAU~LAKEA II
BUOL~BIAU~4~BUO01~BIAU~LAKUAN BUOL
BUOL~BIAU~5~BUO01~BIAU~TUINAN
BUOL~BOKAT~1~BUO01~BOKAT~BUKAMOG
BUOL~BOKAT~2~BUO01~BOKAT~BUTUKAN
BUOL~BOKAT~3~BUO01~BOKAT~DUAMAYO DUWAMAYO
BUOL~BOKAT~4~BUO01~BOKAT~KANTANAN
BUOL~BOKAT~5~BUO01~BOKAT~LANGUDON
BUOL~BOKAT~6~BUO01~BOKAT~NEGERI LAMA
BUOL~BOKAT~7~BUO01~BOKAT~TANG
BUOL~BOKAT~8~BUO01~BOKAT~TIKOPO
BUOL~BOKAT~9~BUO01~BOKAT~BOKAT
BUOL~BOKAT~10~BUO01~BOKAT~BOKAT IV
BUOL~BOKAT~11~BUO01~BOKAT~BONGO
BUOL~BOKAT~12~BUO01~BOKAT~DOULAN
BUOL~BOKAT~13~BUO01~BOKAT~KODOLAGON
BUOL~BOKAT~14~BUO01~BOKAT~POONGAN
BUOL~BOKAT~15~BUO01~BOKAT~TAYADUN
BUOL~BUKAL~1~BUO01~BUKAL~BIAU
BUOL~BUKAL~2~BUO01~BUKAL~BINUANG
BUOL~BUKAL~3~BUO01~BUKAL~BUNGKUDU
BUOL~BUKAL~4~BUO01~BUKAL~MOOYONG
BUOL~BUKAL~5~BUO01~BUKAL~YUGUT
BUOL~BUKAL~6~BUO01~BUKAL~DIAT
BUOL~BUKAL~7~BUO01~BUKAL~MODO
BUOL~BUKAL~8~BUO01~BUKAL~MOPU
BUOL~BUKAL~9~BUO01~BUKAL~POTANGOAN
BUOL~BUKAL~10~BUO01~BUKAL~RANTEMARANU
BUOL~BUKAL~11~BUO01~BUKAL~UNONE
BUOL~BUKAL~12~BUO01~BUKAL~WINANGUN
BUOL~BUNOBOGU~1~BUO01~BUNOBOGU~BOTUGOLU
BUOL~BUNOBOGU~2~BUO01~BUNOBOGU~BUNOBOGU BONOBOGU
BUOL~BUNOBOGU~3~BUO01~BUNOBOGU~DOMAG
BUOL~BUNOBOGU~4~BUO01~BUNOBOGU~DOMAG MEKAR
BUOL~BUNOBOGU~5~BUO01~BUNOBOGU~INALATAN
BUOL~BUNOBOGU~6~BUO01~BUNOBOGU~KENAMUKAN KONAMUKAN
BUOL~BUNOBOGU~7~BUO01~BUNOBOGU~LONU
BUOL~BUNOBOGU~8~BUO01~BUNOBOGU~PONIPINGAN
BUOL~BUNOBOGU~9~BUO01~BUNOBOGU~TAMIT
BUOL~GADUNG~1~BUO01~GADUNG~BULAGIDUN
BUOL~GADUNG~2~BUO01~GADUNG~BULAGIDUN TANJUNG
BUOL~GADUNG~3~BUO01~GADUNG~DIAPATIH
BUOL~GADUNG~4~BUO01~GADUNG~LABUTON
BUOL~GADUNG~5~BUO01~GADUNG~LIPUBOGU
BUOL~GADUNG~6~BUO01~GADUNG~LOKODIDI
BUOL~GADUNG~7~BUO01~GADUNG~LOKODOKA
BUOL~GADUNG~8~BUO01~GADUNG~MATINAN
BUOL~GADUNG~9~BUO01~GADUNG~NANDU
BUOL~GADUNG~10~BUO01~GADUNG~TAAT
BUOL~KARAMAT~1~BUO01~KARAMAT~BARUGA
BUOL~KARAMAT~2~BUO01~KARAMAT~BUSAK I
BUOL~KARAMAT~3~BUO01~KARAMAT~BUSAK II
BUOL~KARAMAT~4~BUO01~KARAMAT~LAMAKAN
BUOL~KARAMAT~5~BUO01~KARAMAT~MENDAAN
BUOL~KARAMAT~6~BUO01~KARAMAT~MOKUPO
BUOL~KARAMAT~7~BUO01~KARAMAT~MONANO
BUOL~LIPUNOTO~1~BUO01~LIPUNOTO~BUOL
BUOL~LIPUNOTO~2~BUO01~LIPUNOTO~KALI
BUOL~LIPUNOTO~3~BUO01~LIPUNOTO~KUMALIGON
BUOL~LIPUNOTO~4~BUO01~LIPUNOTO~LEOK
BUOL~LIPUNOTO~5~BUO01~LIPUNOTO~LEOK II
BUOL~MOMUNU~1~BUO01~MOMUNU~BUGIS
BUOL~MOMUNU~2~BUO01~MOMUNU~GUAMONIAL
BUOL~MOMUNU~3~BUO01~MOMUNU~KULANGO
BUOL~MOMUNU~4~BUO01~MOMUNU~LAMADONG
BUOL~MOMUNU~5~BUO01~MOMUNU~LAMADONG
BUOL~MOMUNU~6~BUO01~MOMUNU~MANGUBI
BUOL~MOMUNU~7~BUO01~MOMUNU~MOMUNU
BUOL~MOMUNU~8~BUO01~MOMUNU~PAJEKO
BUOL~MOMUNU~9~BUO01~MOMUNU~PANIMBUL
BUOL~MOMUNU~10~BUO01~MOMUNU~PINAMULA
BUOL~MOMUNU~11~BUO01~MOMUNU~POMAYAGON
BUOL~MOMUNU~12~BUO01~MOMUNU~POTUGU
BUOL~MOMUNU~13~BUO01~MOMUNU~PUJIMULYO
BUOL~MOMUNU~14~BUO01~MOMUNU~SORAYA
BUOL~MOMUNU~15~BUO01~MOMUNU~TALUAN
BUOL~MOMUNU~16~BUO01~MOMUNU~TONGON
BUOL~MOMUNU~17~BUO01~MOMUNU~WAKAT
BUOL~PALELEH~1~BUO01~PALELEH~BATU RATA
BUOL~PALELEH~2~BUO01~PALELEH~DOPALAK
BUOL~PALELEH~3~BUO01~PALELEH~DUTUNO
BUOL~PALELEH~4~BUO01~PALELEH~KUALA BESAR
BUOL~PALELEH~5~BUO01~PALELEH~LILITO
BUOL~PALELEH~6~BUO01~PALELEH~LINTIDU
BUOL~PALELEH~7~BUO01~PALELEH~MULANGATO
BUOL~PALELEH~8~BUO01~PALELEH~PALELEH
BUOL~PALELEH~9~BUO01~PALELEH~PIONOTO
BUOL~PALELEH~10~BUO01~PALELEH~TALAKI
BUOL~PALELEH~11~BUO01~PALELEH~TOLAU
BUOL~PALELEH~12~BUO01~PALELEH~UMU
BUOL~PALELEH BARAT~1~BUO01~PALELEH BARAT~BODI
BUOL~PALELEH BARAT~2~BUO01~PALELEH BARAT~HARMONI
BUOL~PALELEH BARAT~3~BUO01~PALELEH BARAT~HULUBALANG
BUOL~PALELEH BARAT~4~BUO01~PALELEH BARAT~LUNGUTO
BUOL~PALELEH BARAT~5~BUO01~PALELEH BARAT~OYAK
BUOL~PALELEH BARAT~6~BUO01~PALELEH BARAT~TAYOKAN
BUOL~PALELEH BARAT~7~BUO01~PALELEH BARAT~TIMBULON
BUOL~TILOAN~1~BUO01~TILOAN~AIRTERANG
BUOL~TILOAN~2~BUO01~TILOAN~BALAU
BUOL~TILOAN~3~BUO01~TILOAN~BOILAN
BUOL~TILOAN~4~BUO01~TILOAN~JATIMULYO
BUOL~TILOAN~5~BUO01~TILOAN~KOKOBUKA
BUOL~TILOAN~6~BUO01~TILOAN~LOMULI
BUOL~TILOAN~7~BUO01~TILOAN~MANIALA
BUOL~TILOAN~8~BUO01~TILOAN~PANILAN JAYA
