SELONG~AIKMEL~1~SLO01~AIKMEL~AIKMEL
SELONG~AIKMEL~2~SLO01~AIKMEL~AIKMEL UTARA
SELONG~AIKMEL~3~SLO01~AIKMEL~KALIJAGA
SELONG~AIKMEL~4~SLO01~AIKMEL~KALIJAGA SELATAN
SELONG~AIKMEL~5~SLO01~AIKMEL~KALIJAGA TIMUR
SELONG~AIKMEL~6~SLO01~AIKMEL~KEMBANG KERANG
SELONG~AIKMEL~7~SLO01~AIKMEL~LENEK
SELONG~AIKMEL~8~SLO01~AIKMEL~LENEK DAYA
SELONG~AIKMEL~9~SLO01~AIKMEL~LENEK LAUQ
SELONG~JEROWARU~1~SLO01~JEROWARU~BATUNAMPAR
SELONG~JEROWARU~2~SLO01~JEROWARU~JEROWARU
SELONG~JEROWARU~3~SLO01~JEROWARU~PEMONGKONG
SELONG~JEROWARU~4~SLO01~JEROWARU~SUKARAJA
SELONG~KERUAK~1~SLO01~KERUAK~PIJOT
SELONG~KERUAK~2~SLO01~KERUAK~SELEBUNG KETANGGA
SELONG~KERUAK~3~SLO01~KERUAK~SEPIT
SELONG~KERUAK~4~SLO01~KERUAK~TANJUNG LUAR
SELONG~LABUHAN HAJI~1~SLO01~LABUHAN HAJI~TANJUNG
SELONG~LABUHAN HAJI~2~SLO01~LABUHAN HAJI~TEROS
SELONG~LABUHAN HAJI~3~SLO01~LABUHAN HAJI~IJOBALIT
SELONG~LABUHAN HAJI~4~SLO01~LABUHAN HAJI~KORLEKO
SELONG~LABUHAN HAJI~5~SLO01~LABUHAN HAJI~LABUHAN HAJI
SELONG~LABUHAN HAJI~6~SLO01~LABUHAN HAJI~SURYA WANGI
SELONG~LABUHAN HAJI~7~SLO01~LABUHAN HAJI~PENEDAGANDOR
SELONG~MASBAGIK~1~SLO01~MASBAGIK~PAOK MOTONG
SELONG~MASBAGIK~2~SLO01~MASBAGIK~KESIK
SELONG~MASBAGIK~3~SLO01~MASBAGIK~MASBAGIK SELATAN
SELONG~MASBAGIK~4~SLO01~MASBAGIK~MASBAGIK TIMUR
SELONG~MASBAGIK~5~SLO01~MASBAGIK~MASBAGIK UTARA
SELONG~MASBAGIK~6~SLO01~MASBAGIK~DANGER
