TANAH LAUT~BAJUIN~1~PLR01~BAJUIN~BAJUIN？
TANAH LAUT~BAJUIN~2~PLR01~BAJUIN~KUNYIT
TANAH LAUT~BAJUIN~3~PLR01~BAJUIN~PAMALONGAN
TANAH LAUT~BAJUIN~4~PLR01~BAJUIN~SUNGAI BAKAR
TANAH LAUT~BAJUIN~5~PLR01~BAJUIN~TANJUNG
TANAH LAUT~BAJUIN~6~PLR01~BAJUIN~TEBING SIRING
TANAH LAUT~BAJUIN~7~PLR01~BAJUIN~TIRTA JAYA
TANAH LAUT~BATI-BATI~1~PLR01~BATI-BATI~BANUA RAYA (BENUA RAYA)
TANAH LAUT~BATI-BATI~2~PLR01~BATI-BATI~BANYU IRANG
TANAH LAUT~BATI-BATI~3~PLR01~BATI-BATI~BATI BATI
TANAH LAUT~BATI-BATI~4~PLR01~BATI-BATI~BENTOK DARAT
TANAH LAUT~BATI-BATI~5~PLR01~BATI-BATI~BENTOK KAMPUNG
TANAH LAUT~BATI-BATI~6~PLR01~BATI-BATI~KAIT KAIT
TANAH LAUT~BATI-BATI~7~PLR01~BATI-BATI~KAIT-KAIT BARU
TANAH LAUT~BATI-BATI~8~PLR01~BATI-BATI~LIANG ANGGANG
TANAH LAUT~BATI-BATI~9~PLR01~BATI-BATI~NUSA INDAH
TANAH LAUT~BATI-BATI~10~PLR01~BATI-BATI~PADANG
TANAH LAUT~BATI-BATI~11~PLR01~BATI-BATI~PANDAHAN？
TANAH LAUT~BATI-BATI~12~PLR01~BATI-BATI~SAMBANGAN
TANAH LAUT~BATI-BATI~13~PLR01~BATI-BATI~UJUNG？
TANAH LAUT~BATI-BATI~14~PLR01~BATI-BATI~UJUNG BARU？
TANAH LAUT~BATU AMPAR~1~PLR01~BATU AMPAR~AMBAWANG
TANAH LAUT~BATU AMPAR~2~PLR01~BATU AMPAR~BATU AMPAR？
TANAH LAUT~BATU AMPAR~3~PLR01~BATU AMPAR~BLURU
TANAH LAUT~BATU AMPAR~4~PLR01~BATU AMPAR~DAMAR LIMA
TANAH LAUT~BATU AMPAR~5~PLR01~BATU AMPAR~DAMIT？
TANAH LAUT~BATU AMPAR~6~PLR01~BATU AMPAR~DAMIT HULU
TANAH LAUT~BATU AMPAR~7~PLR01~BATU AMPAR~DURIAN BUNGKUK
TANAH LAUT~BATU AMPAR~8~PLR01~BATU AMPAR~GUNUNG MAS
TANAH LAUT~BATU AMPAR~9~PLR01~BATU AMPAR~GUNUNG MELATI？
TANAH LAUT~BATU AMPAR~10~PLR01~BATU AMPAR~JILATAN
TANAH LAUT~BATU AMPAR~11~PLR01~BATU AMPAR~JILATAN ALUR
TANAH LAUT~BATU AMPAR~12~PLR01~BATU AMPAR~PANTAI LINUH
TANAH LAUT~BATU AMPAR~13~PLR01~BATU AMPAR~TAJAU MULIA
TANAH LAUT~BATU AMPAR~14~PLR01~BATU AMPAR~TAJAU PECAH
TANAH LAUT~BUMI MAKMUR~1~PLR01~BUMI MAKMUR~BUMI HARAPAN
TANAH LAUT~BUMI MAKMUR~2~PLR01~BUMI MAKMUR~HANDIL BABIRIK
TANAH LAUT~BUMI MAKMUR~3~PLR01~BUMI MAKMUR~HANDIL BIRAYANG ATAS
TANAH LAUT~BUMI MAKMUR~4~PLR01~BUMI MAKMUR~HANDIL BIRAYANG BAWAH
TANAH LAUT~BUMI MAKMUR~5~PLR01~BUMI MAKMUR~HANDIL GAYAM
TANAH LAUT~BUMI MAKMUR~6~PLR01~BUMI MAKMUR~HANDIL LABUAN (AMAS)
TANAH LAUT~BUMI MAKMUR~7~PLR01~BUMI MAKMUR~HANDIL MALUKA
TANAH LAUT~BUMI MAKMUR~8~PLR01~BUMI MAKMUR~HANDIL SURUK
TANAH LAUT~BUMI MAKMUR~9~PLR01~BUMI MAKMUR~KURAU UTARA
TANAH LAUT~BUMI MAKMUR~10~PLR01~BUMI MAKMUR~PANTAI HARAPAN
TANAH LAUT~BUMI MAKMUR~11~PLR01~BUMI MAKMUR~SEI/SUNGAI RASAU
TANAH LAUT~JORONG~1~PLR01~JORONG~ALUR
TANAH LAUT~JORONG~2~PLR01~JORONG~ASAM ASAM
TANAH LAUT~JORONG~3~PLR01~JORONG~ASAM JAYA
TANAH LAUT~JORONG~4~PLR01~JORONG~ASRI MULIA
TANAH LAUT~JORONG~5~PLR01~JORONG~BATALANG
TANAH LAUT~JORONG~6~PLR01~JORONG~JORONG
TANAH LAUT~JORONG~7~PLR01~JORONG~KARANG REJO
TANAH LAUT~JORONG~8~PLR01~JORONG~MUARA ASAM ASAM
TANAH LAUT~JORONG~9~PLR01~JORONG~SABUHUR
TANAH LAUT~JORONG~10~PLR01~JORONG~SWARANGAN
TANAH LAUT~KINTAP~1~PLR01~KINTAP~BUKIT MULIA
TANAH LAUT~KINTAP~2~PLR01~KINTAP~KEBUN RAYA
TANAH LAUT~KINTAP~3~PLR01~KINTAP~KINTAP
TANAH LAUT~KINTAP~4~PLR01~KINTAP~KINTAP KECIL
TANAH LAUT~KINTAP~5~PLR01~KINTAP~KINTAP PURA (KINTAPURA)？
TANAH LAUT~KINTAP~6~PLR01~KINTAP~MEKAR RAYA (MEKARSARI)
TANAH LAUT~KINTAP~7~PLR01~KINTAP~MUARA KINTAP
TANAH LAUT~KINTAP~8~PLR01~KINTAP~PANDANSARI？
TANAH LAUT~KINTAP~9~PLR01~KINTAP~PASIR PUTIH
TANAH LAUT~KINTAP~10~PLR01~KINTAP~RIAM ADUNGAN
TANAH LAUT~KINTAP~11~PLR01~KINTAP~SALAMAN
TANAH LAUT~KINTAP~12~PLR01~KINTAP~SEBAMBAN BARU
TANAH LAUT~KINTAP~13~PLR01~KINTAP~SEI/SUNGAI CUKA
TANAH LAUT~KINTAP~14~PLR01~KINTAP~SUMBER JAYA
TANAH LAUT~KURAU~1~PLR01~KURAU~BAWAH LAYUNG
TANAH LAUT~KURAU~2~PLR01~KURAU~HANDIL NEGARA
TANAH LAUT~KURAU~3~PLR01~KURAU~KALI BESAR
TANAH LAUT~KURAU~4~PLR01~KURAU~KURAU
TANAH LAUT~KURAU~5~PLR01~KURAU~MALUKA BUALIN
TANAH LAUT~KURAU~6~PLR01~KURAU~PADANG LUAS
TANAH LAUT~KURAU~7~PLR01~KURAU~RADEN
TANAH LAUT~KURAU~8~PLR01~KURAU~SARIKANDI
TANAH LAUT~KURAU~9~PLR01~KURAU~SEI/SUNGAI BAKAU
TANAH LAUT~KURAU~10~PLR01~KURAU~TAMBAK KARYA
TANAH LAUT~KURAU~11~PLR01~KURAU~TAMBAK SARINAN/SARINAH
TANAH LAUT~PANYIPATAN~1~PLR01~PANYIPATAN~BATAKAN
TANAH LAUT~PANYIPATAN~2~PLR01~PANYIPATAN~BATU MULYA
TANAH LAUT~PANYIPATAN~3~PLR01~PANYIPATAN~BATU TUNGKU
TANAH LAUT~PANYIPATAN~4~PLR01~PANYIPATAN~BUMI ASIH
