BERAU~BATU PUTIH~1~BEU01~BATU PUTIH~KAYU INDAH
BERAU~BATU PUTIH~2~BEU01~BATU PUTIH~SUMBER AGUNG
BERAU~BATU PUTIH~3~BEU01~BATU PUTIH~TEMBUDAN
BERAU~BATU PUTIH~4~BEU01~BATU PUTIH~AMPEN MEDANG
BERAU~BATU PUTIH~5~BEU01~BATU PUTIH~BALIK KUKUK (BALIKUKUP)
BERAU~BATU PUTIH~6~BEU01~BATU PUTIH~BATU PUTIH
BERAU~BATU PUTIH~7~BEU01~BATU PUTIH~LOBANG KELATAK
BERAU~BIATAN~1~BEU01~BIATAN~BIATAN BAPINANG
BERAU~BIATAN~2~BEU01~BIATAN~BIATAN BARU
BERAU~BIATAN~3~BEU01~BIATAN~BIATAN ILIR
BERAU~BIATAN~4~BEU01~BIATAN~BIATAN LEMPAKE
BERAU~BIATAN~5~BEU01~BIATAN~BIATAN ULU
BERAU~BIATAN~6~BEU01~BIATAN~BUKIT MAKMUR JAYA
BERAU~BIATAN~7~BEU01~BIATAN~KARANGAN
BERAU~BIATAN~8~BEU01~BIATAN~MANUNGGAL JAYA
BERAU~BIDUK-BIDUK~1~BEU01~BIDUK-BIDUK~BIDUK-BIDUK
BERAU~BIDUK-BIDUK~2~BEU01~BIDUK-BIDUK~GIRING-GIRING
BERAU~BIDUK-BIDUK~3~BEU01~BIDUK-BIDUK~PANTAI HARAPAN
BERAU~BIDUK-BIDUK~4~BEU01~BIDUK-BIDUK~TANJUNG PEREPAT
BERAU~BIDUK-BIDUK~5~BEU01~BIDUK-BIDUK~TELUK SULAIMAN
BERAU~BIDUK-BIDUK~6~BEU01~BIDUK-BIDUK~TELUK SUMBANG
BERAU~DERAWAN~1~BEU01~DERAWAN~KASAI
BERAU~DERAWAN~2~BEU01~DERAWAN~PEGAT BERTUMBUK
BERAU~DERAWAN~3~BEU01~DERAWAN~PULAU DERAWAN
BERAU~DERAWAN~4~BEU01~DERAWAN~TANJUNG BATU
BERAU~DERAWAN~5~BEU01~DERAWAN~TELUK SEMANTING
BERAU~GUNUNG TABUR~1~BEU01~GUNUNG TABUR~BATU-BATU
BERAU~GUNUNG TABUR~2~BEU01~GUNUNG TABUR~BIRANG
BERAU~GUNUNG TABUR~3~BEU01~GUNUNG TABUR~GUNUNG TABUR
BERAU~GUNUNG TABUR~4~BEU01~GUNUNG TABUR~MALUANG
BERAU~GUNUNG TABUR~5~BEU01~GUNUNG TABUR~MELATI JAYA
BERAU~GUNUNG TABUR~6~BEU01~GUNUNG TABUR~MERANCANG ILIR
BERAU~GUNUNG TABUR~7~BEU01~GUNUNG TABUR~MERANCANG ULU
BERAU~GUNUNG TABUR~8~BEU01~GUNUNG TABUR~PULAU BESING
BERAU~GUNUNG TABUR~9~BEU01~GUNUNG TABUR~SAMBAKUNGAN
BERAU~GUNUNG TABUR~10~BEU01~GUNUNG TABUR~SAMBURAKAT
BERAU~GUNUNG TABUR~11~BEU01~GUNUNG TABUR~TASUK
BERAU~KELAY~1~BEU01~KELAY~LESAN DAYAK
BERAU~KELAY~2~BEU01~KELAY~LONG BELIU
BERAU~KELAY~3~BEU01~KELAY~LONG DUHUNG
BERAU~KELAY~4~BEU01~KELAY~LONG KELUH
BERAU~KELAY~5~BEU01~KELAY~LONG LAMCIN
BERAU~KELAY~6~BEU01~KELAY~LONG PELAY
BERAU~KELAY~7~BEU01~KELAY~LONG SULUI
BERAU~KELAY~8~BEU01~KELAY~MAPULU
BERAU~KELAY~9~BEU01~KELAY~MERABU
BERAU~KELAY~10~BEU01~KELAY~MERAPUN
BERAU~KELAY~11~BEU01~KELAY~MERASA
BERAU~KELAY~12~BEU01~KELAY~MUARA LESAN
BERAU~KELAY~13~BEU01~KELAY~PANAAN
BERAU~KELAY~14~BEU01~KELAY~SIDO BANGEN
BERAU~MARATUA~1~BEU01~MARATUA~MARATUA BOHESILIAN
BERAU~MARATUA~2~BEU01~MARATUA~MARATUA PAYUNG-PAYUNG
BERAU~MARATUA~3~BEU01~MARATUA~MARATUA TELUK ALULU
BERAU~MARATUA~4~BEU01~MARATUA~MARATUA TELUK HARAPAN
BERAU~SAMBALIUNG~1~BEU01~SAMBALIUNG~BEBANIR (SEI BEBANIR BANGUN)
BERAU~SAMBALIUNG~2~BEU01~SAMBALIUNG~BENA BARU
BERAU~SAMBALIUNG~3~BEU01~SAMBALIUNG~GURIMBANG
BERAU~SAMBALIUNG~4~BEU01~SAMBALIUNG~INARAN
BERAU~SAMBALIUNG~5~BEU01~SAMBALIUNG~LONG LANUK
BERAU~SAMBALIUNG~6~BEU01~SAMBALIUNG~PEGAT BUKUR
