BANYUASIN~AIR SALEK~1~PKB01~AIR SALEK~AIR SOLOK BATU
BANYUASIN~AIR SALEK~2~PKB01~AIR SALEK~BINTARAN
BANYUASIN~AIR SALEK~3~PKB01~AIR SALEK~DARMAWULAN
BANYUASIN~AIR SALEK~4~PKB01~AIR SALEK~ENGGALREJO
BANYUASIN~AIR SALEK~5~PKB01~AIR SALEK~SALEK AGUNG
BANYUASIN~AIR SALEK~6~PKB01~AIR SALEK~SALEK JAYA
BANYUASIN~AIR SALEK~7~PKB01~AIR SALEK~SALEK MUKTI
BANYUASIN~AIR SALEK~8~PKB01~AIR SALEK~SALEK MULYA
BANYUASIN~AIR SALEK~9~PKB01~AIR SALEK~SIDOHARJO
BANYUASIN~AIR SALEK~10~PKB01~AIR SALEK~SRIKATON
BANYUASIN~AIR SALEK~11~PKB01~AIR SALEK~SRI MULYO
BANYUASIN~BANYUASIN I~1~PKB01~BANYUASIN I~BUDIMULYA
BANYUASIN~BANYUASIN I~2~PKB01~BANYUASIN I~CINTA MANIS BARU
BANYUASIN~BANYUASIN I~3~PKB01~BANYUASIN I~CINTA MANIS LAMA
BANYUASIN~BANYUASIN I~4~PKB01~BANYUASIN I~DUREN IJO
BANYUASIN~BANYUASIN I~5~PKB01~BANYUASIN I~KUMBANG PADANG PERMATA
BANYUASIN~BANYUASIN I~6~PKB01~BANYUASIN I~MERAH MATA
BANYUASIN~BANYUASIN I~7~PKB01~BANYUASIN I~NUSA MAKMUR
BANYUASIN~BANYUASIN I~8~PKB01~BANYUASIN I~PADANG REJO
BANYUASIN~BANYUASIN I~9~PKB01~BANYUASIN I~PEMATANG PALAS
BANYUASIN~BANYUASIN I~10~PKB01~BANYUASIN I~PERAJEN
BANYUASIN~BANYUASIN I~11~PKB01~BANYUASIN I~PERAMBAHAN
BANYUASIN~BANYUASIN I~12~PKB01~BANYUASIN I~PULAU BORANG
BANYUASIN~BANYUASIN I~13~PKB01~BANYUASIN I~RIMBA JAYA
BANYUASIN~BANYUASIN I~14~PKB01~BANYUASIN I~SEBUBUS
BANYUASIN~BANYUASIN I~15~PKB01~BANYUASIN I~SIDO MAKMUR
BANYUASIN~BANYUASIN I~16~PKB01~BANYUASIN I~SIDOMULYA
BANYUASIN~BANYUASIN I~17~PKB01~BANYUASIN I~SUNGAIGERONG
BANYUASIN~BANYUASIN I~18~PKB01~BANYUASIN I~SUNGAI REBO
BANYUASIN~BANYUASIN I~19~PKB01~BANYUASIN I~TELUK TRENGGILIK
BANYUASIN~BANYUASIN I~20~PKB01~BANYUASIN I~TIRTO SARI
BANYUASIN~BANYUASIN I~21~PKB01~BANYUASIN I~MARIANA
BANYUASIN~BANYUASIN I~22~PKB01~BANYUASIN I~MARIANA ILIR
BANYUASIN~BANYUASIN II~1~PKB01~BANYUASIN II~BANYUASIN II
BANYUASIN~BANYUASIN III~1~PKB01~BANYUASIN III~GALANG TINGGI
BANYUASIN~BANYUASIN III~2~PKB01~BANYUASIN III~KAYUARA KUNING
BANYUASIN~BANYUASIN III~3~PKB01~BANYUASIN III~LANGKAN
BANYUASIN~BANYUASIN III~4~PKB01~BANYUASIN III~LUBUK SAUNG
BANYUASIN~BANYUASIN III~5~PKB01~BANYUASIN III~MULYA AGUNG
BANYUASIN~BANYUASIN III~6~PKB01~BANYUASIN III~PANGKALAN PANJI
BANYUASIN~BANYUASIN III~7~PKB01~BANYUASIN III~PELAJAU
BANYUASIN~BANYUASIN III~8~PKB01~BANYUASIN III~PELAJAU ILIR
BANYUASIN~BANYUASIN III~9~PKB01~BANYUASIN III~PETALING
BANYUASIN~BANYUASIN III~10~PKB01~BANYUASIN III~REGAN AGUNG
BANYUASIN~BANYUASIN III~11~PKB01~BANYUASIN III~RIMBA ALAI
BANYUASIN~BANYUASIN III~12~PKB01~BANYUASIN III~SIDANG MAS
BANYUASIN~BANYUASIN III~13~PKB01~BANYUASIN III~SRI BANDUNG
BANYUASIN~BANYUASIN III~14~PKB01~BANYUASIN III~SUKA MULYA
BANYUASIN~BANYUASIN III~15~PKB01~BANYUASIN III~SUKARAJA
BANYUASIN~BANYUASIN III~16~PKB01~BANYUASIN III~SUKARAJA BATU
BANYUASIN~BANYUASIN III~17~PKB01~BANYUASIN III~TANJUNG AGUNG
BANYUASIN~BANYUASIN III~18~PKB01~BANYUASIN III~TANJUNG BERINGIN
BANYUASIN~BANYUASIN III~19~PKB01~BANYUASIN III~TANJUNG KEPAYANG
BANYUASIN~BANYUASIN III~20~PKB01~BANYUASIN III~TANJUNG MENANG
BANYUASIN~BANYUASIN III~21~PKB01~BANYUASIN III~TERENTANG
BANYUASIN~BANYUASIN III~22~PKB01~BANYUASIN III~TERLANGGU
BANYUASIN~BANYUASIN III~23~PKB01~BANYUASIN III~UJUNG TANJUNG
BANYUASIN~BANYUASIN III~24~PKB01~BANYUASIN III~KEDONDONG RAYE
BANYUASIN~BANYUASIN III~25~PKB01~BANYUASIN III~PANGKALAN BALAI
BANYUASIN~BANYUASIN III~26~PKB01~BANYUASIN III~SETERIO
BANYUASIN~BETUNG~1~PKB01~BETUNG~BETUNG
BANYUASIN~MAKARTI JAYA~1~PKB01~MAKARTI JAYA~MAKARTI JAYA
BANYUASIN~MUARA PADANG~1~PKB01~MUARA PADANG~MUARA PADANG
BANYUASIN~MUARA SUGIHAN~1~PKB01~MUARA SUGIHAN~MUARA SUGIHAN
BANYUASIN~MUARA TELANG~1~PKB01~MUARA TELANG~MUARA TELANG
BANYUASIN~PULAU RIMAU~1~PKB01~PULAU RIMAU~BANJAR SARI
BANYUASIN~PULAU RIMAU~2~PKB01~PULAU RIMAU~BUANA MURTI
BANYUASIN~PULAU RIMAU~3~PKB01~PULAU RIMAU~BUDI ASIH
BANYUASIN~PULAU RIMAU~4~PKB01~PULAU RIMAU~BUMI REJO
BANYUASIN~PULAU RIMAU~5~PKB01~PULAU RIMAU~DANA MULYA
BANYUASIN~PULAU RIMAU~6~PKB01~PULAU RIMAU~KARANG MANUNGGAL
BANYUASIN~PULAU RIMAU~7~PKB01~PULAU RIMAU~KELAPA DUA
BANYUASIN~PULAU RIMAU~8~PKB01~PULAU RIMAU~MAJATRA
BANYUASIN~PULAU RIMAU~9~PKB01~PULAU RIMAU~MEKAR SARI
BANYUASIN~PULAU RIMAU~10~PKB01~PULAU RIMAU~MUKUT
BANYUASIN~PULAU RIMAU~11~PKB01~PULAU RIMAU~NUNGGAL SARI
BANYUASIN~PULAU RIMAU~12~PKB01~PULAU RIMAU~PENUGUAN
BANYUASIN~PULAU RIMAU~13~PKB01~PULAU RIMAU~PURWODADI
BANYUASIN~PULAU RIMAU~14~PKB01~PULAU RIMAU~RAWA BANDA
BANYUASIN~PULAU RIMAU~15~PKB01~PULAU RIMAU~RINGIN HARJO
BANYUASIN~PULAU RIMAU~16~PKB01~PULAU RIMAU~RUKUN MAKMUR
BANYUASIN~PULAU RIMAU~17~PKB01~PULAU RIMAU~SENDA MUKTI
BANYUASIN~PULAU RIMAU~18~PKB01~PULAU RIMAU~SONGO MAKMUR
BANYUASIN~PULAU RIMAU~19~PKB01~PULAU RIMAU~SUMBER AGUNG
BANYUASIN~PULAU RIMAU~20~PKB01~PULAU RIMAU~SUMBER MUKTI
BANYUASIN~PULAU RIMAU~21~PKB01~PULAU RIMAU~SUMBER MULYO
BANYUASIN~PULAU RIMAU~22~PKB01~PULAU RIMAU~SUMBER REJEKI
BANYUASIN~PULAU RIMAU~23~PKB01~PULAU RIMAU~SUMBER REJO
BANYUASIN~PULAU RIMAU~24~PKB01~PULAU RIMAU~TABUAN ASRI
BANYUASIN~PULAU RIMAU~25~PKB01~PULAU RIMAU~TELUK BETUNG
BANYUASIN~PULAU RIMAU~26~PKB01~PULAU RIMAU~TIRTA MULYA
BANYUASIN~PULAU RIMAU~27~PKB01~PULAU RIMAU~WANA MUKTI
BANYUASIN~PULAU RIMAU~28~PKB01~PULAU RIMAU~WONODADI
BANYUASIN~PULAU RIMAU~29~PKB01~PULAU RIMAU~WONOSARI
BANYUASIN~RAMBUTAN~1~PKB01~RAMBUTAN~BARU
BANYUASIN~RAMBUTAN~2~PKB01~RAMBUTAN~DURIAN GADIS
BANYUASIN~RAMBUTAN~3~PKB01~RAMBUTAN~GELEBAK DALAM
BANYUASIN~RAMBUTAN~4~PKB01~RAMBUTAN~KEBON SAHANG
BANYUASIN~RAMBUTAN~5~PKB01~RAMBUTAN~MENTEN
BANYUASIN~RAMBUTAN~6~PKB01~RAMBUTAN~PANGKALAN GELEBAK
BANYUASIN~RAMBUTAN~7~PKB01~RAMBUTAN~PERIT
BANYUASIN~RAMBUTAN~8~PKB01~RAMBUTAN~PELAJU
BANYUASIN~RAMBUTAN~9~PKB01~RAMBUTAN~PULAU PARANG
BANYUASIN~RAMBUTAN~10~PKB01~RAMBUTAN~RAMBUTAN
BANYUASIN~RAMBUTAN~11~PKB01~RAMBUTAN~SAKO
BANYUASIN~RAMBUTAN~12~PKB01~RAMBUTAN~SEBOKOR
BANYUASIN~RAMBUTAN~13~PKB01~RAMBUTAN~SIJU
BANYUASIN~RAMBUTAN~14~PKB01~RAMBUTAN~SUKA PINDAH
BANYUASIN~RAMBUTAN~15~PKB01~RAMBUTAN~SUNGAI DUA
BANYUASIN~RAMBUTAN~16~PKB01~RAMBUTAN~SUNGAI KEDUKAN
BANYUASIN~RAMBUTAN~17~PKB01~RAMBUTAN~SUNGAI PINANG
BANYUASIN~RAMBUTAN~18~PKB01~RAMBUTAN~TANAH LEMBAK
BANYUASIN~RAMBUTAN~19~PKB01~RAMBUTAN~TANJUNG KERANG
BANYUASIN~RAMBUTAN~20~PKB01~RAMBUTAN~TANJUNG MERBU
BANYUASIN~RANTAU BAYUR~1~PKB01~RANTAU BAYUR~RANTAU BAYUR
BANYUASIN~SEMBAWA~1~PKB01~SEMBAWA~LALANG SEMBAWA
BANYUASIN~SEMBAWA~2~PKB01~SEMBAWA~LIMAU
BANYUASIN~SEMBAWA~3~PKB01~SEMBAWA~LIMBANG MULYA
BANYUASIN~SEMBAWA~4~PKB01~SEMBAWA~MAINAN
BANYUASIN~SEMBAWA~5~PKB01~SEMBAWA~MUARA DAMAI
BANYUASIN~SEMBAWA~6~PKB01~SEMBAWA~PULAU HARAPAN
BANYUASIN~SEMBAWA~7~PKB01~SEMBAWA~PULAU MUNING
BANYUASIN~SEMBAWA~8~PKB01~SEMBAWA~PURWOSARI
BANYUASIN~SEMBAWA~9~PKB01~SEMBAWA~REJODADI
BANYUASIN~SEMBAWA~10~PKB01~SEMBAWA~SAKO MAKMUR
BANYUASIN~SEMBAWA~11~PKB01~SEMBAWA~SANTAN SARI
BANYUASIN~TALANG KELAPA~1~PKB01~TALANG KELAPA~TALANG KELAPA
BANYUASIN~TANJUNG LAGO~1~PKB01~TANJUNG LAGO~TANJUNG LAGO
BANYUASIN~TUNGKAL ILIR~1~PKB01~TUNGKAL ILIR~TUNGKAL ILIR
