BANGLI~BANGLI~1~BNL01~BANGLI~SUSUT
BANGLI~BANGLI~2~BNL01~BANGLI~BEBALANG
BANGLI~BANGLI~3~BNL01~BANGLI~KAWAN
BANGLI~BANGLI~4~BNL01~BANGLI~CEMPAGA
BANGLI~BANGLI~5~BNL01~BANGLI~KUBU
BANGLI~BANGLI~6~BNL01~BANGLI~TAMAN BALI
BANGLI~BANGLI~7~BNL01~BANGLI~BUNUTIN
BANGLI~BANGLI~8~BNL01~BANGLI~TEMBUKU
BANGLI~KINTAMANI~1~BNL01~KINTAMANI~ABANG SONGAN
BANGLI~KINTAMANI~2~BNL01~KINTAMANI~ABUAN
BANGLI~KINTAMANI~3~BNL01~KINTAMANI~AWAN
BANGLI~KINTAMANI~4~BNL01~KINTAMANI~BANTANG
BANGLI~KINTAMANI~5~BNL01~KINTAMANI~BANUA
BANGLI~KINTAMANI~6~BNL01~KINTAMANI~BATU DINDING
BANGLI~KINTAMANI~7~BNL01~KINTAMANI~BATUKAANG
BANGLI~KINTAMANI~8~BNL01~KINTAMANI~BATUR SELATAN
BANGLI~KINTAMANI~9~BNL01~KINTAMANI~BATUR TENGAH
BANGLI~KINTAMANI~10~BNL01~KINTAMANI~BATUR UTARA
BANGLI~KINTAMANI~11~BNL01~KINTAMANI~BAYUNGCERIK
BANGLI~KINTAMANI~12~BNL01~KINTAMANI~BAYUNGGEDE
BANGLI~KINTAMANI~13~BNL01~KINTAMANI~BELANCAN
BANGLI~KINTAMANI~14~BNL01~KINTAMANI~BELANDINGAN
BANGLI~KINTAMANI~15~BNL01~KINTAMANI~BELANGA
BANGLI~KINTAMANI~16~BNL01~KINTAMANI~BELANTIH
BANGLI~KINTAMANI~17~BNL01~KINTAMANI~BINYAN
BANGLI~KINTAMANI~18~BNL01~KINTAMANI~BONYOH
BANGLI~KINTAMANI~19~BNL01~KINTAMANI~BUAHAN
BANGLI~KINTAMANI~20~BNL01~KINTAMANI~BUNUTIN
BANGLI~KINTAMANI~21~BNL01~KINTAMANI~CATUR
BANGLI~KINTAMANI~22~BNL01~KINTAMANI~DAUP
BANGLI~KINTAMANI~23~BNL01~KINTAMANI~DAUSA
BANGLI~KINTAMANI~24~BNL01~KINTAMANI~GUNUNGBAU
BANGLI~KINTAMANI~25~BNL01~KINTAMANI~KATUNG
BANGLI~KINTAMANI~26~BNL01~KINTAMANI~KEDISAN
BANGLI~KINTAMANI~27~BNL01~KINTAMANI~KINTAMANI
BANGLI~KINTAMANI~28~BNL01~KINTAMANI~KUTUH
BANGLI~KINTAMANI~29~BNL01~KINTAMANI~LANGGAHAN
BANGLI~KINTAMANI~30~BNL01~KINTAMANI~LEMBEAN
BANGLI~KINTAMANI~31~BNL01~KINTAMANI~MANGGUH
BANGLI~KINTAMANI~32~BNL01~KINTAMANI~MANIKLIYU
BANGLI~KINTAMANI~33~BNL01~KINTAMANI~MENGANI
BANGLI~KINTAMANI~34~BNL01~KINTAMANI~PENGEJARAN
BANGLI~KINTAMANI~35~BNL01~KINTAMANI~PINGGAN
BANGLI~KINTAMANI~36~BNL01~KINTAMANI~SATRA
BANGLI~KINTAMANI~37~BNL01~KINTAMANI~SEKAAN
BANGLI~KINTAMANI~38~BNL01~KINTAMANI~SEKARDADI
BANGLI~KINTAMANI~39~BNL01~KINTAMANI~SELULUNG
BANGLI~KINTAMANI~40~BNL01~KINTAMANI~SERAHI
BANGLI~KINTAMANI~41~BNL01~KINTAMANI~SIYAKIN
BANGLI~KINTAMANI~42~BNL01~KINTAMANI~SONGAN A
BANGLI~KINTAMANI~43~BNL01~KINTAMANI~SONGAN B
BANGLI~KINTAMANI~44~BNL01~KINTAMANI~SUBAYA
BANGLI~KINTAMANI~45~BNL01~KINTAMANI~SUKAWANA
BANGLI~KINTAMANI~46~BNL01~KINTAMANI~SUTER
BANGLI~KINTAMANI~47~BNL01~KINTAMANI~TERUNYAN
BANGLI~KINTAMANI~48~BNL01~KINTAMANI~ULIAN
BANGLI~SUSUT~1~BNL01~SUSUT~ABUAN
BANGLI~SUSUT~2~BNL01~SUSUT~APUAN
BANGLI~SUSUT~3~BNL01~SUSUT~DEMULIH
BANGLI~SUSUT~4~BNL01~SUSUT~PENGIANGAN
BANGLI~SUSUT~5~BNL01~SUSUT~PENGLUMBARAN
BANGLI~SUSUT~6~BNL01~SUSUT~SELAT
BANGLI~SUSUT~7~BNL01~SUSUT~SULAHAN
BANGLI~SUSUT~8~BNL01~SUSUT~SUSUT
BANGLI~SUSUT~9~BNL01~SUSUT~TIGA
BANGLI~TEMBUKU~1~BNL01~TEMBUKU~BANGBANG
BANGLI~TEMBUKU~2~BNL01~TEMBUKU~JEHEM
BANGLI~TEMBUKU~3~BNL01~TEMBUKU~PENINJOAN
BANGLI~TEMBUKU~4~BNL01~TEMBUKU~TEMBUKU
BANGLI~TEMBUKU~5~BNL01~TEMBUKU~UNDISAN
BANGLI~TEMBUKU~6~BNL01~TEMBUKU~YANGAPI
