KEDIRI~BADAS~1~KDR02~BADAS~LAMONG
KEDIRI~BADAS~2~KDR02~BADAS~CANGGU
KEDIRI~BADAS~3~KDR02~BADAS~KRECEK
KEDIRI~BADAS~4~KDR02~BADAS~BLARU
KEDIRI~BADAS~5~KDR02~BADAS~BADAS
KEDIRI~BADAS~6~KDR02~BADAS~TUNGLUR
KEDIRI~BADAS~7~KDR02~BADAS~SEKOTO
KEDIRI~BADAS~8~KDR02~BADAS~BRINGIN
KEDIRI~BANYAKAN~1~KDR02~BANYAKAN~BANYAKAN
KEDIRI~BANYAKAN~2~KDR02~BANYAKAN~JABON
KEDIRI~BANYAKAN~3~KDR02~BANYAKAN~JATIREJO
KEDIRI~BANYAKAN~4~KDR02~BANYAKAN~MANYARAN
KEDIRI~BANYAKAN~5~KDR02~BANYAKAN~MARON
KEDIRI~BANYAKAN~6~KDR02~BANYAKAN~NGABLAK
KEDIRI~BANYAKAN~7~KDR02~BANYAKAN~PARANG
KEDIRI~BANYAKAN~8~KDR02~BANYAKAN~SENDANG
KEDIRI~BANYAKAN~9~KDR02~BANYAKAN~TIRON
KEDIRI~GAMPENGREJO~1~KDR02~GAMPENGREJO~GAMPENG GAMPING
KEDIRI~GAMPENGREJO~2~KDR02~GAMPENGREJO~JONGBIRU
KEDIRI~GAMPENGREJO~3~KDR02~GAMPENGREJO~KALIBELO
KEDIRI~GAMPENGREJO~4~KDR02~GAMPENGREJO~KEPUHREJO
KEDIRI~GAMPENGREJO~5~KDR02~GAMPENGREJO~NGEBRAK
KEDIRI~GAMPENGREJO~6~KDR02~GAMPENGREJO~PLOSOREJO
KEDIRI~GAMPENGREJO~7~KDR02~GAMPENGREJO~PUTIH
KEDIRI~GAMPENGREJO~8~KDR02~GAMPENGREJO~SAMBIREJO
KEDIRI~GAMPENGREJO~9~KDR02~GAMPENGREJO~SAMBIRESIK
KEDIRI~GAMPENGREJO~10~KDR02~GAMPENGREJO~TURUS
KEDIRI~GAMPENGREJO~11~KDR02~GAMPENGREJO~WANENGPATEN
KEDIRI~GROGOL~1~KDR02~GROGOL~BAKALAN
KEDIRI~GROGOL~2~KDR02~GROGOL~CERME
KEDIRI~GROGOL~3~KDR02~GROGOL~DATENGAN
KEDIRI~GROGOL~4~KDR02~GROGOL~GAMBYOK
KEDIRI~GROGOL~5~KDR02~GROGOL~GROGOL
KEDIRI~GROGOL~6~KDR02~GROGOL~KALIPANG
KEDIRI~GROGOL~7~KDR02~GROGOL~SONOREJO
KEDIRI~GROGOL~8~KDR02~GROGOL~SUMBEREJO
KEDIRI~GROGOL~9~KDR02~GROGOL~WONOASRI
KEDIRI~GURAH~1~KDR02~GURAH~GAYAM
KEDIRI~GURAH~2~KDR02~GURAH~ADANADAN
KEDIRI~GURAH~3~KDR02~GURAH~BANGKOK
KEDIRI~GURAH~4~KDR02~GURAH~BANYUANYAR
KEDIRI~GURAH~5~KDR02~GURAH~BESUK
KEDIRI~GURAH~6~KDR02~GURAH~BLIMBING
KEDIRI~GURAH~7~KDR02~GURAH~BOGEM
KEDIRI~GURAH~8~KDR02~GURAH~GABRU
KEDIRI~GURAH~9~KDR02~GURAH~GEMPOLAN
KEDIRI~GURAH~10~KDR02~GURAH~GURAH
KEDIRI~GURAH~11~KDR02~GURAH~KERKEP
KEDIRI~GURAH~12~KDR02~GURAH~KRANGGAN
KEDIRI~GURAH~13~KDR02~GURAH~NGASEM
KEDIRI~GURAH~14~KDR02~GURAH~NGLUMBANG
KEDIRI~GURAH~15~KDR02~GURAH~SUKOREJO
KEDIRI~GURAH~16~KDR02~GURAH~SUMBERCANGKRING
KEDIRI~GURAH~17~KDR02~GURAH~TAMBAKREJO
KEDIRI~GURAH~18~KDR02~GURAH~TIRU KIDUL
KEDIRI~GURAH~19~KDR02~GURAH~TIRU LOR
KEDIRI~GURAH~20~KDR02~GURAH~TURUS
KEDIRI~GURAH~21~KDR02~GURAH~WONOJOYO
KEDIRI~KANDANGAN~1~KDR03~KANDANGAN~BANARAN
KEDIRI~KANDANGAN~2~KDR03~KANDANGAN~BUKUR
KEDIRI~KANDANGAN~3~KDR03~KANDANGAN~JERUKGULUNG
KEDIRI~KANDANGAN~4~KDR03~KANDANGAN~JERUKWANGI
KEDIRI~KANDANGAN~5~KDR03~KANDANGAN~JLUMBANG
KEDIRI~KANDANGAN~6~KDR03~KANDANGAN~KANDANGAN
KEDIRI~KANDANGAN~7~KDR03~KANDANGAN~KARANGTENGAH
