BATU~BUMIAJI~1~BAT01~BUMIAJI~BULUKERTO
BATU~BUMIAJI~2~BAT01~BUMIAJI~BUMIAJI
BATU~BUMIAJI~3~BAT01~BUMIAJI~GIRIPURNO
BATU~BUMIAJI~4~BAT01~BUMIAJI~GUNUNGSARI
BATU~BUMIAJI~5~BAT01~BUMIAJI~PANDANREJO
BATU~BUMIAJI~6~BAT01~BUMIAJI~PUNTEN
BATU~BUMIAJI~7~BAT01~BUMIAJI~SUMBERGONDO
BATU~BUMIAJI~8~BAT01~BUMIAJI~TULUNGREJO
BATU~BUMIAJI~9~BAT01~BUMIAJI~SUMBER BRANTAS
BATU~DAU~1~BAT01~DAU~KUCUR
BATU~DAU~2~BAT01~DAU~KALISONGO
BATU~DAU~3~BAT01~DAU~KARANGWIDORO
BATU~DAU~4~BAT01~DAU~PETUNGSEWU
BATU~DAU~5~BAT01~DAU~SELOREJO
BATU~DAU~6~BAT01~DAU~TEGALWARU
BATU~DAU~7~BAT01~DAU~LANDUNGSARI
BATU~DAU~8~BAT01~DAU~MULYOAGUNG
BATU~DAU~9~BAT01~DAU~GADINGKULON
BATU~JUNREJO~1~BAT01~JUNREJO~BEJI
BATU~JUNREJO~2~BAT01~JUNREJO~DADAPREJO
BATU~JUNREJO~3~BAT01~JUNREJO~JUNREJO
BATU~JUNREJO~4~BAT01~JUNREJO~MOJOREJO
BATU~JUNREJO~5~BAT01~JUNREJO~PENDEM
BATU~JUNREJO~6~BAT01~JUNREJO~TLEKUNG
BATU~JUNREJO~7~BAT01~JUNREJO~TORONGREJO
BATU~KASEMBON~1~BAT01~KASEMBON~PONDOKAGUNG
BATU~KASEMBON~2~BAT01~KASEMBON~BAYEM
BATU~KASEMBON~3~BAT01~KASEMBON~PAIT
BATU~KASEMBON~4~BAT01~KASEMBON~WONOAGUNG
BATU~KASEMBON~5~BAT01~KASEMBON~KASEMBON
BATU~KASEMBON~6~BAT01~KASEMBON~SUKOSARI
BATU~NGANTANG~1~BAT01~NGANTANG~PAGERSARI
BATU~NGANTANG~2~BAT01~NGANTANG~SIDODADI
BATU~NGANTANG~3~BAT01~NGANTANG~BANJAREJO
BATU~NGANTANG~4~BAT01~NGANTANG~PURWOREJO
BATU~NGANTANG~5~BAT01~NGANTANG~NGANTRU
BATU~NGANTANG~6~BAT01~NGANTANG~BANTUREJO
BATU~NGANTANG~7~BAT01~NGANTANG~PANDANSARI
BATU~NGANTANG~8~BAT01~NGANTANG~MULYOREJO
BATU~NGANTANG~9~BAT01~NGANTANG~SUMBERAGUNG
BATU~NGANTANG~10~BAT01~NGANTANG~KAUMREJO
BATU~NGANTANG~11~BAT01~NGANTANG~TULUNGREJO
BATU~NGANTANG~12~BAT01~NGANTANG~WATUREJO
BATU~NGANTANG~13~BAT01~NGANTANG~JOMBOK
BATU~ORO ORO OMBO~1~BAT01~ORO ORO OMBO~ORO ORO OMBO
BATU~ORO ORO OMBO~2~BAT01~ORO ORO OMBO~SIDOMUYO
BATU~ORO ORO OMBO~3~BAT01~ORO ORO OMBO~SUMBEREJO
BATU~ORO ORO OMBO~4~BAT01~ORO ORO OMBO~NGAGLIK
BATU~ORO ORO OMBO~5~BAT01~ORO ORO OMBO~SISIR
BATU~ORO ORO OMBO~6~BAT01~ORO ORO OMBO~SONGGOKERTO
BATU~ORO ORO OMBO~7~BAT01~ORO ORO OMBO~TEMAS
BATU~PUJON~1~BAT01~PUJON~BENDOSARI
BATU~PUJON~2~BAT01~PUJON~SUKOMULYO
BATU~PUJON~3~BAT01~PUJON~PUJON KIDUL
BATU~PUJON~4~BAT01~PUJON~PUJON LOR
BATU~PUJON~5~BAT01~PUJON~PANDENSARI
BATU~PUJON~6~BAT01~PUJON~NGROTO
BATU~PUJON~7~BAT01~PUJON~NGABAB
BATU~PUJON~8~BAT01~PUJON~TAWANGSARI
BATU~PUJON~9~BAT01~PUJON~MADIREDO
BATU~PUJON~10~BAT01~PUJON~WIYUREJO
