BORONG~ELAR~1~BOR01~ELAR~BITING
BORONG~ELAR~2~BOR01~ELAR~GISING
BORONG~ELAR~3~BOR01~ELAR~GOLO LEBO
BORONG~ELAR~4~BOR01~ELAR~GOLO LIJUN
BORONG~ELAR~5~BOR01~ELAR~GOLO LINUS
BORONG~ELAR~6~BOR01~ELAR~GOLO MUNDE
BORONG~ELAR~7~BOR01~ELAR~GOLO WUAS
BORONG~ELAR~8~BOR01~ELAR~HAJU NGENDONG
BORONG~ELAR~9~BOR01~ELAR~LANGGASAI
BORONG~ELAR~10~BOR01~ELAR~LEGUR LAI
BORONG~ELAR~11~BOR01~ELAR~LEMPANG PAJI
BORONG~ELAR~12~BOR01~ELAR~LENGKO NAMUT
BORONG~ELAR~13~BOR01~ELAR~NANGA MEJE
BORONG~ELAR~14~BOR01~ELAR~PAAN WARU
BORONG~ELAR~15~BOR01~ELAR~RANA GAPANG
BORONG~ELAR~16~BOR01~ELAR~RANA KULAN
BORONG~ELAR~17~BOR01~ELAR~SANGAN KALO
BORONG~ELAR~18~BOR01~ELAR~SIPI
BORONG~ELAR~19~BOR01~ELAR~SISIR
BORONG~ELAR~20~BOR01~ELAR~TENO MESE
BORONG~ELAR~21~BOR01~ELAR~TIWU KONDO
BORONG~POCO RANAKA~7~BOR01~POCO RANAKA~COMPANG WUNIS
BORONG~POCO RANAKA~8~BOR01~POCO RANAKA~GOLO LERO
BORONG~POCO RANAKA~9~BOR01~POCO RANAKA~GOLO LOBOS
BORONG~POCO RANAKA~10~BOR01~POCO RANAKA~GOLO NDARI
BORONG~POCO RANAKA~11~BOR01~POCO RANAKA~GOLO NDERU
BORONG~POCO RANAKA~12~BOR01~POCO RANAKA~GURUNG TURI
BORONG~POCO RANAKA~13~BOR01~POCO RANAKA~LENANG
BORONG~POCO RANAKA~14~BOR01~POCO RANAKA~LEONG
BORONG~POCO RANAKA~15~BOR01~POCO RANAKA~MANDO SAWU
BORONG~POCO RANAKA~16~BOR01~POCO RANAKA~MELO
BORONG~POCO RANAKA~17~BOR01~POCO RANAKA~NGGALAK LELENG
BORONG~POCO RANAKA~18~BOR01~POCO RANAKA~NGKIONG DORA
BORONG~POCO RANAKA~19~BOR01~POCO RANAKA~POCOLIA
BORONG~POCO RANAKA~20~BOR01~POCO RANAKA~POCONG
BORONG~POCO RANAKA~21~BOR01~POCO RANAKA~RENDE NAO
BORONG~POCO RANAKA~22~BOR01~POCO RANAKA~RENGKAM
BORONG~POCO RANAKA~23~BOR01~POCO RANAKA~SATAR TESEM
BORONG~POCO RANAKA~24~BOR01~POCO RANAKA~TANGO MOLAS
BORONG~POCO RANAKA~25~BOR01~POCO RANAKA~ULU WAE
BORONG~POCO RANAKA~26~BOR01~POCO RANAKA~WANGKAR WELI
BORONG~POCO RANAKA~27~BOR01~POCO RANAKA~WATU ARUS
BORONG~POCO RANAKA~28~BOR01~POCO RANAKA~WATU LANUR
BORONG~SAMBI RAMPAS~1~BOR01~SAMBI RAMPAS~BUTI
BORONG~SAMBI RAMPAS~2~BOR01~SAMBI RAMPAS~COMPANG CONGKAR
BORONG~SAMBI RAMPAS~3~BOR01~SAMBI RAMPAS~GOLO NGAWAN
BORONG~SAMBI RAMPAS~4~BOR01~SAMBI RAMPAS~GOLO WANGKUNG
BORONG~SAMBI RAMPAS~5~BOR01~SAMBI RAMPAS~LADA MESE
BORONG~SAMBI RAMPAS~6~BOR01~SAMBI RAMPAS~NANGA BARAS
BORONG~SAMBI RAMPAS~7~BOR01~SAMBI RAMPAS~NANGA MBALING
BORONG~SAMBI RAMPAS~8~BOR01~SAMBI RAMPAS~NANGA MBAUR
BORONG~SAMBI RAMPAS~9~BOR01~SAMBI RAMPAS~POTA
BORONG~SAMBI RAMPAS~10~BOR01~SAMBI RAMPAS~RANA MESE
BORONG~SAMBI RAMPAS~11~BOR01~SAMBI RAMPAS~SATAR NAWANG
