SANGGAU~BALAI~1~SAG02~BALAI~BULU BALA
SANGGAU~BALAI~2~SAG02~BALAI~COWET CUWET
SANGGAU~BALAI~3~SAG02~BALAI~EMPIRANG UJUNG
SANGGAU~BALAI~4~SAG02~BALAI~HILIR
SANGGAU~BALAI~5~SAG02~BALAI~KAWING MAK KAWING
SANGGAU~BALAI~6~SAG02~BALAI~KEBADU
SANGGAU~BALAI~7~SAG02~BALAI~PADI KAYE
SANGGAU~BALAI~8~SAG02~BALAI~SEMONCOL
SANGGAU~BALAI~9~SAG02~BALAI~SENYABANG
SANGGAU~BALAI~10~SAG02~BALAI~TAE
SANGGAU~BALAI~11~SAG02~BALAI~TEMIANG MALI
SANGGAU~BALAI~12~SAG02~BALAI~TEMIANG TABA
SANGGAU~BEDUAI~1~SAG02~BEDUAI~BERENG BERKAWAT
SANGGAU~BEDUAI~2~SAG02~BEDUAI~KASROMEGO
SANGGAU~BEDUAI~3~SAG02~BEDUAI~MAWANG MUDA
SANGGAU~BEDUAI~4~SAG02~BEDUAI~SEISUNGAI ILAI
SANGGAU~BEDUAI~5~SAG02~BEDUAI~THANG RAYA
SANGGAU~BONTI~1~SAG01~BONTI~BAHTA
SANGGAU~BONTI~2~SAG01~BONTI~BANTAI
SANGGAU~BONTI~3~SAG01~BONTI~BONTI
SANGGAU~BONTI~4~SAG01~BONTI~EMPODIS
SANGGAU~BONTI~5~SAG01~BONTI~KAMPUH
SANGGAU~BONTI~6~SAG01~BONTI~MAJEL
SANGGAU~BONTI~7~SAG01~BONTI~SAMI
SANGGAU~BONTI~8~SAG01~BONTI~TUNGGUL BOYOK
SANGGAU~BONTI~9~SAG01~BONTI~UPE
SANGGAU~ENTIKONG~1~SAG01~ENTIKONG~ENTIKONG
SANGGAU~ENTIKONG~2~SAG01~ENTIKONG~NEKAN
SANGGAU~ENTIKONG~3~SAG01~ENTIKONG~PALA ASANG PALAPASANG
SANGGAU~ENTIKONG~4~SAG01~ENTIKONG~SEMANGIT SEMANGET
SANGGAU~ENTIKONG~5~SAG01~ENTIKONG~SURUH TEMBAWANG
SANGGAU~JANGKANG~1~SAG01~JANGKANG~BALAI SEBUT
SANGGAU~JANGKANG~2~SAG01~JANGKANG~EMPIYANG
SANGGAU~JANGKANG~3~SAG01~JANGKANG~JANGKANG BENUA
SANGGAU~JANGKANG~4~SAG01~JANGKANG~KETORI
SANGGAU~JANGKANG~5~SAG01~JANGKANG~PISANG
SANGGAU~JANGKANG~6~SAG01~JANGKANG~SAPE
SANGGAU~JANGKANG~7~SAG01~JANGKANG~SELAMPUNG
SANGGAU~JANGKANG~8~SAG01~JANGKANG~SEMIRAU
SANGGAU~JANGKANG~9~SAG01~JANGKANG~SEMOMBAT
SANGGAU~JANGKANG~10~SAG01~JANGKANG~TANGGUNG
SANGGAU~JANGKANG~11~SAG01~JANGKANG~TERATI
SANGGAU~KEMBAYAN~1~SAG02~KEMBAYAN~KELOMPU
SANGGAU~KEMBAYAN~2~SAG02~KEMBAYAN~KUALA DUA
SANGGAU~KEMBAYAN~3~SAG02~KEMBAYAN~MOBUI
SANGGAU~KEMBAYAN~4~SAG02~KEMBAYAN~SEBONGKUH
SANGGAU~KEMBAYAN~5~SAG02~KEMBAYAN~SEBUDUH
SANGGAU~KEMBAYAN~6~SAG02~KEMBAYAN~SEJUAH
SANGGAU~KEMBAYAN~7~SAG02~KEMBAYAN~SEMAYANG
SANGGAU~KEMBAYAN~8~SAG02~KEMBAYAN~TANAP
SANGGAU~KEMBAYAN~9~SAG02~KEMBAYAN~TANJUNG BUNGA
SANGGAU~KEMBAYAN~10~SAG02~KEMBAYAN~TANJUNG MERPATI
SANGGAU~KEMBAYAN~11~SAG02~KEMBAYAN~TUNGGAL BHAKTI
SANGGAU~MELIAU~1~SAG01~MELIAU~BAKTI JAYA
SANGGAU~MELIAU~2~SAG01~MELIAU~BALAI TINGGI
SANGGAU~MELIAU~3~SAG01~MELIAU~BARU LOMBAK
SANGGAU~MELIAU~4~SAG01~MELIAU~CUPANG
SANGGAU~MELIAU~5~SAG01~MELIAU~ENGGADAI
SANGGAU~MELIAU~6~SAG01~MELIAU~HARAPAN MAKMUR
SANGGAU~MELIAU~7~SAG01~MELIAU~KUALA BUAYAN
SANGGAU~MELIAU~8~SAG01~MELIAU~KUALA ROSAN
SANGGAU~MELIAU~9~SAG01~MELIAU~KUNYIL
SANGGAU~MELIAU~10~SAG01~MELIAU~LALANG
SANGGAU~MELIAU~11~SAG01~MELIAU~MELIAU HILIR
SANGGAU~MELIAU~12~SAG01~MELIAU~MELIAU HULU
SANGGAU~MELIAU~13~SAG01~MELIAU~MELOBOK
SANGGAU~MELIAU~14~SAG01~MELIAU~MERANGGAU
SANGGAU~MELIAU~15~SAG01~MELIAU~MUKTI JAYA
SANGGAU~MELIAU~16~SAG01~MELIAU~PAMPANG DUA
SANGGAU~MELIAU~17~SAG01~MELIAU~SEI SUNGAI KEMBAYAU
SANGGAU~MELIAU~18~SAG01~MELIAU~SEI SUNGAI MAYAN
SANGGAU~MUKOK~1~SAG01~MUKOK~ENGKODE
SANGGAU~MUKOK~2~SAG01~MUKOK~INGGIS
SANGGAU~MUKOK~3~SAG01~MUKOK~KEDUKUL
SANGGAU~MUKOK~4~SAG01~MUKOK~LAYAK OMANG
SANGGAU~MUKOK~5~SAG01~MUKOK~SEISUNGAI MAWANG
SANGGAU~MUKOK~6~SAG01~MUKOK~SEMANGGIS RAYA
SANGGAU~MUKOK~7~SAG01~MUKOK~SEMUNTAI
SANGGAU~MUKOK~8~SAG01~MUKOK~TRIMULYA
SANGGAU~NOYAN~1~SAG01~NOYAN~EMPOTO
SANGGAU~NOYAN~2~SAG01~NOYAN~IDAS
SANGGAU~NOYAN~3~SAG01~NOYAN~NOYAN
SANGGAU~NOYAN~4~SAG01~NOYAN~SEISUNGAI DANGIN
SANGGAU~NOYAN~5~SAG01~NOYAN~SEMONGAN
SANGGAU~PARINDU~1~SAG01~PARINDU~DOSAN
SANGGAU~PARINDU~2~SAG01~PARINDU~EMBALA
SANGGAU~PARINDU~3~SAG01~PARINDU~GUNAM
SANGGAU~PARINDU~4~SAG01~PARINDU~HIBUN
SANGGAU~PARINDU~5~SAG01~PARINDU~MAJU KARYA
SANGGAU~PARINDU~6~SAG01~PARINDU~MARIGIN JAYA
SANGGAU~PARINDU~7~SAG01~PARINDU~MARITA
SANGGAU~PARINDU~8~SAG01~PARINDU~PALEM JAYA
SANGGAU~PARINDU~9~SAG01~PARINDU~PANDU RAYA
SANGGAU~PARINDU~10~SAG01~PARINDU~PUSAT DAMAI
SANGGAU~PARINDU~11~SAG01~PARINDU~RAHAYU
SANGGAU~PARINDU~12~SAG01~PARINDU~SEBARA
SANGGAU~PARINDU~13~SAG01~PARINDU~SUKA GRUNDI
SANGGAU~PARINDU~14~SAG01~PARINDU~SUKA MULYA
SANGGAU~SANGGAU KAPUAS~1~SAG01~SANGGAU KAPUAS~DESA ILIR KOTA
SANGGAU~SANGGAU KAPUAS~2~SAG01~SANGGAU KAPUAS~SUNGAI SEKUANG
SANGGAU~SANGGAU KAPUAS~3~SAG01~SANGGAU KAPUAS~TANJUNG SEKAYAM
SANGGAU~SANGGAU KAPUAS~4~SAG01~SANGGAU KAPUAS~BUNUT
SANGGAU~SANGGAU KAPUAS~5~SAG01~SANGGAU KAPUAS~BERINGIN
SANGGAU~SANGGAU KAPUAS~6~SAG01~SANGGAU KAPUAS~TANJUNG SEKAYAM
SANGGAU~SANGGAU KAPUAS~7~SAG01~SANGGAU KAPUAS~LAPE
SANGGAU~SANGGAU KAPUAS~8~SAG01~SANGGAU KAPUAS~PANA
SANGGAU~SANGGAU KAPUAS~9~SAG01~SANGGAU KAPUAS~SEISUNGAI SENGKUANG
SANGGAU~SANGGAU KAPUAS~10~SAG01~SANGGAU KAPUAS~TANJUNG SEKAYAM
SANGGAU~SANGGAU KAPUAS~11~SAG01~SANGGAU KAPUAS~BELANGIN
SANGGAU~SANGGAU KAPUAS~12~SAG01~SANGGAU KAPUAS~ENTAKAI
SANGGAU~SANGGAU KAPUAS~13~SAG01~SANGGAU KAPUAS~KAMBONG
SANGGAU~SANGGAU KAPUAS~14~SAG01~SANGGAU KAPUAS~LINTANG KAPUAS
SANGGAU~SANGGAU KAPUAS~15~SAG01~SANGGAU KAPUAS~LINTANG PELAMAN
SANGGAU~SANGGAU KAPUAS~16~SAG01~SANGGAU KAPUAS~MENGKIANG
SANGGAU~SANGGAU KAPUAS~17~SAG01~SANGGAU KAPUAS~NANGA BIANG
SANGGAU~SANGGAU KAPUAS~18~SAG01~SANGGAU KAPUAS~PENYELADI
SANGGAU~SANGGAU KAPUAS~19~SAG01~SANGGAU KAPUAS~PENYELIMAU HILIR
SANGGAU~SANGGAU KAPUAS~20~SAG01~SANGGAU KAPUAS~PENYELIMAU JAYA
SANGGAU~SANGGAU KAPUAS~21~SAG01~SANGGAU KAPUAS~RAMBIN
SANGGAU~SANGGAU KAPUAS~22~SAG01~SANGGAU KAPUAS~SEISUNGAI ALAI
SANGGAU~SANGGAU KAPUAS~23~SAG01~SANGGAU KAPUAS~SEISUNGAI BATU
SANGGAU~SANGGAU KAPUAS~24~SAG01~SANGGAU KAPUAS~SEISUNGAI MAWANG
SANGGAU~SANGGAU KAPUAS~25~SAG01~SANGGAU KAPUAS~SEISUNGAI MUNTIK
SANGGAU~SANGGAU KAPUAS~26~SAG01~SANGGAU KAPUAS~SEMERANGKAI
SANGGAU~SANGGAU KAPUAS~27~SAG01~SANGGAU KAPUAS~TANJUNG KAPUAS
SANGGAU~SEKAYAM~1~SAG02~SEKAYAM~BALAI KARANGAN
SANGGAU~SEKAYAM~2~SAG02~SEKAYAM~BUNGKANG
