JEPARA~BANGSRI~1~JPR02~BANGSRI~BANGSRI
JEPARA~BANGSRI~2~JPR02~BANGSRI~BANJAR AGUNG
JEPARA~BANGSRI~3~JPR02~BANGSRI~BONDO
JEPARA~BANGSRI~4~JPR02~BANGSRI~GUYANGAN
JEPARA~BANGSRI~5~JPR02~BANGSRI~KEDUNGLEPER
JEPARA~BANGSRI~6~JPR02~BANGSRI~KEPUK
JEPARA~BANGSRI~7~JPR02~BANGSRI~PAPASAN
JEPARA~BANGSRI~8~JPR02~BANGSRI~SRIKANDANG
JEPARA~BANGSRI~9~JPR02~BANGSRI~TENGGULI
JEPARA~BANGSRI~10~JPR02~BANGSRI~WEDELAN
JEPARA~BATEALIT~1~JPR01~BATEALIT~BANTARUNG
JEPARA~BATEALIT~2~JPR01~BATEALIT~MINDAHAN KIDUL
JEPARA~BATEALIT~3~JPR01~BATEALIT~BATEALIT
JEPARA~BATEALIT~4~JPR01~BATEALIT~BAWU
JEPARA~BATEALIT~5~JPR01~BATEALIT~BRINGIN
JEPARA~BATEALIT~6~JPR01~BATEALIT~GENENG
JEPARA~BATEALIT~7~JPR01~BATEALIT~MINDAHAN
JEPARA~BATEALIT~8~JPR01~BATEALIT~NGASEM
JEPARA~BATEALIT~9~JPR01~BATEALIT~PEKALONGAN
JEPARA~BATEALIT~10~JPR01~BATEALIT~REGUKLAMPITAN
JEPARA~BATEALIT~11~JPR01~BATEALIT~SOMOSARI
JEPARA~DONOREJO~1~JPR02~DONOREJO~BANDUNGHARJO
JEPARA~DONOREJO~2~JPR02~DONOREJO~BANYUMANIS
JEPARA~DONOREJO~3~JPR02~DONOREJO~BLINGOH
JEPARA~DONOREJO~4~JPR02~DONOREJO~CLERING
JEPARA~DONOREJO~5~JPR02~DONOREJO~JUGO
JEPARA~DONOREJO~6~JPR02~DONOREJO~SUMBEREJO
JEPARA~DONOREJO~7~JPR02~DONOREJO~TULUKAN
JEPARA~DONOREJO~8~JPR02~DONOREJO~UJUNGWATU
JEPARA~JEPARA~1~JPR04~JEPARA~BAPANGAN
JEPARA~JEPARA~2~JPR04~JEPARA~BULU
JEPARA~JEPARA~3~JPR04~JEPARA~DEMAAN
JEPARA~JEPARA~4~JPR04~JEPARA~JOBOKUTO
JEPARA~JEPARA~5~JPR04~JEPARA~KARANGKEBAGUSAN
JEPARA~JEPARA~6~JPR04~JEPARA~KAUMAN
JEPARA~JEPARA~7~JPR04~JEPARA~PANGGANG
JEPARA~JEPARA~8~JPR04~JEPARA~PENGOL
JEPARA~JEPARA~9~JPR04~JEPARA~POTROYUDAN
JEPARA~JEPARA~10~JPR04~JEPARA~SARIPAN
JEPARA~JEPARA~11~JPR04~JEPARA~UJUNGBATU
JEPARA~KALING~1~JPR02~KALING~BUMIHARJO
JEPARA~KALING~2~JPR02~KALING~DAMARWULAN
JEPARA~KALING~3~JPR02~KALING~TEMPUR
JEPARA~KALING~4~JPR02~KALING~GELANG
JEPARA~KALING~5~JPR02~KALING~JLEGONG
JEPARA~KALING~6~JPR02~KALING~KALIGARANG
JEPARA~KALING~7~JPR02~KALING~KELET
JEPARA~KALING~8~JPR02~KALING~KELING
JEPARA~KALING~9~JPR02~KALING~KLEPU
JEPARA~KALING~10~JPR02~KALING~KUNIR
JEPARA~KALING~11~JPR02~KALING~TUNAHAN
JEPARA~KALING~12~JPR02~KALING~WATUAJI
JEPARA~KALINYAMANTAN~1~JPR01~KALINYAMANTAN~BANDUNGREJO
JEPARA~KALINYAMANTAN~2~JPR01~KALINYAMANTAN~BANYUPUTIH
JEPARA~KALINYAMANTAN~3~JPR01~KALINYAMANTAN~BATUKALI
JEPARA~KALINYAMANTAN~4~JPR01~KALINYAMANTAN~DAMARJATI
JEPARA~KALINYAMANTAN~5~JPR01~KALINYAMANTAN~MANYARGADING
JEPARA~KALINYAMANTAN~6~JPR01~KALINYAMANTAN~PENDOSAWALAN
JEPARA~KALINYAMANTAN~7~JPR01~KALINYAMANTAN~PURWOGONDO
JEPARA~KALINYAMANTAN~8~JPR01~KALINYAMANTAN~SENDANG
JEPARA~KARIMUNJAWA~1~JPR01~KARIMUNJAWA~KEMOJAN
JEPARA~KARIMUNJAWA~2~JPR01~KARIMUNJAWA~KARIMUNJAWA
JEPARA~KARIMUNJAWA~3~JPR01~KARIMUNJAWA~NYAMUK
JEPARA~KARIMUNJAWA~4~JPR01~KARIMUNJAWA~PARANG
JEPARA~KEDUNG~1~JPR01~KEDUNG~BUGEL
JEPARA~KEDUNG~2~JPR01~KEDUNG~BURAKBARU
JEPARA~KEDUNG~3~JPR01~KEDUNG~DONGOS
JEPARA~KEDUNG~4~JPR01~KEDUNG~JONDANG
JEPARA~KEDUNG~5~JPR01~KEDUNG~KALIANYAR
JEPARA~KEDUNG~6~JPR01~KEDUNG~KARANGJATI
JEPARA~KEDUNG~7~JPR01~KEDUNG~KEDUNGMALANG
JEPARA~KEDUNG~8~JPR01~KEDUNG~KERSO
