AMBON~BAGUALA~1~AMQ01~BAGUALA~HALONG
AMBON~BAGUALA~2~AMQ01~BAGUALA~LATERI
AMBON~BAGUALA~3~AMQ01~BAGUALA~LATTA
AMBON~BAGUALA~4~AMQ01~BAGUALA~NANIA
AMBON~BAGUALA~5~AMQ01~BAGUALA~NEGERI LAMA
AMBON~BAGUALA~6~AMQ01~BAGUALA~PASSO
AMBON~BAGUALA~7~AMQ01~BAGUALA~WAIHERU
AMBON~LEITIMUR SELATAN~1~AMQ01~LEITIMUR SELATAN~EMA
AMBON~LEITIMUR SELATAN~2~AMQ01~LEITIMUR SELATAN~HATALAI
AMBON~LEITIMUR SELATAN~3~AMQ01~LEITIMUR SELATAN~HUKURILA
AMBON~LEITIMUR SELATAN~4~AMQ01~LEITIMUR SELATAN~KILANG
AMBON~LEITIMUR SELATAN~5~AMQ01~LEITIMUR SELATAN~NAKU
AMBON~LEITIMUR SELATAN~6~AMQ01~LEITIMUR SELATAN~HUTUMURI
AMBON~LEITIMUR SELATAN~7~AMQ01~LEITIMUR SELATAN~LEAHARI
AMBON~LEITIMUR SELATAN~8~AMQ01~LEITIMUR SELATAN~RUTONG
AMBON~NUSANIWE~1~AMQ01~NUSANIWE~SILALE
AMBON~NUSANIWE~2~AMQ01~NUSANIWE~WAIHAONG
AMBON~NUSANIWE~3~AMQ01~NUSANIWE~URIMESSING URIMESING DESA
AMBON~NUSANIWE~4~AMQ01~NUSANIWE~URIMESSING URIMESING KELURAHAN
AMBON~NUSANIWE~5~AMQ01~NUSANIWE~MANGGA DUA
AMBON~NUSANIWE~6~AMQ01~NUSANIWE~WAINITU WAINATU
AMBON~NUSANIWE~7~AMQ01~NUSANIWE~KUDAMATI
AMBON~NUSANIWE~8~AMQ01~NUSANIWE~AMAHUSU
AMBON~NUSANIWE~9~AMQ01~NUSANIWE~BENTENG
AMBON~NUSANIWE~10~AMQ01~NUSANIWE~NUSANIWE
AMBON~NUSANIWE~11~AMQ01~NUSANIWE~NUSANIWE I
AMBON~NUSANIWE~12~AMQ01~NUSANIWE~LATUHALAT
AMBON~NUSANIWE~13~AMQ01~NUSANIWE~SEILALE
AMBON~SIRIMAU~1~AMQ01~SIRIMAU~KARANG PANJANG
AMBON~SIRIMAU~2~AMQ01~SIRIMAU~AMANTELU
AMBON~SIRIMAU~3~AMQ01~SIRIMAU~RIJALI
AMBON~SIRIMAU~4~AMQ01~SIRIMAU~URITETU
AMBON~SIRIMAU~5~AMQ01~SIRIMAU~BATU MEJA
AMBON~SIRIMAU~6~AMQ01~SIRIMAU~HONIPOPU
AMBON~SIRIMAU~7~AMQ01~SIRIMAU~AHUSEN
AMBON~SIRIMAU~8~AMQ01~SIRIMAU~BATU GAJA BATUGAJAH
AMBON~SIRIMAU~9~AMQ01~SIRIMAU~BATU MERAH
AMBON~SIRIMAU~10~AMQ01~SIRIMAU~GALALA
AMBON~SIRIMAU~11~AMQ01~SIRIMAU~HATIVE KECIL
AMBON~SIRIMAU~12~AMQ01~SIRIMAU~PANDAN KASTURI
AMBON~SIRIMAU~13~AMQ01~SIRIMAU~SOYA
AMBON~SIRIMAU~14~AMQ01~SIRIMAU~WAIHOKA
AMBON~TELUK AMBON~1~AMQ01~TELUK AMBON~HUNUTH DURIAN PATAH
AMBON~TELUK AMBON~2~AMQ01~TELUK AMBON~POKA
AMBON~TELUK AMBON~3~AMQ01~TELUK AMBON~HATIVE BESAR
AMBON~TELUK AMBON~4~AMQ01~TELUK AMBON~RUMAH TIGA
AMBON~TELUK AMBON~5~AMQ01~TELUK AMBON~WAYAME
AMBON~TELUK AMBON~6~AMQ01~TELUK AMBON~TAWIRI
AMBON~TELUK AMBON~7~AMQ01~TELUK AMBON~LAHA
AMBON~TELUK AMBON~8~AMQ01~TELUK AMBON~TIHU
