KUDUS~BAE~1~KDS01~BAE~PEGANJARAN
KUDUS~BAE~2~KDS01~BAE~PANJANG
KUDUS~BAE~3~KDS01~BAE~PURWOREJO
KUDUS~BAE~4~KDS01~BAE~BACIN
KUDUS~BAE~5~KDS01~BAE~PEDAWANG
KUDUS~BAE~6~KDS01~BAE~DERSALAM
KUDUS~BAE~7~KDS01~BAE~NGEMBALREJO
KUDUS~BAE~8~KDS01~BAE~KARNGBENER
KUDUS~BAE~9~KDS01~BAE~GONDANGMANIS
KUDUS~BAE~10~KDS01~BAE~BAE
KUDUS~DAWE~1~KDS05~DAWE~SAMIREJO
KUDUS~DAWE~2~KDS05~DAWE~CENDONO
KUDUS~DAWE~3~KDS05~DAWE~MARGOREJO
KUDUS~DAWE~4~KDS05~DAWE~LAU
KUDUS~DAWE~5~KDS05~DAWE~PIJI
KUDUS~DAWE~6~KDS05~DAWE~REJOSARI
KUDUS~DAWE~7~KDS05~DAWE~KANDANGMAS
KUDUS~DAWE~8~KDS05~DAWE~CRANGGANG
KUDUS~DAWE~9~KDS05~DAWE~KAJAR
KUDUS~DAWE~10~KDS05~DAWE~JAPAN
KUDUS~DAWE~11~KDS05~DAWE~PUYOH
KUDUS~DAWE~12~KDS05~DAWE~SOCO
KUDUS~DAWE~13~KDS05~DAWE~TERNADI
KUDUS~DAWE~14~KDS05~DAWE~GLAGAH KULON
KUDUS~DAWE~15~KDS05~DAWE~KUWUKAN
KUDUS~DAWE~16~KDS05~DAWE~TERGO
KUDUS~DAWE~17~KDS05~DAWE~DUKUH WARINGIN
KUDUS~DAWE~18~KDS05~DAWE~COLO
KUDUS~GEBOG~1~KDS05~GEBOG~GETASSRABI
KUDUS~GEBOG~2~KDS05~GEBOG~KLUMPIT
KUDUS~GEBOG~3~KDS05~GEBOG~GRIBIG
KUDUS~GEBOG~4~KDS05~GEBOG~KARANGMALANG
KUDUS~GEBOG~5~KDS05~GEBOG~PADURENAN
KUDUS~GEBOG~6~KDS05~GEBOG~BESITO
KUDUS~GEBOG~7~KDS05~GEBOG~JURANG
KUDUS~GEBOG~8~KDS05~GEBOG~GONDOSARI
KUDUS~GEBOG~9~KDS05~GEBOG~KEDUNGSARI
KUDUS~GEBOG~10~KDS05~GEBOG~MENAWAN
KUDUS~GEBOG~11~KDS05~GEBOG~RAHTAWU
KUDUS~JATI~1~KDS03~JATI~GETASPEJATEN
KUDUS~JATI~2~KDS03~JATI~JATI KULON
KUDUS~JATI~3~KDS03~JATI~JATI WETAN
KUDUS~JATI~4~KDS03~JATI~JEPANGPAKIS
KUDUS~JATI~5~KDS03~JATI~JETISKAPUAN
KUDUS~JATI~6~KDS03~JATI~LORAM KULON
KUDUS~JATI~7~KDS03~JATI~LORAM WETAN
KUDUS~JATI~8~KDS03~JATI~MEGAWON
KUDUS~JATI~9~KDS03~JATI~NGEMBAL KULON
KUDUS~JATI~10~KDS03~JATI~PASURUHAN KIDUL
KUDUS~JATI~11~KDS03~JATI~PASURUHAN LOR
KUDUS~JATI~12~KDS03~JATI~PLOSO
KUDUS~JATI~13~KDS03~JATI~TANJUNGKARANG
KUDUS~JATI~14~KDS03~JATI~TUMPANGKRASAK
KUDUS~JEKULO~1~KDS02~JEKULO~BULUNG KULON
KUDUS~JEKULO~2~KDS02~JEKULO~BULUNGCANGKRING
KUDUS~JEKULO~3~KDS02~JEKULO~GONDOHARUM
KUDUS~JEKULO~4~KDS02~JEKULO~HADIPOLO
KUDUS~JEKULO~5~KDS02~JEKULO~HONGGOSOCO
KUDUS~JEKULO~6~KDS02~JEKULO~JEKULO
KUDUS~JEKULO~7~KDS02~JEKULO~KLALING
KUDUS~JEKULO~8~KDS02~JEKULO~PLADEN
KUDUS~JEKULO~9~KDS02~JEKULO~SADANG
KUDUS~JEKULO~10~KDS02~JEKULO~SIDOMULYO
KUDUS~JEKULO~11~KDS02~JEKULO~TANJUNGREJO
KUDUS~JEKULO~12~KDS02~JEKULO~TERBAN
KUDUS~KALIWUNGU~1~KDS01~KALIWUNGU~BLIMBING KIDUL
KUDUS~KALIWUNGU~2~KDS01~KALIWUNGU~KALIWUNGU
KUDUS~KALIWUNGU~3~KDS01~KALIWUNGU~BANGET
KUDUS~KALIWUNGU~4~KDS01~KALIWUNGU~MIJEN
KUDUS~KALIWUNGU~5~KDS01~KALIWUNGU~SETROKALANGAN
KUDUS~KALIWUNGU~6~KDS01~KALIWUNGU~KARANGAMPEL
KUDUS~KALIWUNGU~7~KDS01~KALIWUNGU~GARUNG KIDUL
KUDUS~KALIWUNGU~8~KDS01~KALIWUNGU~GARUNG LOR
KUDUS~KALIWUNGU~9~KDS01~KALIWUNGU~KEDUNGDOWO
KUDUS~KALIWUNGU~10~KDS01~KALIWUNGU~PRAMBATAN LOR
KUDUS~KALIWUNGU~11~KDS01~KALIWUNGU~GAMONG
KUDUS~KALIWUNGU~12~KDS01~KALIWUNGU~PRAMBATAN KIDUL
KUDUS~KALIWUNGU~13~KDS01~KALIWUNGU~SIDOREKSO
KUDUS~KALIWUNGU~14~KDS01~KALIWUNGU~BAKALAN KRAPYAK
KUDUS~KALIWUNGU~15~KDS01~KALIWUNGU~PAPRINGAN
KUDUS~KUDUS KOTA~1~KDS04~KUDUS KOTA~PURWOSARI
KUDUS~KUDUS KOTA~2~KDS04~KUDUS KOTA~JANGGALAN
KUDUS~KUDUS KOTA~3~KDS04~KUDUS KOTA~DEMANGAN
KUDUS~KUDUS KOTA~4~KDS04~KUDUS KOTA~SUNGGINGAN
KUDUS~KUDUS KOTA~5~KDS04~KUDUS KOTA~PANJUNAN
KUDUS~KUDUS KOTA~6~KDS04~KUDUS KOTA~WERGU KULON
KUDUS~KUDUS KOTA~7~KDS04~KUDUS KOTA~WERGU WETAN
KUDUS~KUDUS KOTA~8~KDS04~KUDUS KOTA~MLATI KIDUL
KUDUS~KUDUS KOTA~9~KDS04~KUDUS KOTA~KELUAHAN MLATI NOROWITO
KUDUS~KUDUS KOTA~10~KDS04~KUDUS KOTA~MLATI LOR
