NDUGA~GEAREK~1~KYM01~GEAREK~GEAREK
NDUGA~GEAREK~2~KYM01~GEAREK~MANDALA
NDUGA~GEAREK~3~KYM01~GEAREK~TRIBIT TRIBID
NDUGA~GEAREK~4~KYM01~GEAREK~WUSI
NDUGA~GESELMA~1~KYM01~GESELMA~GESELMA GESELEMA
NDUGA~GESELMA~2~KYM01~GESELMA~MEBOROK
NDUGA~GESELMA~3~KYM01~GESELMA~YUGURU
NDUGA~GESELMA~4~KYM01~GESELMA~YUTPUL
NDUGA~KENYAM~1~KYM01~KENYAM~KENYAM
NDUGA~KENYAM~2~KYM01~KENYAM~PARIS
NDUGA~KENYAM~3~KYM01~KENYAM~URUGI
NDUGA~KENYAM~4~KYM01~KENYAM~WENDAMA
NDUGA~MAPENDUMA~1~KYM01~MAPENDUMA~GLIPID GILPID
NDUGA~MAPENDUMA~2~KYM01~MAPENDUMA~KROPTAK KOROPTAK
NDUGA~MAPENDUMA~3~KYM01~MAPENDUMA~MAPENDUMA
NDUGA~MAPENDUMA~4~KYM01~MAPENDUMA~PARO
NDUGA~MBUA~1~KYM01~MBUA~BAKLEMA
NDUGA~MBUA~2~KYM01~MBUA~INIYE
NDUGA~MBUA~3~KYM01~MBUA~KLABYPMA KIABYPMA
NDUGA~MBUA~4~KYM01~MBUA~MBUA MBUWA
NDUGA~MUGI~1~KYM01~MUGI~MAM
NDUGA~MUGI~2~KYM01~MUGI~MUGI
NDUGA~MUGI~3~KYM01~MUGI~YAL
NDUGA~MUGI~4~KYM01~MUGI~YIMOGI
NDUGA~WOSAK~1~KYM01~WOSAK~GUNEA GUNIA
NDUGA~WOSAK~2~KYM01~WOSAK~NDUGWA NDUKWA
NDUGA~WOSAK~3~KYM01~WOSAK~NGANAI
NDUGA~WOSAK~4~KYM01~WOSAK~PILINI
NDUGA~YIGI~1~KYM01~YIGI~DAL
NDUGA~YIGI~2~KYM01~YIGI~EKILAPOK EKILAPO
NDUGA~YIGI~3~KYM01~YIGI~PIRIPEN BIRIPEM
NDUGA~YIGI~4~KYM01~YIGI~YIGI
