JAKARTA~CAKUNG~1~JKT16~CAKUNG~CAKUNG
JAKARTA~CAKUNG~2~JKT16~CAKUNG~RAWA TERATE
JAKARTA~CAKUNG~3~JKT16~CAKUNG~JATINEGARA
JAKARTA~CAKUNG~4~JKT16B~CAKUNG~CAKUNG TIMUR
JAKARTA~CAKUNG~5~JKT16B~CAKUNG~PENGGILINGAN
JAKARTA~CAKUNG~6~JKT16B~CAKUNG~PULOGEBANG
JAKARTA~CAKUNG~7~JKT16B~CAKUNG~UJUNG MENTENG
JAKARTA~CEMPAKA PUTIH~1~JKT13~CEMPAKA PUTIH~CEMPAKA PUTIH TIMUR
JAKARTA~CEMPAKA PUTIH~2~JKT13~CEMPAKA PUTIH~CEMPAKA PUTIH BARAT
JAKARTA~CEMPAKA PUTIH~3~JKT13~CEMPAKA PUTIH~RAWASARI
JAKARTA~CENGKARENG~1~JKT01~CENGKARENG~KEDAUNG KALI ANGKE
JAKARTA~CENGKARENG~2~JKT01~CENGKARENG~KAPUK
JAKARTA~CENGKARENG~3~JKT01~CENGKARENG~CENGKARENG BARAT
JAKARTA~CENGKARENG~4~JKT01~CENGKARENG~CENGKARENG TIMUR
JAKARTA~CENGKARENG~5~JKT01~CENGKARENG~RAWA BUAYA
JAKARTA~CENGKARENG~6~JKT01~CENGKARENG~DURI KOSAMBI
JAKARTA~CILANDAK~1~JKT22~CILANDAK~CILANDAK BARAT
JAKARTA~CILANDAK~2~JKT22A~CILANDAK~CIPETE SELATAN
JAKARTA~CILANDAK~3~JKT22A~CILANDAK~GANDARIA SELATAN
JAKARTA~CILANDAK~4~JKT22B~CILANDAK~LEBAK BULUS
JAKARTA~CILANDAK~5~JKT22B~CILANDAK~PONDOK LABU
JAKARTA~CILINCING~1~JKT10~CILINCING~KALI BARU
JAKARTA~CILINCING~2~JKT10~CILINCING~CILINCING
JAKARTA~CILINCING~3~JKT10~CILINCING~SEMPER BARAT
JAKARTA~CILINCING~4~JKT10~CILINCING~SEMPER TIMUR
JAKARTA~CILINCING~5~JKT10~CILINCING~SUKAPURA
JAKARTA~CILINCING~6~JKT10~CILINCING~ROROTAN
JAKARTA~CILINCING~7~JKT10~CILINCING~MARUNDA
JAKARTA~CIPAYUNG~1~JKT19A~CIPAYUNG~LUBANG BUAYA
JAKARTA~CIPAYUNG~2~JKT19A~CIPAYUNG~CEGER
JAKARTA~CIPAYUNG~3~JKT19A~CIPAYUNG~CIPAYUNG
JAKARTA~CIPAYUNG~4~JKT19A~CIPAYUNG~MUNJUL
JAKARTA~CIPAYUNG~5~JKT19A~CIPAYUNG~PONDOK RANGGON
JAKARTA~CIPAYUNG~6~JKT19A~CIPAYUNG~CILANGKAP
JAKARTA~CIPAYUNG~7~JKT19A~CIPAYUNG~SETU
JAKARTA~CIPAYUNG~8~JKT19A~CIPAYUNG~BAMBU APUS
JAKARTA~CIRACAS~1~JKT19~CIRACAS~CIBUBUR
JAKARTA~CIRACAS~2~JKT19~CIRACAS~KELAPA DUA WETAN
JAKARTA~CIRACAS~3~JKT19~CIRACAS~CIRACAS
JAKARTA~CIRACAS~4~JKT19~CIRACAS~SUSUKAN
JAKARTA~CIRACAS~5~JKT19~CIRACAS~RAMBUTAN
JAKARTA~DUREN SAWIT~1~JKT20A~DUREN SAWIT~DUREN SAWIT
JAKARTA~DUREN SAWIT~2~JKT20A~DUREN SAWIT~MALAKA JAYA
JAKARTA~DUREN SAWIT~3~JKT20A~DUREN SAWIT~MALAKA SARI
JAKARTA~DUREN SAWIT~4~JKT20A~DUREN SAWIT~PONDOK BAMBU
JAKARTA~DUREN SAWIT~5~JKT20A~DUREN SAWIT~PONDOK KELAPA
JAKARTA~DUREN SAWIT~6~JKT20A~DUREN SAWIT~PONDOK KOPI
JAKARTA~DUREN SAWIT~7~JKT20A~DUREN SAWIT~KLENDER
JAKARTA~GAMBIR~1~JKT26~GAMBIR~GAMBIR
JAKARTA~GAMBIR~2~JKT26~GAMBIR~KEBON KELAPA
JAKARTA~GAMBIR~3~JKT26~GAMBIR~PETOJO SELATAN
JAKARTA~GAMBIR~4~JKT26~GAMBIR~DURI PULO
JAKARTA~GAMBIR~5~JKT26~GAMBIR~CIDENG
JAKARTA~GAMBIR~6~JKT26~GAMBIR~PETOJO UTARA
JAKARTA~GROGOL PETAMBURAN~1~JKT04~GROGOL PETAMBURAN~KEDOYA UTARA
JAKARTA~GROGOL PETAMBURAN~2~JKT04~GROGOL PETAMBURAN~TOMANG
JAKARTA~GROGOL PETAMBURAN~3~JKT04~GROGOL PETAMBURAN~GROGOL
